Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	circRNA	circbaseID	GeneSymbol
ASCRP3000002	0.370983564599999	8.7166401107	2.72331414130414	0.0203591421594401	0.0493137322804464	-3.70541260765922	hsa_circRNA_407247	NA	AK308944
ASCRP3000007	0.964065668000001	6.9368022158	2.81459074961722	0.0173327575701553	0.0436816388136424	-3.54857932493373	hsa_circRNA_404446	NA	CAPZB
ASCRP3000012	0.531712080999999	6.2753458769	2.7709926972268	0.0187177390790196	0.0462739853682877	-3.62358199059157	hsa_circRNA_000654	hsa_circ_0000654	CHD2
ASCRP3000018	-2.364722159	9.9288602805	-3.02699889222269	0.0119221985071599	0.0337010098743176	-3.18143790135999	hsa_circRNA_000542	hsa_circ_0000542	ARID4A
ASCRP3000021	0.959702671599999	6.7658285092	4.47600129519432	0.00101774772811012	0.00740146784351403	-0.716709043434384	hsa_circRNA_102997	hsa_circ_0059490	KIF16B
ASCRP3000025	1.953494469	9.6352265335	7.54315592262852	1.37867878530398e-05	0.000871914306989604	3.60653712614233	hsa_circRNA_102887	hsa_circ_0057691	SATB2
ASCRP3000028	-0.7157028516	5.8640590264	-2.79132274538146	0.0180586583518801	0.045051849723047	-3.58862726505609	hsa_circRNA_406825	NA	SMPD2
ASCRP3000033	0.804798288	7.697665492	3.58634204448986	0.00449807547141605	0.0176189467857106	-2.21280233351088	hsa_circRNA_100098	hsa_circ_0007822	KDM1A
ASCRP3000034	-1.0314589272	6.4577744296	-4.28816612355268	0.00138144444238064	0.00875020367303619	-1.02537492655982	hsa_circRNA_406086	hsa_circ_0114758	CSRP2BP
ASCRP3000044	-3.8580979532	11.2980290094	-3.93657543527274	0.00247768906150966	0.0122908824897038	-1.6143073240243	hsa_circRNA_006759	hsa_circ_0006759	WDPCP
ASCRP3000051	-3.3623747988	11.1663133726	-3.45623092273084	0.0056311921675182	0.0202812335203358	-2.43731417921314	hsa_circRNA_102445	hsa_circ_0004552	CARM1
ASCRP3000062	0.561192591999999	7.022253232	4.01940234469691	0.00215614217414723	0.011306794937846	-1.47436380357748	hsa_circRNA_092482	hsa_circ_0001036	TGOLN2
ASCRP3000063	1.24282994	6.395019208	7.43916773164099	1.56377097817601e-05	0.000909242606252917	3.48188261045062	hsa_circRNA_000572	hsa_circ_0000572	PPP1R13B
ASCRP3000067	1.0059181368	6.0144437828	5.44116274760708	0.000228835113604701	0.00321649629311878	0.792490333112177	hsa_circRNA_105045	hsa_circ_0092163	BRCC3
ASCRP3000068	-1.5653572254	8.3073617101	-3.67192347415852	0.00388350857534246	0.0160791347860978	-2.06567756439892	hsa_circRNA_060539	hsa_circ_0060539	SDC4
ASCRP3000069	-1.132163292	12.896939478	-3.83251652991201	0.00295383833292118	0.0136090364946091	-1.79106332989967	hsa_circRNA_000829	hsa_circ_0000829	SPIRE1
ASCRP3000071	1.679457256	8.7837694354	4.33792122924317	0.00127345932013139	0.00835474754284101	-0.943182482679486	hsa_circRNA_405869	NA	PPM1B
ASCRP3000073	-0.5851209792	6.640378599	-3.26301615318308	0.00788157102752496	0.0251606892196291	-2.7720016965623	hsa_circRNA_402810	NA	OSBPL10
ASCRP3000074	1.719819844	11.568643048	4.99414803184653	0.000449331895287333	0.00462004193122629	0.110212323570718	hsa_circRNA_068655	hsa_circ_0068655	UBXN7
ASCRP3000075	0.563597991200001	5.8961555266	4.24096579159929	0.00149278606033883	0.00915040781233544	-1.10362480520684	hsa_circRNA_400196	hsa_circ_0113208	AGO1
ASCRP3000077	-0.723706406599998	7.8617303231	-4.15761664574617	0.00171297227932376	0.00979746766198401	-1.24244487091139	hsa_circRNA_404245	hsa_circ_0137709	ZNF483
ASCRP3000078	-1.4803645152	8.4885247308	-6.45059245557152	5.52676676829101e-05	0.00161841930498091	2.22333143745105	hsa_circRNA_006116	hsa_circ_0006116	SMURF1
ASCRP3000080	0.6252622496	6.5602703814	3.47432888080972	0.00545744266310117	0.0198443510425573	-2.40603360213312	hsa_circRNA_001520	hsa_circ_0001520	DCP2
ASCRP3000082	-1.106224128	8.580805143	-4.35127091196657	0.00124602029913319	0.00826369542972245	-0.921181571724724	hsa_circRNA_103384	hsa_circ_0065898	VPRBP
ASCRP3000085	-0.379628419800001	5.8217604775	-3.37536054429179	0.00647984922976232	0.0221815161575843	-2.5772569892683	hsa_circRNA_047834	hsa_circ_0047834	PMAIP1
ASCRP3000087	-1.9320994238	7.8468368499	-3.9588342901798	0.00238664707800729	0.0120383844798245	-1.57663150027544	hsa_circRNA_405727	NA	HNRNPM
ASCRP3000091	0.698496517000001	6.9893081903	2.91666150758652	0.0144785818403031	0.0387827173370158	-3.3724478524099	hsa_circRNA_004520	hsa_circ_0004520	VAV2
ASCRP3000094	-1.6851332812	7.0682059086	-6.03411778383681	9.76595525227456e-05	0.00209043297028334	1.65137698815878	hsa_circRNA_101014	hsa_circ_0008932	LRP6
ASCRP3000104	1.2417097182	6.1869634065	5.10094310328699	0.000381445023173171	0.0041635343955382	0.275900921365368	hsa_circRNA_101080	hsa_circ_0008085	STAT2
ASCRP3000106	2.674083094	12.907172891	9.17010506909043	2.23058170899596e-06	0.000603293556748043	5.38400425121046	hsa_circRNA_026134	hsa_circ_0026134	TUBA1C
ASCRP3000109	0.506695990399999	6.3518946084	3.52722447212561	0.00498056116223413	0.0187414146534099	-2.31469982189956	hsa_circRNA_102771	hsa_circ_0055377	CTNNA2
ASCRP3000112	-2.9652618288	9.7955995076	-3.23699423190334	0.0082483173683946	0.0259576243178153	-2.81714506345276	hsa_circRNA_004561	hsa_circ_0004561	TRIQK
ASCRP3000113	0.942766283200001	6.9333744194	4.10241571653553	0.00187730864525811	0.0103551735629606	-1.33481992058237	hsa_circRNA_104876	hsa_circ_0088062	SUSD1
ASCRP3000114	-1.428208809	6.6498700031	-4.45461885036193	0.00105351635456221	0.00753027588184121	-0.751619879766818	hsa_circRNA_103727	hsa_circ_0008144	PDE5A
ASCRP3000116	-1.0418787746	8.4140806645	-7.29023452527984	1.87705385308262e-05	0.000980236787881042	3.30086228949362	hsa_circRNA_102798	hsa_circ_0009020	SEPT10
ASCRP3000117	1.900255026	12.060893811	7.6645325986196	1.19201236254518e-05	0.000819102131398942	3.75025414550439	hsa_circRNA_407330	hsa_circ_0139782	ENOX2
ASCRP3000121	-0.6704215908	6.8076623328	-3.14105340350324	0.00975758597191128	0.0292341190022633	-2.98362308312255	hsa_circRNA_104385	hsa_circ_0006365	TPST1
ASCRP3000122	0.800915599999996	12.150061166	3.91757316991045	0.0025582720849107	0.0125005215411128	-1.64650913118316	hsa_circRNA_404317	hsa_circ_0140691	KAL1
ASCRP3000124	0.597647930399999	5.9105131168	4.13419382226454	0.0017807854985954	0.0100404754405654	-1.28159976310677	hsa_circRNA_007074	hsa_circ_0007074	YIPF1
ASCRP3000125	-4.4725703304	12.3747918888	-4.35638960620738	0.00123566459974557	0.00822851029623995	-0.912751607050181	hsa_circRNA_066869	hsa_circ_0066869	TMEM39A
ASCRP3000129	-0.865650785000004	8.3996073809	-5.00341687776548	0.000442960880914676	0.00457486668982246	0.124658621963558	hsa_circRNA_407303	hsa_circ_0140628	ATP7A
ASCRP3000133	0.4713939998	7.9545287689	2.92704113431839	0.0142161985991205	0.038274867733251	-3.35450200772604	hsa_circRNA_003063	hsa_circ_0003063	PTPRM
ASCRP3000135	-0.717395034000001	10.126297288	-3.1271088861634	0.00999924449241134	0.0297566099633914	-3.00781859803093	hsa_circRNA_013959	hsa_circ_0013959	ACP6
ASCRP3000136	0.9550264652	6.0010346664	4.49590207448806	0.000985604806067966	0.00727266902049175	-0.684270881014987	hsa_circRNA_405639	NA	RPTOR
ASCRP3000139	1.7763951394	10.4985404783	5.42035264627752	0.000235988428981896	0.00323955057900913	0.761388362347842	hsa_circRNA_000968	hsa_circ_0000968	ZNF544
ASCRP3000150	0.414570495200001	8.7879654982	2.9697516481243	0.0131859778963821	0.0362434583361012	-3.28060318602372	hsa_circRNA_102473	hsa_circ_0003215	MYO9B
