Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	circRNA	circbaseID	GeneSymbol
ASCRP3000004	0.609938184	5.83690563566667	4.95730684161896	0.000616869947112741	0.0119420636388473	-0.152544373082706	hsa_circRNA_407121	hsa_circ_0135681	MTSS1
ASCRP3000010	-0.797599110666669	6.25024184777778	-6.26680059353155	0.00010375949010103	0.00464395112346674	1.65563651537487	hsa_circRNA_400114	NA	RERE
ASCRP3000018	0.799598668166666	5.87240374688889	3.58964560544649	0.00513351485843781	0.0426278335947044	-2.30335803044318	hsa_circRNA_000542	hsa_circ_0000542	ARID4A
ASCRP3000021	0.537024565833334	5.57390285211111	4.6534084966384	0.000965899234112825	0.0159357577216438	-0.608912643527928	hsa_circRNA_102997	hsa_circ_0059490	KIF16B
ASCRP3000025	0.935834132166665	10.1733104178889	3.57630011154769	0.00524699616036796	0.0431660552586089	-2.32539698068931	hsa_circRNA_102887	hsa_circ_0057691	SATB2
ASCRP3000038	-0.992700401333336	6.72935976488889	-4.87544016510248	0.000695160964048773	0.0128703710175026	-0.274147059387621	hsa_circRNA_092547	hsa_circ_0001445	SMARCA5
ASCRP3000040	-0.525955621333333	6.14538390355556	-3.71455371846729	0.00418753947188261	0.0377963206541708	-2.09780954701146	hsa_circRNA_102799	hsa_circ_0002076	SEPT10
ASCRP3000044	0.658568949166667	5.62597066888889	6.14638088584315	0.000121050700799781	0.00504740037480113	1.50003440257221	hsa_circRNA_006759	hsa_circ_0006759	WDPCP
ASCRP3000059	-0.427385916666668	6.20938906544444	-3.76306259766078	0.00387096059771978	0.035867960638131	-2.01836365815293	hsa_circRNA_102820	hsa_circ_0056439	UGGT1
ASCRP3000068	-1.34328746166667	6.69868064311111	-12.9548002136322	1.82512217157986e-07	0.000445192925702616	7.71429221615737	hsa_circRNA_060539	hsa_circ_0060539	SDC4
ASCRP3000076	-0.702727900500002	6.40862159766667	-4.86545400741247	0.000705413680552639	0.0129374460172032	-0.289048268639368	hsa_circRNA_006131	hsa_circ_0006131	SYNCRIP
ASCRP3000078	0.520358543833331	6.86386341811111	3.55421038204181	0.00544060419176191	0.0441998127385687	-2.36190700906246	hsa_circRNA_006116	hsa_circ_0006116	SMURF1
ASCRP3000101	-0.362254478833334	5.51326645622222	-3.46429072513016	0.00630865527142074	0.0482394588426741	-2.51089797869346	hsa_circRNA_104979	hsa_circ_0007685	WWC3
ASCRP3000106	1.47143463333333	14.0481280844444	5.11660936674773	0.000490252666285043	0.0103090415192741	0.0812112563779053	hsa_circRNA_026134	hsa_circ_0026134	TUBA1C
ASCRP3000122	0.654733763333336	10.9989651744444	4.54389717934943	0.00113898647474825	0.0175840048008206	-0.776650062898206	hsa_circRNA_404317	hsa_circ_0140691	KAL1
ASCRP3000158	-0.444830258000002	6.31498446066667	-3.55769495123329	0.00540957631899341	0.0440256014515061	-2.35614518796153	hsa_circRNA_100885	hsa_circ_0004596	RAB6A
ASCRP3000189	-0.749412435833331	6.16621676322222	-4.94836486935061	0.000624944051582135	0.0120744140817562	-0.165778072544763	hsa_circRNA_016681	hsa_circ_0016681	TMEM63A
ASCRP3000193	-0.421084564333333	6.39690043288889	-3.98694091504988	0.00270323756022339	0.0294698199721784	-1.65482028142901	hsa_circRNA_002961	hsa_circ_0002961	MTDH
