ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-2A-A8VL-01	-1165.7	-1213.47	-2379.17
TCGA-2A-A8VO-01	-752.89	-924.06	-1676.96
TCGA-2A-A8VT-01	-1086.37	-976.82	-2063.19
TCGA-2A-A8VV-01	-995.29	-1419.46	-2414.75
TCGA-2A-A8VX-01	-1158.64	-1678.95	-2837.59
TCGA-2A-A8W1-01	-1797.54	-1308.5	-3106.05
TCGA-2A-A8W3-01	-819.69	-1009.11	-1828.8
TCGA-2A-AAYF-01	-1057.01	-1245.39	-2302.4
TCGA-2A-AAYO-01	-290.71	168.22	-122.49
TCGA-2A-AAYU-01	-978.98	-1364.66	-2343.64
TCGA-4L-AA1F-01	1694.52	1023.55	2718.08
TCGA-CH-5737-01	-1345.34	-1211.34	-2556.68
TCGA-CH-5738-01	-131.78	199.12	67.34
TCGA-CH-5739-01	-129.94	-418.77	-548.7
TCGA-CH-5740-01	-1002.49	-803	-1805.49
TCGA-CH-5741-01	-1403.59	-1295.15	-2698.74
TCGA-CH-5743-01	-801.17	153.02	-648.15
TCGA-CH-5744-01	-1004.71	-755.82	-1760.53
TCGA-CH-5745-01	-346.04	-270.57	-616.61
TCGA-CH-5746-01	-1246.87	-1343.87	-2590.74
TCGA-CH-5748-01	-1201.68	-1133.45	-2335.14
TCGA-CH-5750-01	-896.69	-213.61	-1110.3
TCGA-CH-5751-01	41.59	1104.65	1146.24
TCGA-CH-5752-01	-581.76	-1227.1	-1808.86
TCGA-CH-5753-01	-1166.64	-668.3	-1834.94
TCGA-CH-5754-01	-313.7	118.64	-195.06
TCGA-CH-5761-01	-298.08	-1017.4	-1315.47
TCGA-CH-5762-01	-441.85	-300.92	-742.77
TCGA-CH-5763-01	-192.82	-691.43	-884.25
TCGA-CH-5764-01	-766.78	-742.2	-1508.98
TCGA-CH-5765-01	-1178.74	-1373.44	-2552.17
TCGA-CH-5766-01	-1076.08	-622.77	-1698.85
TCGA-CH-5767-01	-982.44	-1264.4	-2246.84
TCGA-CH-5768-01	-1206.43	-1071.99	-2278.41
TCGA-CH-5769-01	-654.69	-789.32	-1444
TCGA-CH-5771-01	186.94	-7.19	179.75
TCGA-CH-5772-01	-598.7	-846.62	-1445.32
TCGA-CH-5788-01	-990.39	-1130.94	-2121.33
TCGA-CH-5789-01	-644.67	-555.32	-1199.98
TCGA-CH-5790-01	-1172.64	-889.92	-2062.56
TCGA-CH-5791-01	-697.97	-813.88	-1511.84
TCGA-CH-5792-01	82.61	154.1	236.71
TCGA-CH-5794-01	-1217.47	-1065.06	-2282.53
TCGA-EJ-5494-01	-599.75	-647.29	-1247.04
TCGA-EJ-5495-01	203.73	-219.87	-16.14
TCGA-EJ-5496-01	-1289.26	-1223.01	-2512.27
TCGA-EJ-5497-01	-516.1	-719.07	-1235.16
TCGA-EJ-5498-01	43.89	-405.98	-362.09
TCGA-EJ-5499-01	-733.87	-467.5	-1201.37
TCGA-EJ-5501-01	-972.68	-1028.83	-2001.52
TCGA-EJ-5502-01	-505.53	-346.45	-851.98
TCGA-EJ-5503-01	-536.77	-556.18	-1092.94
TCGA-EJ-5504-01	-32.56	-834.35	-866.9
TCGA-EJ-5505-01	-1176.62	-1156.72	-2333.34
TCGA-EJ-5506-01	-1048.6	-972.7	-2021.3
TCGA-EJ-5507-01	-637.28	-559.6	-1196.88
TCGA-EJ-5508-01	-496.34	-288.87	-785.21
TCGA-EJ-5509-01	-257.4	-216.21	-473.61
TCGA-EJ-5510-01	-639.69	-521.43	-1161.12
TCGA-EJ-5511-01	-584.67	-1186.83	-1771.5
TCGA-EJ-5512-01	-972.55	-1151.29	-2123.84
