Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [cell line]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ORGANISM PART]	FactorValue [TREATMENT]
GSM901263 1	benign prostate tissue	Bening prostate tissue 21	Benign prostate tissue 21	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901263 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901263 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901263	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901263_Benign21.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901263_sample_table.txt norm	GSM901263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901262 1	benign prostate tissue	Bening prostate tissue 20	Benign prostate tissue 20	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901262 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901262 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901262	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901262_Benign20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901262_sample_table.txt norm	GSM901262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901261 1	benign prostate tissue	Bening prostate tissue 19	Benign prostate tissue 19	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901261 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901261 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901261	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901261_Benign19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901261_sample_table.txt norm	GSM901261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901260 1	benign prostate tissue	Bening prostate tissue 18	Benign prostate tissue 18	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901260 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901260 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901260	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901260_Benign18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901260_sample_table.txt norm	GSM901260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901259 1	benign prostate tissue	Bening prostate tissue 17	Benign prostate tissue 17	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901259 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901259 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901259	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901259_Benign17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901259_sample_table.txt norm	GSM901259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901258 1	benign prostate tissue	Bening prostate tissue 16	Benign prostate tissue 16	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901258 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901258 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901258	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901258_Benign16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901258_sample_table.txt norm	GSM901258_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901257 1	benign prostate tissue	Bening prostate tissue 15	Benign prostate tissue 15	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901257 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901257 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901257	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901257_Benign15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901257_sample_table.txt norm	GSM901257_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901256 1	benign prostate tissue	Bening prostate tissue 14	Benign prostate tissue 14	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901256 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901256 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901256	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901256_Benign14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901256_sample_table.txt norm	GSM901256_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901255 1	benign prostate tissue	Bening prostate tissue 13	Benign prostate tissue 13	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901255 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901255 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901255	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901255_Benign13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901255_sample_table.txt norm	GSM901255_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
GSM901254 1	benign prostate tissue	Bening prostate tissue 12	Benign prostate tissue 12	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	  	  	Benign, prostate tissue	P-GSE36803-10	ArrayExpress	  	  	  	  	  	  	GSM901254 extract 1	total RNA	P-GSE36803-11	ArrayExpress	  	  	GSM901254 LE 1	biotin	P-GSE36803-12	ArrayExpress	  	  	GSM901254	A-GEOD-8786	ArrayExpress	array assay	P-GSE36803-13	ArrayExpress	P-GSE36803-15	ArrayExpress	  	  	  	  	  	  	  	  	GSM901254_Benign12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.raw.1.zip	P-GSE36803-2	ArrayExpress	GSM901254_sample_table.txt norm	GSM901254_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36803/E-GEOD-36803.processed.1.zip	Benign, prostate tissue	not specified
