Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell line]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [cell line]	Term Source REF	Term Accession Number
GSM2069541 1	Replicate 4 idat  9257302030	VCaP, MDV3100-Resistant	VdG25	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069541 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069541 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069541	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-48	ArrayExpress	GSM2069541_sample_table.txt norm	GSM2069541_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069540 1	Replicate 3 idat  9257302016	VCaP, MDV3100-Resistant	VdG14	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069540 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069540 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069540	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-47	ArrayExpress	GSM2069540_sample_table.txt norm	GSM2069540_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069539 1	Replicate 2 idat  9255013011	VCaP, MDV3100-Resistant	VdG73	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069539 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069539 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069539	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-46	ArrayExpress	GSM2069539_sample_table.txt norm	GSM2069539_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069538 1	Replicate 1 idat  9256321010	VCaP, MDV3100-Resistant	VdG56	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069538 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069538 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069538	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-45	ArrayExpress	GSM2069538_sample_table.txt norm	GSM2069538_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069537 1	Replicate 4 idat  9257302030	VCaP, Parental Untreated	VdG35	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069537 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069537 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069537	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-44	ArrayExpress	GSM2069537_sample_table.txt norm	GSM2069537_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069536 1	Replicate 3 idat  9257302016	VCaP, Parental Untreated	VdG24	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069536 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069536 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069536	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-43	ArrayExpress	GSM2069536_sample_table.txt norm	GSM2069536_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069535 1	Replicate 2 idat  9256321012	VCaP, Parental Untreated	VdG66	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069535 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069535 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069535	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-42	ArrayExpress	GSM2069535_sample_table.txt norm	GSM2069535_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069534 1	Replicate 1 idat  9257302051	VCaP, Parental Untreated	VdG40	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069534 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069534 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069534	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-41	ArrayExpress	GSM2069534_sample_table.txt norm	GSM2069534_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069533 1	Replicate 4 idat  9257302001	VCaP, 48hrs MDV3100	VdG10	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069533 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069533 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069533	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-40	ArrayExpress	GSM2069533_sample_table.txt norm	GSM2069533_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
GSM2069532 1	Replicate 3 idat  9257302051	VCaP, 48hrs MDV3100	VdG46	VCaP	  	  	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	prostate cancer cell line	EFO	http://purl.obolibrary.org/obo/BTO_0001033	P-GSE78201-50	ArrayExpress	P-GSE78201-49	ArrayExpress	P-GSE78201-51	ArrayExpress	GSM2069532 extract 1	total RNA	P-GSE78201-52	ArrayExpress	GSM2069532 LE 1	biotin	P-GSE78201-53	ArrayExpress	GSM2069532	A-GEOD-10558	ArrayExpress	array assay	P-GSE78201-54	ArrayExpress	P-GSE78201-39	ArrayExpress	GSM2069532_sample_table.txt norm	GSM2069532_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-78201/E-GEOD-78201.processed.1.zip	VCaP	  	        
