MI0000060	hsa-let-7a-1L;hsa-let-7a-1;
MIMAT0010195	hsa-let-7a-2*;hsa-let-7a-2-3p;
MI0000061	hsa-let-7a-2L;hsa-let-7a-2;
MI0000062	hsa-let-7a-3L;hsa-let-7a-3;
MIMAT0004481	hsa-let-7a*;hsa-let-7a-3p;
MIMAT0000062	hsa-let-7a;hsa-let-7a-5p;
MIMAT0004482	hsa-let-7b*;hsa-let-7b-3p;
MIMAT0000063	hsa-let-7b;hsa-let-7b-5p;
MI0000063	hsa-let-7bL;hsa-let-7b;
MIMAT0000064	hsa-let-7c;hsa-let-7c-5p;
MI0000064	hsa-let-7cL;hsa-let-7c;
MIMAT0004484	hsa-let-7d*;hsa-let-7d-3p;
MIMAT0000065	hsa-let-7d;hsa-let-7d-5p;
MI0000065	hsa-let-7dL;hsa-let-7d;
MIMAT0004485	hsa-let-7e*;hsa-let-7e-3p;
MIMAT0000066	hsa-let-7e;hsa-let-7e-5p;
MI0000066	hsa-let-7eL;hsa-let-7e;
MIMAT0004486	hsa-let-7f-1*;hsa-let-7f-1-3p;
MI0000067	hsa-let-7f-1L;hsa-let-7f-1;
MIMAT0004487	hsa-let-7f-2*;hsa-let-7f-2-3p;
MI0000068	hsa-let-7f-2L;hsa-let-7f-2;
MIMAT0000067	hsa-let-7f;hsa-let-7f-5p;
MIMAT0004584	hsa-let-7g*;hsa-let-7g-3p;
MIMAT0000414	hsa-let-7g;hsa-let-7g-5p;
MIMAT0004585	hsa-let-7i*;hsa-let-7i-3p;
MIMAT0000415	hsa-let-7i;hsa-let-7i-5p;
MI0000102	hsa-mir-100-11;hsa-mir-100;
MIMAT0004512	hsa-miR-100*;hsa-miR-100-3p;
MIMAT0000098	hsa-miR-100;hsa-miR-100-5p;
MI0000103	hsa-mir-101-1;hsa-mir-101;hsa-mir-101-1;
MIMAT0000099	hsa-miR-101;hsa-miR-101-3p;
MIMAT0004513	hsa-miR-101*;hsa-miR-101-5p;
MI0000107	hsa-mir-102-1;hsa-mir-29b-1;hsa-mir-29b-2;
MI0000105	hsa-mir-102-7.1;hsa-mir-102-2;hsa-mir-29b-2;hsa-mir-29b-1;
MI0000106	hsa-mir-102-7.2;hsa-mir-102-3;hsa-mir-29b-3;
MI0007261	hsa-mir-103-1-as;hsa-mir-103b-1;
MI0000108	hsa-mir-103-20;hsa-mir-103-2;hsa-mir-103a-2;
MI0007262	hsa-mir-103-2-as;hsa-mir-103b-2;
MIMAT0009196	hsa-miR-103-2*;hsa-miR-103a-2*;hsa-miR-103a-2-5p;
MI0000109	hsa-mir-103-5;hsa-mir-103-1;hsa-mir-103a-1;
MIMAT0007402	hsa-miR-103-as;hsa-miR-103b;
MIMAT0000101	hsa-miR-103;hsa-miR-103a;hsa-miR-103a-3p;
MI0000110	hsa-mir-104-17;hsa-mir-104;
MIMAT0004516	hsa-miR-105*;hsa-miR-105-3p;
MIMAT0000102	hsa-miR-105;hsa-miR-105-5p;
MI0000111	hsa-mir-105-X.1;hsa-mir-105-1;
MI0000112	hsa-mir-105-X.2;hsa-mir-105-2;
MIMAT0004517	hsa-miR-106a*;hsa-miR-106a-3p;
MIMAT0000103	hsa-miR-106a;hsa-miR-106a-5p;
MIMAT0004672	hsa-miR-106b*;hsa-miR-106b-3p;
MIMAT0000680	hsa-miR-106b;hsa-miR-106b-5p;
MI0000113	hsa-mir-106-X;hsa-mir-106;hsa-mir-106a;
MI0000114	hsa-mir-107-10;hsa-mir-107;
MIMAT0004555	hsa-miR-10a*;hsa-miR-10a-3p;
MIMAT0000253	hsa-miR-10a;hsa-miR-10a-5p;
MIMAT0004556	hsa-miR-10b*;hsa-miR-10b-3p;
MIMAT0000254	hsa-miR-10b;hsa-miR-10b-5p;
MIMAT0005823	hsa-miR-1178;hsa-miR-1178-3p;
MIMAT0005825	hsa-miR-1180;hsa-miR-1180-3p;
MI0006277	hsa-mir-1184;hsa-mir-1184-1;
MIMAT0005798	hsa-miR-1185;hsa-miR-1185-5p;
MIMAT0005577	hsa-miR-1226;hsa-miR-1226-3p;
MIMAT0005576	hsa-miR-1226*;hsa-miR-1226-5p;
