Row	Col	SystematicName	logFC	AveExpr	t	P.Value	adj.P.Val	B
117_35_hsa-miR-145	117	35	hsa-miR-145	0.816221389379081	14.9307853718346	5.50337457536495	1.72732676688853e-07	8.77090904726494e-06	6.92518863227614
162_28_hsa-miR-125b	162	28	hsa-miR-125b	0.58861148067301	14.5407068724218	5.46534881365174	2.06160967492027e-07	1.01989043329879e-05	6.75610002606158
116_30_hsa-let-7a	116	30	hsa-let-7a	0.555437676714123	14.210960611249	3.82165196556716	0.000198867580107172	0.00297099643561062	0.256674339653858
165_24_hsa-miR-29c	165	24	hsa-miR-29c	0.357702992133786	13.9613892147383	5.64901967132637	8.71424320675448e-08	5.0542610599176e-06	7.57965585702324
125_37_hsa-miR-29a	125	37	hsa-miR-29a	0.216164570237234	13.7974199729368	3.7247979378399	0.000282834132403022	0.00395137818753593	-0.0707795958189807
97_55_hsa-miR-141	97	55	hsa-miR-141	0.409287868193911	13.7607182634524	3.09741398227917	0.00236019091480504	0.019365078627815	-2.02081541368887
71_37_hsa-let-7f	71	37	hsa-let-7f	0.613784646712557	13.7565808333675	4.02661487621232	9.24240231209239e-05	0.00157027481706459	0.971811944986655
135_47_hsa-miR-26a	135	47	hsa-miR-26a	0.201968676582193	13.6643287429662	3.15503094236534	0.00196554755493734	0.0169432465722209	-1.85450437804427
41_38_hsa-miR-23b	41	38	hsa-miR-23b	0.552922502142997	13.3924669074608	5.04443268028008	1.39006742199011e-06	5.12458828227367e-05	4.936126745878
126_27_hsa-miR-29b	126	27	hsa-miR-29b	0.384857932884764	13.2088225273457	3.78437140077331	0.000227915017979164	0.00331548592640825	0.12982555459718
183_32_hsa-let-7c	183	32	hsa-let-7c	0.244959801712858	13.1804520865214	3.2573169678048	0.00141188309819856	0.0131203722164087	-1.55275047544862
118_34_hsa-miR-19b	118	34	hsa-miR-19b	0.495216982803655	13.0621523088036	4.45326930260039	1.71788065204453e-05	0.000418764529962158	2.5531382417932
106_42_hsa-miR-200c	106	42	hsa-miR-200c	0.479216866543705	12.7997626459388	3.76650233985574	0.00024322416129229	0.00349287546888906	0.0693824925827204
77_65_hsa-miR-143	77	65	hsa-miR-143	1.48761963623413	12.7958915710459	9.83604527800666	1.13420034410948e-17	1.0901285593098e-14	29.5477133876085
36_55_hsa-miR-27b	36	55	hsa-miR-27b	0.463573419741168	12.711164877605	5.17414594632329	7.79738695964357e-07	3.14749047405701e-05	5.48661939579205
11_43_hsa-miR-99a	11	43	hsa-miR-99a	0.893597167000648	12.6651085991201	6.09794380073444	9.93368846581843e-09	1.00820974340607e-06	9.66165363534257
25_43_hsa-miR-30b	25	43	hsa-miR-30b	0.35724986390843	12.63203048298	3.49489384542924	0.000635836653138832	0.00721192076717743	-0.820346584689755
88_38_hsa-miR-148a	88	38	hsa-miR-148a	1.13747253984452	12.498293928623	7.90958637910975	7.08935254438862e-13	2.26491527006973e-10	18.8659978687385
166_36_hsa-miR-375	166	36	hsa-miR-375	1.07804575237193	12.2899852981959	4.78408739969332	4.31300238161304e-06	0.000135281491951014	3.86053979546151
59_56_hsa-miR-16	59	56	hsa-miR-16	0.341583246244756	12.2849751288342	3.03091435254945	0.00290623910420735	0.0225917697205166	-2.20944953328328
83_34_hsa-miR-26b	83	34	hsa-miR-26b	0.899910994544419	12.24737975977	5.75535518030848	5.25384228114211e-08	3.56548206199711e-06	8.06416490021568
110_28_hsa-let-7g	110	28	hsa-let-7g	0.486911730320375	12.1741162402001	3.69135311268479	0.000318936600339032	0.00436139318512399	-0.182262117873884
119_48_hsa-miR-199b-3p	119	48	hsa-miR-199b-3p	0.948580801712539	11.9507426593015	5.89257899389166	2.71327905179208e-08	2.11039785670025e-06	8.69748616038134
124_31_hsa-miR-195	124	31	hsa-miR-195	0.577413622712208	11.6434023301717	4.02911314703466	9.15490436599933e-05	0.00156132310708349	0.980711363669941
98_42_hsa-miR-100	98	42	hsa-miR-100	0.741630206792033	11.6119225428996	6.51958149055379	1.19362143243485e-09	1.5834973905651e-07	11.6986790248578
82_42_hsa-miR-30d	82	42	hsa-miR-30d	-0.482066145672782	11.4162957325817	-4.15253677293059	5.69321643844516e-05	0.0010669626796061	1.42574985862418
123_40_hsa-miR-15a	123	40	hsa-miR-15a	0.334685719859555	11.3365942324113	3.40179910596571	0.000873378443056753	0.00924640466543798	-1.11253029764721
185_37_hsa-miR-130a	185	37	hsa-miR-130a	0.6734095570352	11.2110362755882	6.77563255189625	3.18623793755e-10	4.98535089391544e-08	12.9704790842466
60_45_hsa-miR-20a	60	45	hsa-miR-20a	0.44481010385373	11.146193123451	3.5634438941617	0.000501334134149264	0.00602855416363941	-0.600985831934117
82_48_hsa-miR-30c	82	48	hsa-miR-30c	0.291398245082241	11.1081016947734	3.37307228104584	0.000962051362243324	0.00987441886372705	-1.20134837076582
182_35_hsa-miR-101	182	35	hsa-miR-101	0.369252342779387	11.0977020269903	4.79223103462944	4.16534625868858e-06	0.00013167459679534	3.89357554185625
17_69_hsa-miR-17	17	69	hsa-miR-17	0.49395805675606	11.0848210698386	4.57789014422609	1.02854306909297e-05	0.00028130234832754	3.03759903675918
112_32_hsa-miR-205	112	32	hsa-miR-205	1.60723908289676	11.0305133794747	4.13929049535862	5.99382665657445e-05	0.00111245422746022	1.37748526821563
112_29_hsa-miR-30e	112	29	hsa-miR-30e	0.180719066089473	11.0303298801907	3.16537910475913	0.00190151110616836	0.016528897574032	-1.82435353745199
