miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-145-star_st	-2.24796082560227	6.23016582708223	-8.74572395068106	6.35869705037865e-09	1.94901805389974e-06	10.6126467597179
hsa-miR-221_st	-1.67378532646123	11.0257222169341	-8.49110170087241	1.0932223870877e-08	2.19128906108475e-06	10.0869862176076
hsa-miR-222_st	-1.73168986953865	11.0749688905535	-8.255872962184	1.81736683050879e-08	2.71306362002861e-06	9.5930920103667
hsa-miR-455-3p_st	-1.41770980121868	7.90240732924344	-8.18002111600351	2.14438317674684e-08	2.77570934722943e-06	9.43213747734466
hsa-miR-125a-5p_st	-1.02061098035739	11.4147277747221	-7.67470670669205	6.58437866267341e-08	4.7645295600734e-06	8.33891183143705
hsa-miR-27b_st	-0.874673196584858	11.5960300917296	-6.91188542546934	3.81628664793868e-07	1.56969895545478e-05	6.62113903555196
hsa-miR-221-star_st	-1.6895422249004	5.18876513002145	-6.89765149386259	3.94628498269874e-07	1.6146710544393e-05	6.58834489303129
hsa-miR-133a_st	-1.92516534297648	8.49253394911583	-6.74835067324006	5.61610969754101e-07	2.08008991878118e-05	6.24280069996736
hsa-miR-320a_st	-0.605857271144762	9.66892655106024	-6.73204190785798	5.83777778148651e-07	2.11601838429079e-05	6.20488440608253
hsa-miR-139-5p_st	-1.45787401922343	5.80960145777562	-6.67620586351171	6.66672927333347e-07	2.34150113195157e-05	6.07481977672609
hsa-miR-181a_st	-0.929925970996104	9.17055459609983	-6.65418712357233	7.02583488365349e-07	2.40819735156807e-05	6.02342307613372
hsa-miR-152_st	-1.11860794689598	8.60182612214508	-6.64190328521392	7.23469686904165e-07	2.44758251218876e-05	5.99472390500837
hsa-miR-143-star_st	-1.69034396250153	6.95415885179013	-6.62283029383762	7.57163835616986e-07	2.5287330663875e-05	5.95012634947198
hsa-miR-145_st	-0.72497930142594	13.959767952854	-6.52288426155572	9.61818823906526e-07	3.06800575870592e-05	5.71570574865487
hsa-miR-133b_st	-1.65817188887344	8.68509288852608	-6.35773689192804	1.43182379527796e-06	4.01064622225708e-05	5.32576931215214
hsa-miR-770-5p_st	0.758396310451381	5.87075713429775	6.33728737220569	1.50445926106151e-06	4.07515135004784e-05	5.27726687405879
hsa-miR-505_st	-1.1783351057358	5.10303329702561	-6.28561444983679	1.70520018862725e-06	4.39806583304356e-05	5.15449948116265
hsa-miR-455-5p_st	-1.80824913031114	3.98915256357105	-6.23618789429938	1.92276378152642e-06	4.8007664385396e-05	5.03679298753064
hsa-miR-25_st	0.897030020369533	8.98407285536074	6.20474045121999	2.07571153769536e-06	5.08516792071762e-05	4.96176441982465
hsa-miR-181c_st	-1.05310288687881	7.16073989399743	-6.07406468444237	2.85620364626182e-06	6.41414698147591e-05	4.64887256076986
hsa-miR-886-5p_st	-0.979447893026201	9.32333600294867	-6.06640483761649	2.91030854650699e-06	6.51427806353726e-05	4.63047700600271
hsa-miR-205_st	-3.47523356765842	11.0691781948585	-6.05962871705618	2.95904002245638e-06	6.56957323167518e-05	4.61419882740657
hsa-miR-886-3p_st	-0.966811671521782	9.61147791405354	-6.03096104461824	3.17456691421125e-06	6.92995542864829e-05	4.54527989107249
hsa-miR-34a-star_st	-1.10092768013648	5.90996167301462	-5.8390265471507	5.09368429595368e-06	0.00010366443430437	4.0818117167959
hsa-miR-30c_st	-0.669751274592109	11.5034645034879	-5.7969261008803	5.65302613411713e-06	0.000113569149712405	3.97969751725283
hsa-miR-593_st	-0.723800889942326	3.88544072859649	-5.79199248187969	5.72253245611311e-06	0.000114264122323522	3.96772090542232
hsa-miR-99b_st	-0.876193114755177	8.89233512025581	-5.7917614563713	5.72580839380998e-06	0.000114264122323522	3.96716002746289
hsa-miR-31_st	-2.43571890730624	7.53447828552981	-5.61207641511527	8.94903941239597e-06	0.000165726879165579	3.52958267773051
hsa-miR-376c_st	-1.47525739096896	4.94542107608865	-5.56192827420058	1.01418450757702e-05	0.000184322137830567	3.40700861133842
hsa-miR-130a_st	-0.773470526791597	10.7224076982713	-5.51113874189675	1.15144264226791e-05	0.000201760633392909	3.28268200473409
hsa-miR-224_st	-1.29669693759783	5.20958431120324	-5.44576777553655	1.35619372025997e-05	0.000228912611745824	3.12240276348616
