miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-187-3p	-2.6035777872821	5.12262084315885	-6.2550424069024	4.23130429990022e-08	5.06896710630092e-05	8.40962045577333
hsa-miR-182-5p	1.82632707586433	9.92876266985328	5.92836055559843	1.50905714238806e-07	0.000122570133461904	7.22328181906597
hsa-miR-375-3p	1.96895732700453	12.0681384797085	5.50887946376613	7.54458219827341e-07	0.000249361203024007	5.72253817753721
hsa-miR-221-3p	-1.18661234294836	11.5427907986786	-5.41658605567241	1.07039685775739e-06	0.000279698763730201	5.39659531049639
hsa-miR-503-5p	-1.00965021910767	5.00948814808416	-5.2832482461208	1.76867742593909e-06	0.000396856609822399	4.92884379167896
hsa-miR-27b-3p	-0.804447500417446	11.3205716736644	-4.83645251696363	9.22764022742288e-06	0.00130771981515774	3.39276177661213
hsa-let-7c*	-0.638879921404092	4.42635245780745	-4.73535105460285	1.33106683993633e-05	0.00171732579855035	3.05281158715901
hsa-mir-182	0.45347233012932	4.87369519428407	4.69933455796213	1.51552573836597e-05	0.00186220225101718	2.93246355712597
hsa-miR-183-5p	1.46158024159794	6.99119323632953	4.60819089550299	2.10098804629374e-05	0.00229474583278527	2.62975594273029
hsa-miR-204-5p	-0.706804033763338	4.5251439789545	-4.60434505964823	2.13002416181523e-05	0.00231421519854483	2.61704259723395
hsa-mir-375	0.517145728998186	5.81285952039383	4.59947096652686	2.1673862306228e-05	0.00234247926485584	2.60093713622174
hsa-miR-424-5p	-0.546602675551797	4.07879849092044	-4.55230416294236	2.56356231273388e-05	0.00264356216809612	2.44549422542122
hsa-miR-224-5p	-0.859159365897895	4.7892657235693	-4.54537250529743	2.62743512317543e-05	0.0026700045739721	2.42271355241697
hsa-miR-573	0.320737719560348	3.74597344989568	4.47083617516904	3.41999617441689e-05	0.00325340926398561	2.17879903298237
hsa-miR-184	-1.04395560696457	4.30621484015493	-4.46151555450265	3.53415766096898e-05	0.00331616439069921	2.14843472963352
hsa-miR-362-3p	-0.359355118815732	4.02051669041925	-4.40036825861344	4.38045421423649e-05	0.00381792528177269	1.95000318411746
hsa-miR-27b-5p	-1.0391772565917	6.17574892276505	-4.40018155459638	4.38331779189133e-05	0.00381792528177269	1.94939937642656
hsa-miR-152-3p	-0.74156020073497	9.41507318761079	-4.29554945976327	6.3097522539741e-05	0.00468533150283408	1.61305275682178
hsa-miR-221-5p	-0.702024757957915	4.61055099236763	-4.28843600398107	6.46704767749606e-05	0.0047467952012396	1.59033632397205
hsa-miR-24-1-5p	-0.474260377631452	4.13784005642015	-4.27138539640696	6.85970849477101e-05	0.00491683897422076	1.53596554033764
hsa-miR-133b	-1.16528482381234	5.574311893157	-4.26121205446724	7.10489465284476e-05	0.00502281987392721	1.50357855372975
hsa-miR-875-3p	-0.299750632933725	3.91525906873075	-4.24446793335181	7.52704163792968e-05	0.00518376335829672	1.45036127817189
hsa-miR-222-3p	-1.3618812724246	10.9317186887873	-4.20796725884513	8.53315350511019e-05	0.00553286330674308	1.33473497501667
hsa-miR-200c-3p	1.32973107709375	13.7009287572723	4.13452773497094	0.000109664703217635	0.00665826020153421	1.10371362026321
hsa-miR-505-3p	-0.760382437928583	4.70955121516847	-4.12367473948229	0.000113786800790693	0.00680840848905009	1.06975969172826
hsa-miR-543	-0.492814149810339	4.45560923422949	-4.08410344753304	0.000130121958235154	0.00742018669571351	0.946374292706468
hsa-miR-4288	-0.496151000149024	4.70909895115678	-4.03488202252118	0.000153616733144534	0.00827395874551855	0.7938203369535
hsa-miR-1-3p	-1.47184712961776	6.67660397076648	-3.98122518695999	0.000183880582722291	0.00922179893713941	0.628706392085039
hsa-miR-34a-3p	-0.554349263535769	4.60216871596513	-3.9619861390417	0.000196070693774245	0.00963687459900413	0.569810265929504
hsa-mir-152	-0.357912668122327	3.82828445055236	-3.92463518284183	0.000221993998681367	0.0106160965526594	0.455937739718396
hsa-mir-589	0.404702759217537	3.94494583199745	3.88872927945872	0.000250001029321439	0.0112927160793927	0.347062070796663
hsa-miR-378c	-1.06594123276091	8.28011765564195	-3.87151644695831	0.000264602249495133	0.0116604950812793	0.295076512090829
hsa-miR-143-5p	-1.23901240234154	6.46028714686536	-3.86821541382424	0.000267494493342375	0.011748699629929	0.285122379043046
hsa-mir-220b	0.365851262092838	3.5621964763106	3.86609209584074	0.000269370882321925	0.0118059938933578	0.278722247293734
hsa-miR-93-5p	0.614336357244008	10.4615130621389	3.85460858602326	0.000279739924427438	0.0119616844436091	0.244144519016982
hsa-miR-28-5p	-0.563759551100466	9.2683591203923	-3.81117083729481	0.000322535897628238	0.0130953516545633	0.113904096619804
hsa-miR-133a-3p	-1.29945531442761	6.31454565761659	-3.80766693107351	0.000326249147011306	0.0131795717059773	0.103436739473309
hsa-miR-30c-1-3p	-0.43870095759139	4.67679475577805	-3.77747627763883	0.000359986249444574	0.0140742351274325	0.0134874473028095
hsa-miR-505-5p	-0.839425179453361	6.13483345223644	-3.76724466803244	0.000372159688338058	0.014253232739077	-0.0168980481927568
hsa-miR-455-5p	-0.564779106382855	4.67965736819393	-3.69700267950998	0.000467016775113151	0.0166217711873462	-0.224137483782511
hsa-miR-1271-5p	-1.11967467565178	6.40426859278822	-3.69273567129109	0.000473468290645535	0.0167934809687213	-0.236649225081855
hsa-miR-92a-3p	0.418027241085806	12.0212016881654	3.66883858015167	0.000511202854031054	0.017840513352178	-0.306554307357048
hsa-miR-106a-5p	0.484802223471579	11.5575711148562	3.66103012925703	0.000524143315135449	0.0181237696052614	-0.329334650202589
hsa-miR-455-3p	-0.926719181176907	9.60714310432186	-3.65416546980999	0.000535777449613069	0.0182208466101525	-0.349336492211718
hsa-miR-34c-3p	-0.380972588590383	4.38466950972478	-3.6441904505211	0.000553123122154126	0.0185058680885375	-0.3783591526487
hsa-miR-3175	1.09599325323949	6.19892748763674	3.63486252451777	0.000569827323768016	0.0186620758803305	-0.405453943258177
hsa-miR-378a-5p	-0.93234349539761	9.23361231530145	-3.62778819185632	0.000582815557791509	0.0189764377909939	-0.425973551783073
