SystematicName	GSM1137322	GSM1137323	GSM1137324	GSM1137325	GSM1137326	GSM1137327	GSM1137328	GSM1137329	GSM1137330	GSM1137331	GSM1137332	GSM1137333	GSM1137334	GSM1137335	GSM1137336	GSM1137337	GSM1137338	GSM1137339	GSM1137340	GSM1137341	GSM1137342	GSM1137343	GSM1137344	GSM1137345	GSM1137346	GSM1137347	GSM1137348	GSM1137349	GSM1137350	GSM1137351	GSM1137352	GSM1137353	GSM1137354	GSM1137355	GSM1137356	GSM1137357	GSM1137358	GSM1137359	GSM1137360	GSM1137361	GSM1137362	GSM1137363	GSM1137364	GSM1137365	GSM1137366	GSM1137367	GSM1137368	GSM1137369	GSM1137370	GSM1137371	GSM1137372	GSM1137373	GSM1137374	GSM1137375	GSM1137376	GSM1137377	GSM1137378
hsa-let-7b-5p	13.82374082	13.99811597	13.33903591	14.2556546	14.06724346	13.88083111	13.91390485	14.12576822	13.94702101	13.90820086	13.7999116	13.98014882	14.00412236	13.69553806	13.6887821	14.3988466	14.03143531	13.8180254	14.04139535	14.26714141	13.74541445	13.85164385	13.72069524	14.46858564	14.23264842	13.94224131	13.82674183	14.31674612	14.15472264	13.94919923	14.31883199	13.79322675	13.8833086	13.69772589	13.483266	13.89124553	13.93098529	13.79322888	13.61354255	13.73055723	13.8180379	14.29092944	14.26266433	13.59515483	13.77103866	13.97915157	13.42012843	14.45607587	14.6348453	13.50976936	13.35398399	13.78670346	13.54550557	12.93372899	13.36105966	13.88176984	13.66223898
hsa-miR-105-5p	1.581965866	0.894575362	1.2985626	0.74768132	1.03624727	1.289699172	1.030363963	0.978447687	0.898519376	0.621389489	1.205452951	1.594012751	0.801094815	1.788258193	1.096565613	1.046502522	1.016960382	0.771183353	1.029972006	1.356238907	1.527167978	2.307290717	1.188155486	0.968990256	1.047217027	0.951555125	1.708664275	1.231922949	1.155936066	1.13173263	1.175072986	1.32414494	1.487901086	1.553934542	0.996469384	1.053101408	1.141080269	1.198425068	1.141391678	0.929723656	1.147577585	1.007737698	0.973031627	0.788267103	1.529961843	1.485370569	0.802693203	0.605417054	0.909659207	1.735251402	1.649292184	1.524281351	1.29165656	1.475009439	1.32230276	1.515070922	2.426188258
hsa-miR-106a-5p	12.08877404	11.79754638	12.47355482	12.49479387	11.98390101	12.86523092	11.46927366	11.27918724	11.97346809	11.67163386	12.59918515	11.24726861	11.89016276	12.36538259	11.66630432	11.7231304	12.61101852	11.36473696	12.66216959	12.66093904	11.18180067	11.27616646	11.83553037	12.54177696	12.39319141	12.5323945	11.75707711	11.99361899	11.8457286	11.92884349	12.27160313	12.14872994	11.56359247	11.10465989	12.39709672	11.5134016	11.81939238	11.62356349	12.10497862	11.69763138	11.76576029	12.38786229	11.83606922	11.62046222	10.62802367	11.98494762	10.9805768	12.18903704	12.29012223	11.3659578	11.2812849	11.01675708	11.7626946	7.668991261	11.4413772	11.43143483	11.51324837
hsa-miR-106b-5p	10.54413168	9.516230533	9.646990429	9.438930147	9.130334806	10.46210889	8.677627815	9.614475716	10.18016083	9.4656872	9.814733993	9.301930709	10.22791281	8.731482691	10.34878489	9.862991581	9.838685749	9.159500059	9.85756884	10.02400374	10.20920467	7.831295192	8.897043178	9.542513408	9.604260993	9.705560183	9.062126268	10.09323486	10.04123535	9.292208068	9.727252359	10.00333379	9.565781826	8.073224373	10.19673371	9.661966341	8.896792345	10.14944522	9.877304938	9.682020919	9.407142815	9.265548142	9.481946748	10.13694408	7.635375588	8.28090899	8.895735527	9.690850213	9.829487941	9.178336544	7.651548294	8.976615654	9.353501556	1.509453657	9.764741184	9.96689219	9.322946502
hsa-miR-106b-3p	5.987185222	5.750609309	6.407881821	7.235303201	7.087221924	8.09403694	6.23486744	5.707529817	6.264924156	6.569495751	5.709900741	4.894147434	6.31168676	6.66252797	6.520857582	5.826727309	6.287219728	6.069862758	5.934074016	7.422671703	3.398672959	6.961412876	7.256173829	6.441559182	7.123382251	7.511646252	4.838936889	7.200787148	6.209121828	7.188328775	6.577174114	5.225894646	5.230385475	4.721726567	6.049824031	6.202960248	6.999674654	5.88365655	6.037030097	4.979587154	5.480388979	6.613808858	6.884867691	5.708448059	3.174086706	6.987670287	5.472637225	6.53812848	7.27895795	4.792171144	1.852234854	4.95138451	7.599333474	2.032807504	2.17390544	6.44531834	3.322420227
hsa-miR-1224-3p	1.248212295	1.184712146	2.635113643	1.747971586	1.575854561	1.56788162	2.252163382	1.246061333	2.044419589	2.423947809	1.755011737	2.042702428	2.006042379	2.610688887	4.021068894	1.223784381	2.0299342	1.389413327	1.312665998	2.378083339	1.777967711	4.179581903	1.831366641	1.722865288	1.519910166	2.071288965	1.921245545	2.703904043	1.094526782	1.90085585	2.366844863	2.070064276	1.200961936	1.94261412	2.819970102	1.946907441	2.327805627	1.317733886	2.687573011	1.622134208	1.48405364	2.149600834	1.249321914	1.545593272	2.06392473	2.432921947	2.369331272	1.533585701	2.470213724	3.073183565	4.472883132	3.269386616	1.705434532	7.688806141	2.459092622	1.487991596	2.427236738
hsa-miR-1225-5p	5.898366731	6.324268058	9.095060269	7.153827889	7.785594896	7.202528469	7.03294832	6.674498363	7.797972733	7.130398353	5.646108389	7.010340632	6.293009774	6.060019971	5.936540689	7.045444613	6.097983347	6.634028591	7.445320402	7.711838065	6.590925845	7.511406299	7.278450695	6.923454479	6.6940752	6.778825671	5.679473584	7.023179382	6.673759216	7.792912011	7.728646632	6.788217891	6.001500277	6.75488091	6.482942039	7.339444921	8.481611975	8.409086936	5.813642401	7.518209461	6.770188416	7.232830664	6.099703906	7.015599223	7.028932474	7.925672305	5.957737879	7.566164763	7.750455776	6.058834847	9.128197401	7.005345735	9.099085072	2.146338053	7.112773165	6.10402993	3.795841083
hsa-miR-1226-5p	2.600588235	3.11170871	5.927647927	4.55705284	4.24445633	3.384023399	3.97895008	3.643337299	4.434792608	5.106980186	2.934949083	4.129805526	3.879423763	3.846352709	4.154326581	4.1209774	3.316012531	3.807845323	4.004568516	5.027907277	3.504073006	2.182464847	4.214496627	3.943134734	2.725116287	3.39696736	1.583456622	4.306057635	3.154572786	4.610426025	4.871679003	3.897497802	2.506177666	3.120065825	4.098264442	3.70532563	5.54153228	4.961219592	3.339859812	4.061438563	3.055738385	4.156491218	2.841532164	4.449859199	3.200047607	3.971646522	1.55864316	4.143403368	4.656334002	1.192693645	5.558257601	2.631125785	6.060070924	1.565068587	2.757881591	2.046430409	1.146194421
hsa-miR-1227-3p	1.108672212	0.984859325	0.800234343	1.13385906	1.172291485	1.763785943	1.394769	1.281063518	2.465603979	0.810572727	1.127696984	1.916660246	1.781360339	1.943191923	2.260508846	1.258248819	2.135014219	1.470458609	0.827122627	1.116633294	1.813329948	2.170530066	1.928255883	1.241473472	1.425145512	2.410769174	1.850737682	0.955211942	1.767259269	1.512065478	1.368570001	2.107642445	3.685196155	1.80021278	1.794843061	1.28360842	1.535963055	1.120740418	2.651842644	1.328533766	1.642960257	1.879480585	1.705066084	1.497279066	1.430451088	2.184631788	1.440779156	0.889939937	0.762465901	1.514027357	2.032625577	1.17288919	2.101720759	3.399181534	1.481437228	1.862320476	3.786213624
hsa-miR-1228-3p	4.270311976	4.606975383	4.831792684	4.433887123	3.722627041	6.359707897	4.544265681	3.501149048	5.171198323	4.215035537	4.748021934	4.805328866	5.276427174	6.268743251	6.852644292	5.306038908	5.933642903	2.746993408	5.321093627	4.922419869	5.663380505	6.772264658	5.783028113	2.920033563	4.478243957	5.902626758	5.948544594	4.871380856	5.011484357	6.210914146	5.584061737	5.03689147	4.319064037	6.150918612	4.523122937	5.265860187	5.784758499	4.658648283	5.12562067	4.937948168	6.431894967	6.097368422	3.7656924	5.365501858	5.101389121	6.673422154	5.520147472	3.986623722	4.731272317	6.834813704	8.847624191	5.003690386	6.19154255	11.67806854	6.506779915	4.358646772	7.482484383
hsa-miR-1228-5p	10.408614	10.32723552	12.15507746	10.18723796	11.30135123	11.18604186	10.85310944	10.89329044	11.2172949	10.9637151	9.127103888	10.8116351	9.942193458	9.841425941	9.327793241	10.33195763	10.2884549	10.4487619	10.50995216	11.22168738	10.1242747	10.57126856	10.30582059	10.30580257	10.63457964	10.38123908	8.720960568	9.833079989	9.570199194	11.53798075	11.72335213	10.22004348	9.627064372	10.56311444	10.14979239	10.12484769	12.46457543	11.8534382	9.372071884	10.54262087	10.08647077	10.90291563	10.36962373	10.08361559	10.79213052	11.04347656	9.575337559	10.72808712	11.62159311	10.27502185	11.99293482	10.01649758	11.78555062	3.999330312	9.703119745	9.409640207	9.466770171
hsa-miR-1229-3p	2.019029535	2.304255322	1.535302121	1.198480871	1.411408864	2.172348856	1.536860249	1.564326335	1.693663249	2.776033889	2.05076965	2.157866416	1.627722918	2.871897906	2.215328129	1.262649177	1.401112715	1.338080831	1.920396036	2.59157916	2.715437861	3.357824029	1.781952785	2.334514441	0.992493995	2.269040144	1.94620708	1.967628552	2.895699459	1.845451129	1.877651659	1.945083892	0.778949054	1.37005882	2.82346979	0.981972853	2.441688612	2.106265429	2.126043302	1.621494524	2.034598112	2.641225975	1.999265127	0.979428159	1.186056286	1.982924534	1.382654636	2.9082374	1.131824733	1.618608549	2.02880481	1.17288919	2.106656205	6.956875154	1.826356992	2.484271245	4.691725423
hsa-miR-1231	6.553652843	6.88828233	8.506318956	5.270782706	7.071391297	6.7929016	6.921487818	7.756071913	7.996499878	7.519735678	4.474619587	6.926574275	6.992527593	3.779306523	2.043083886	6.778267979	5.852203978	6.766933424	6.263020358	7.06992322	6.476299269	3.202852696	5.459326836	5.714584948	6.364870772	5.941124003	3.591262833	6.280162628	5.994096438	7.098064849	7.004211157	6.049257836	5.508818007	6.439886551	7.063864832	6.430200031	7.71742717	8.628739112	6.314268861	6.579014238	6.115867074	6.310325806	6.397388569	6.537213647	5.755116681	3.769824991	4.625598256	5.637691522	6.724613115	5.217530167	6.552149236	6.44729927	7.850329166	0.905166009	4.495667933	3.694383657	1.747693441
hsa-miR-1237-3p	1.927864724	3.364668457	3.207532093	2.920678161	1.376849341	3.111367636	1.989048019	1.991084082	2.12879785	2.082191891	2.55379102	2.066533282	2.007942786	1.959444409	2.769389465	2.248191446	1.986984808	1.730411428	1.227189428	2.558352494	1.632954221	2.885297497	1.369308261	1.630883288	1.77011003	1.897961164	1.94432117	2.931748792	2.175706078	1.96434204	3.769912041	1.766942265	2.211175135	3.165073576	2.537951895	2.645040371	4.539523371	3.303527233	2.11436327	1.946682668	1.807587426	2.251309177	1.275509955	1.902712718	2.584941428	2.433404927	1.856996396	1.955893849	3.232376422	1.913935587	2.361811592	2.222302636	1.399747491	3.114059392	2.560882455	4.315425513	3.241476049
hsa-miR-1253	1.179464525	0.90868727	1.004910932	2.147678347	1.134797933	0.823019321	1.285638145	1.190091833	1.334612087	1.00126825	1.093768917	1.235000094	1.113466502	1.077570486	0.871961581	0.562306948	1.247005382	1.22631589	1.036190765	1.033970226	0.697601403	1.002581154	1.295274112	1.322736158	1.044736054	0.969145511	0.964865472	1.211472079	1.355994027	1.352952862	1.313337053	1.390362816	0.940390763	0.945941859	1.484810081	1.017956711	1.142703255	1.346436198	1.047971037	1.221708146	1.38464133	0.822367029	1.131907988	1.333261315	0.854431996	0.971623785	3.471667376	1.036653782	1.099449041	1.051456551	2.214671493	1.385649228	0.965874434	2.864617041	1.442551371	2.289421108	1.031485003
hsa-miR-1255b-5p	1.032109319	2.229334403	1.783748055	1.815981701	1.145240749	1.129606697	0.892201076	1.595272805	2.194677463	1.50526427	0.947117874	1.430586664	1.630218014	1.433933233	2.512526255	1.081480361	1.095851285	1.679205459	1.920396036	1.429806517	1.059846494	0.877460209	1.11423719	1.215548162	1.150724573	1.256168984	1.062498451	0.881901064	0.900672032	1.815467313	1.441988035	1.058783377	0.807037533	1.33128681	1.022379671	2.005330284	1.585160363	1.167207023	1.430236484	1.661279336	0.663407683	1.349848121	2.160546284	1.803746631	0.872595867	2.928599914	0.989881056	1.283955116	0.927181565	2.00328944	1.013785074	1.618105352	1.465439455	5.214050126	1.49962905	1.349264533	1.874308199
hsa-miR-125a-5p	10.38069378	11.01845285	10.24712607	9.961137769	10.67533624	9.952481599	10.98855873	11.12532709	10.53078776	11.09712056	10.64787855	9.942053675	10.78289505	10.76156529	10.78177433	10.86221115	10.74471106	11.56060561	10.28205333	10.12805352	11.35965354	10.80874506	10.59278966	11.14840302	10.43510154	10.8338378	11.07923492	11.56174058	10.80224448	10.4169313	10.21746619	9.869917468	11.04007857	11.6770051	9.724531427	10.66945628	10.20072373	9.897911779	10.59073902	9.818403373	8.183346715	10.41629411	11.40246886	10.79542632	10.9426259	10.10028932	11.46614936	10.79325613	10.38480048	11.16091646	10.6621952	11.53692326	9.648643512	2.876530445	8.468293594	8.545844515	5.471495961
hsa-miR-1268a	8.208456078	8.347542521	10.49189119	9.053058714	9.166724636	9.39819828	9.191793714	8.708419196	9.658758089	8.620595698	7.263680404	8.711707026	8.263259519	8.331950481	7.145215203	9.062393182	8.277865468	8.494543827	8.916917381	9.548039973	7.904808193	9.33500022	8.538449507	8.704130604	8.803484682	8.72014038	6.999383959	8.093435622	7.947419302	9.494334127	9.588134683	8.673129653	7.523258254	9.058916854	8.426860573	8.466161666	10.03057977	9.717085578	7.830857088	9.175697967	8.353280489	9.152859976	7.87238801	8.243481905	9.485717387	9.318769179	7.758285294	9.108397615	9.456333059	8.068117632	10.29016255	8.240606593	9.81334135	2.719617595	8.698978314	8.183587944	7.16627959
hsa-miR-1273a	1.649078665	1.207967088	1.463356015	1.402073206	1.287862645	1.006174704	1.689213262	1.121823897	1.779610972	1.19836194	1.502961078	1.349626267	1.280027551	1.342104311	1.532367078	0.689179344	1.200723051	1.712187326	1.644396655	1.466993783	1.437886718	1.137881457	1.767172218	1.20936286	1.227626816	1.736397978	1.006985251	1.10312087	0.873208761	1.193767556	1.194674272	1.177286704	1.756387369	1.509974701	1.536022729	1.372997527	1.379008981	0.984807156	1.376638649	1.59537581	1.005955912	0.984134515	1.356297553	1.368943608	1.492157281	1.363698272	1.437651045	0.514436183	1.029765242	1.116068331	1.965929853	1.644531722	1.081387546	4.193742108	1.176684611	0.697607895	1.951963128
hsa-miR-1280	6.079160632	4.775504284	6.591323578	6.662445729	5.11788626	8.081054275	6.259250159	4.615706809	6.906796977	5.617295573	5.384878156	5.307735624	6.859547606	8.098773371	7.14887747	6.992509243	6.502260946	5.472053655	6.207504282	6.789825442	7.212843742	7.972813685	7.149055247	5.08446327	7.049856446	6.965384718	7.028708032	6.478224779	6.42487383	7.668977244	6.875634552	6.042906072	5.763703102	7.305782704	5.272821182	6.439011941	6.572880402	6.440526325	6.501456546	5.763659281	6.907820714	7.130054819	5.78010947	6.893981208	6.627665357	7.645242153	4.99286974	5.100745662	6.357325647	6.990586063	9.654398588	6.539265071	7.960887357	12.16418271	7.808122392	5.584221784	7.259632743
