miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-23c	-2.99265101939612	-1.08202228928832	-20.5986340799495	1.98185596412157e-70	6.54012468160117e-68	149.54023506183
hsa-miR-375-3p	2.75376985467918	16.1722725351805	18.1500741425466	4.00944120858811e-58	6.61557799417039e-56	121.443270944274
hsa-miR-93-5p	1.66860292298535	11.4670244516815	17.0594034097959	9.27030482480971e-53	1.01973353072907e-50	109.127784135337
hsa-miR-182-5p	2.19872383911211	13.7508049328106	16.0049090354811	1.1345749953099e-47	9.36024371130664e-46	97.4640028883246
hsa-miR-200c-3p	1.68676379548123	13.3020944238336	15.7579168907929	1.69870710283038e-46	1.12114668786805e-44	94.7696138372412
hsa-miR-148a-3p	1.48334192773494	15.6434017343568	15.1278067468295	1.5726729818309e-43	8.64970140006994e-42	87.9937598558157
hsa-miR-183-5p	2.04732028943427	12.004670191223	14.6729414626878	2.0296443713773e-41	9.56832346506443e-40	83.1334280964595
hsa-miR-96-5p	2.16463570687979	4.37516271608202	14.5458958160894	7.79916859838229e-41	3.21715704683269e-39	81.9532269705639
hsa-miR-25-3p	1.13189604508901	12.4633832117674	14.5250737830752	9.71971828863646e-41	3.56389670583337e-39	81.5743099760262
hsa-miR-92a-1	1.17765412110158	11.7925038029983	14.2109441341194	2.64591857643196e-39	8.73153130222547e-38	78.2862386190788
hsa-miR-27b-3p	-1.02991168463653	10.5908891435939	-13.3364103536832	2.18425580012602e-35	6.55276740037806e-34	69.3187277200528
hsa-miR-92a-2	1.03925383820308	11.5274188475979	13.3253671484937	2.44332941324272e-35	6.71915588641749e-34	69.2066136573461
hsa-miR-423-3p	0.907044838222974	6.329542860023	13.0608421818479	3.53072495270848e-34	8.96260949533691e-33	66.6389743747645
hsa-miR-221-3p	-1.57610635724075	7.47017642876169	-12.7345135246482	9.16255660507416e-33	2.15974548548177e-31	63.329638282034
hsa-miR-184	-2.52861004549331	-0.0656108235002448	-12.5160992090893	7.90330232327591e-32	1.7387265111207e-30	61.4227632007801
hsa-miR-187-3p	-2.72447336948734	2.03972857272989	-12.3905045109337	2.70338540812878e-31	5.57573240426561e-30	60.0919985579493
hsa-miR-490-3p	-2.687435227021	-1.32578083153438	-12.2633831519357	9.32086529056223e-31	1.70882530326974e-29	59.0395001709556
hsa-miR-20a-5p	1.48886274997512	7.63319480758496	12.2674205607345	8.96254074253424e-31	1.70882530326974e-29	58.8300123659042
hsa-miR-23b-3p	-0.947241914016724	10.4757151488313	-12.0603654188607	6.62925974826876e-30	1.15139774575194e-28	56.7757251707117
hsa-miR-141-3p	1.26396499703206	10.2181955821419	11.797391508508	8.18364866071763e-29	1.35030202901841e-27	54.289342307035
hsa-miR-708-5p	1.3779908273261	4.53494986051376	11.6547422916815	3.15597556947675e-28	4.95939018060631e-27	53.109943688514
hsa-miR-17-5p	0.979056718130193	8.9243212878844	11.573382376963	6.7853781610464e-28	1.01780672415696e-26	52.2044746861406
hsa-miR-500a-5p	1.11021283670624	7.12251801063905	11.5440536674186	8.93454072841496e-28	1.28191236538128e-26	51.9835122665683
hsa-miR-133b	-2.01783539996191	3.90279311386508	-11.5020487564568	1.32404525319556e-27	1.8205622231439e-26	51.6156552854534
hsa-miR-222-3p	-1.27336235156553	5.45520587049913	-11.396009133065	3.56032554675458e-27	4.69962972171604e-26	50.6038368266339
hsa-miR-103a-1	0.844034926030249	12.7265910104625	11.372886987215	4.41410346354147e-27	5.60251593449494e-26	50.3268335912782
hsa-miR-153-2	2.34846038643725	4.49040270373252	11.3028846101337	8.44822675295985e-27	9.95683867313125e-26	49.9014194269079
hsa-miR-103a-2	0.838237521279035	12.7271379104141	11.316807368652	7.42640092866644e-27	9.07671224614787e-26	49.8107023498693
