Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	biotype
11687	P_117908	-0.294900000000002	17.3028583333333	-4.47928715440539	0.00103801419994858	0.0101826822801202	-1.06408709058855	NDUFB10	protein_coding
444	A_23_P100632	-0.382783333333332	17.1820083333333	-5.26329541757169	0.000308482620214675	0.00412441969136907	0.195912437179544	HN1	protein_coding
895	A_23_P127426	0.304700000000004	17.1774833333333	4.05131432453902	0.00208649165019138	0.0170491978433264	-1.78475274888521	TM7SF2	protein_coding
2833	A_23_P344973	0.277600000000003	17.1334416666667	4.02433274657779	0.00218211005008789	0.017635670955803	-1.83085248591915	MYL6	protein_coding
2459	A_23_P27795	0.417750000000002	17.0887333333333	3.93108261866407	0.00254934691688567	0.019764345036872	-1.99071542375667	SPINT2	protein_coding
4378	A_23_P86021	0.461433333333332	17.0516833333333	3.25640648973601	0.0080754748989716	0.0465357305377467	-3.16569064595314	SELENBP1	protein_coding
1121	A_23_P139376	-0.240449999999999	17.0464166666667	-3.26810814286583	0.00791289408757381	0.0458430007788473	-3.1451523910699	RPS3	protein_coding
1236	A_23_P145388	0.257516666666671	17.0429416666667	3.91831461435443	0.00260443560757838	0.0200777621380106	-2.01266693207149	MTCH1	protein_coding
9621	P_106213	0.40956666666666	16.9828083333333	5.11958905361394	0.000382810148545657	0.00483725568046425	-0.0287325284965361	PSAP	protein_coding
3834	A_23_P56316	-0.361916666666669	16.9732833333333	-3.29882895192695	0.00750180660853587	0.0440245133303461	-3.09123990940912	TIMM13	protein_coding
8612	P_100674	0.396233333333331	16.8895333333333	3.29594255764605	0.00753948269548073	0.0441938289250763	-3.09630474996292	CAMK2N1	protein_coding
14153	P_132652	0.4194	16.8681833333333	6.44956413273429	5.79835741967897e-05	0.00121383242192613	1.93803887893454	COMT	protein_coding
2964	A_23_P358555	-0.288316666666667	16.8274	-3.4837073515998	0.00544993993868255	0.0346810846193465	-2.76725611638431	NAA38	protein_coding
11315	P_115998	0.334616666666669	16.7381916666667	4.34535509207087	0.00128813048203896	0.0119333905696156	-1.28735779223443	SNRPN	protein_coding
15075	P_138286	-0.468383333333328	16.7016583333333	-6.13587382846666	8.85378929813265e-05	0.00165358567625695	1.49675884479105	H2AFZ	protein_coding
14826	P_136797	0.400066666666664	16.6767333333333	3.97225126222213	0.00237984816007991	0.0187969613079924	-1.92003721908605	EIF4A2	protein_coding
4257	A_23_P78888	-0.531266666666664	16.661175	-5.45583127076419	0.000232073511368024	0.00335275678891678	0.492297000430684	FBL	protein_coding
10899	P_113746	-0.302516666666666	16.6470166666667	-3.82304996883643	0.0030566750426183	0.0225561848248717	-2.17689952722876	TPT1	protein_coding
11615	P_117483	0.269816666666671	16.6210666666667	3.63930868889829	0.00417448442583121	0.0284103205064694	-2.49566041444946	CIB1	protein_coding
3364	A_23_P409945	0.304049999999997	16.5641833333333	3.81312393411252	0.00310828235602402	0.0228408518696284	-2.19405524915885	OAZ1	protein_coding
10727	P_112833	0.312333333333331	16.5513166666667	4.12301528074183	0.00185308521357394	0.0156324299413059	-1.66260416742012	ERP29	protein_coding
723	A_23_P117955	-0.421033333333334	16.506375	-4.08203994094446	0.00198291539028885	0.0164233517235373	-1.73234470039823	APRT	protein_coding
5343	A_24_P270728	0.296749999999999	16.4920166666667	3.52428928274493	0.00508273750691277	0.0329501928008424	-2.6963031690025	NUPR1	protein_coding
11284	P_115853	-0.30725	16.4771	-4.14639257746351	0.00178302936371649	0.0151786422790353	-1.62289428705743	CKB	protein_coding
1123	A_23_P139476	0.412333333333336	16.4515416666667	4.05694389134211	0.00206709941418917	0.0169311161874005	-1.77514339684051	CD63	protein_coding
959	A_23_P130194	-0.385566666666669	16.435525	-4.69939292784816	0.000731898434277785	0.00785839954916519	-0.702025852530769	PYCR1	protein_coding
12094	P_120307	0.249583333333337	16.4293166666667	3.26653468760485	0.00793455921403471	0.0459244972128919	-3.14791397786061	RNASEK	protein_coding
3703	A_23_P502224	0.714916666666671	16.4289416666667	6.08194383868697	9.53471725099188e-05	0.00174595128619131	1.41950374089375	CYB5R3	protein_coding
2681	A_23_P3221	0.886983333333337	16.3585583333333	9.58018446781296	1.58571519057807e-06	8.92281683209354e-05	5.66549317751869	SQRDL	protein_coding
12802	P_124671	0.487166666666667	16.3326416666667	4.31091937411618	0.00136218393376821	0.0124402106025544	-1.34510953317199	TMEM205	protein_coding
