Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
BMP6	-2.40011504239771	4.96655622196389	-22.6242293573386	1.54651404357709e-08	0.00013620942682372	9.33540520839339
LOC728855	2.76023501606351	6.2907161929897	22.3480882552627	1.70378919036487e-08	0.00013620942682372	9.27567437254273
PTPN13	2.47283088486351	5.10579087291599	18.5654235508064	7.32086197841522e-08	0.00039017754057627	8.29965178066047
GCNT1	-1.39156548251388	8.36900093068054	-15.5865081892545	2.8663142084176e-07	0.000416631798894446	7.26256193372027
C1orf59	2.40565533112167	7.28405864174269	15.6753633135191	2.7424616693962e-07	0.000416631798894446	7.29785398883247
RNF160	1.94283501466805	6.60567771321988	15.879974395877	2.47944060907499e-07	0.000416631798894446	7.37799469847646
CERK	2.51209409684788	3.86751477513065	15.7925340321022	2.58821544469503e-07	0.000416631798894446	7.34393753600539
MICAL1	-1.96468412173285	5.20053013353847	-17.6034037830802	1.11024564619004e-07	0.000416631798894446	7.9952780379836
GUCY1A3	2.16016431267358	7.44043225870076	16.9787987914084	1.47220926631809e-07	0.000416631798894446	7.78289363564237
LOC728160	2.55932886407056	8.20967667778467	16.0949833193026	2.23312159957776e-07	0.000416631798894446	7.46054688642451
GPER	2.10111457952118	6.79245595099296	15.912962583511	2.43974336910419e-07	0.000416631798894446	7.39076994761851
CAPN5	1.46729384662209	7.51207578146282	14.32196437945	5.52176727792728e-07	0.000735729475056493	6.72604524677755
RNF145	1.36126318809584	7.63805672688678	13.8369192047031	7.20411721924339e-07	0.000822761644417733	6.50193173307861
OPRK1	3.1023260524963	5.79225464324203	13.8951025102076	6.97475196419308e-07	0.000822761644417733	6.52938977352251
CKB	1.51501088091358	10.9348462506272	13.4237574424776	9.09849047646393e-07	0.000969838428187878	6.30227098632631
CHEK2	-1.08194105318767	6.8136664233601	-13.0641943263582	1.12093188666552e-06	0.00112016124599344	6.12159210357686
ACSM3	-1.0473585829871	7.14111249867212	-12.4352650357508	1.63577725545109e-06	0.00145302458541152	5.78910255958777
LOC387882	1.1463225770406	8.25472123969573	12.311756013835	1.76541925965684e-06	0.0014856467654028	5.72122565705488
SIPA1L2	-2.06879813126579	4.97985655787063	-12.1912333919176	1.90310815221395e-06	0.00152143981228744	5.65414047953215
DPY19L1	1.4433563383121	5.17104178707861	11.9960960992474	2.15227228549196e-06	0.001638699122511	5.54370874884831
SERPINE2	-1.15145204232977	6.19738831359439	-11.6384999590059	2.70950952551076e-06	0.00173289391213566	5.33533525230257
PINK1	1.41099175221484	6.53290671689124	11.6872954933598	2.62472721212547e-06	0.00173289391213566	5.36423696081255
MALT1	-0.962358794789808	6.96342472823475	-11.7617626877069	2.50100031767838e-06	0.00173289391213566	5.40805575616351
ACER3	1.20335045192716	5.34098375192762	11.7996778222986	2.44052110550554e-06	0.00173289391213566	5.43023334512265
TMSB4X	2.88600074721734	10.1799054466118	11.4627643986349	3.04123210326975e-06	0.00173665214639929	5.22999020875799
GPR177	1.32218712166443	4.3248331163348	11.4759014123891	3.01492258369607e-06	0.00173665214639929	5.237933901963
ACPP	3.8452199847723	8.80869945744835	11.4958228465723	2.97551014054224e-06	0.00173665214639929	5.24995868508626
PCSK1N	2.21426996588966	4.96067661869851	11.2792077064602	3.43702579556355e-06	0.00183182018150885	5.11781674067267
CFD	0.989627383974348	6.83846382431118	11.3068084552206	3.37399256009994e-06	0.00183182018150885	5.13482568837047
MBP	1.48668508867392	8.11502332509103	11.0829739006892	3.92506940959169e-06	0.00196746757759946	4.99541463923837
GHR	-1.54870829106793	5.80992716734182	-11.0782851573889	3.93764228426936e-06	0.00196746757759946	4.99245807119111
TMEM205	3.16664181091978	9.31346799975698	10.9751202723637	4.2259982792091e-06	0.00196852381817714	4.92702309471158
PPAP2A	-1.42013413943474	9.75520335585232	-10.9226168822455	4.38175828243118e-06	0.00196852381817714	4.89343832250701
ELOVL5	-1.09861822480069	8.60918308860419	-10.8665085483008	4.55534312793508e-06	0.00196852381817714	4.8573343438504
ADD3	2.69255217559446	5.58278740166128	10.9016352614293	4.44578964268575e-06	0.00196852381817714	4.87996317653399
MND1	-1.38501397681943	6.60565294202496	-10.7513624045629	4.93617455908725e-06	0.00207696039540121	4.78254401901666
SLC12A2	1.1730961739102	7.85692178969182	10.4425605977083	6.14551424870164e-06	0.00239660066640221	4.57723276324194
GSTA4	-0.987026482840937	9.24574775579573	-10.4873199918918	5.95130038377824e-06	0.00239660066640221	4.60742706827721
TULP4	1.63978700930261	7.24529202917521	10.4010227414257	6.33210077605771e-06	0.0024105704597235	4.54907739639151
NPC1	-1.49648101074604	7.58696621644889	-10.2907012471459	6.85913234345105e-06	0.00249251515998725	4.4736652449766
ABHD2	-1.07913064484327	7.75045435947553	-10.3056105104619	6.78512454983419e-06	0.00249251515998725	4.48391087952038
UGT2B15	2.29568468757267	9.02276235119458	10.2330644595906	7.15383323951065e-06	0.00254183643703413	4.43389682252655
VEGFB	3.30794153751722	8.53794129829974	10.1835734284776	7.41819483862713e-06	0.0025599550452925	4.39954416417697
PRRT3	2.69070498633876	5.57148288630712	10.1641268347818	7.52504141151714e-06	0.0025599550452925	4.3859938466187
RDH10	1.54882178003966	6.15857338946468	10.0233068658564	8.35206265533758e-06	0.0027776540559471	4.2869854338906
ATL3	0.807688541003476	9.38705108943873	9.88491677378359	9.2648506841433e-06	0.0028741345813508	4.18814705780983
FKBP9L	1.1177080591938	7.08227082345146	9.8906726051027	9.22473940714731e-06	0.0028741345813508	4.19228868090417
ELOVL6	-0.812369514919586	9.14561464555963	-9.87316339177719	9.34736370193518e-06	0.0028741345813508	4.17968151782961
MERTK	1.76779113738342	4.84281260044292	9.77769093331768	1.00488404605724e-05	0.00303152660611493	4.11049775048423
NPAL3	0.902757553740952	7.96238327412825	9.70745019630773	1.06024573276819e-05	0.00305923333313954	4.05911819626543
CDCA4	-0.824681360844657	6.5555450230453	-9.69371048063709	1.07146830105582e-05	0.00305923333313954	4.04901990681607
LGALS8	1.53584882792694	6.68777208338264	9.6540234598037	1.10463587616771e-05	0.00309860053053431	4.01976238300461
MYRIP	1.06498743660121	7.40641595486258	9.37068812744399	1.3775885891487e-05	0.00350568287122356	3.80699173729154
RALGPS1	1.06565827816051	6.37143460081858	9.16572999268016	1.62196852659302e-05	0.00350568287122356	3.64870740509753
C21orf34	0.815038289217738	8.92605250000596	9.16688843687957	1.62045808844814e-05	0.00350568287122356	3.64961260717361
CRIP2	1.65779532813801	6.4004432061388	9.21541348054722	1.55857508241081e-05	0.00350568287122356	3.68742111525469
WDFY3	1.65350104156519	4.87667559912766	9.16500465376811	1.6229150589707e-05	0.00350568287122356	3.64814056740584
TSPAN4	0.797715355256502	7.66468776888506	9.34412369622817	1.40681539440943e-05	0.00350568287122356	3.78668681672126
CALML4	1.30458345340103	7.39259418947247	9.35806856908511	1.39138763642944e-05	0.00350568287122356	3.79735351889478
MAFB	-0.969630924447204	9.35501901913251	-9.21148879315642	1.56348099827201e-05	0.00350568287122356	3.68437105145462
SLC29A4	0.899601665022259	7.07729021437308	9.14865151077041	1.64441938421269e-05	0.00350568287122356	3.63534828144454
FAM135A	1.69194018956775	4.49406319422003	9.23961283640107	1.52870198497254e-05	0.00350568287122356	3.70619709646376
FAM8A1	-1.09599008067194	6.91613167526186	-9.1500633504932	1.64255034913825e-05	0.00350568287122356	3.63645365161499
HBEGF	1.79520068028797	4.98507517281361	9.16118464731171	1.62791015355386e-05	0.00350568287122356	3.64515452455802
PURA	1.22133994859013	6.99086426234882	9.25710743930473	1.5075031177034e-05	0.00350568287122356	3.7197383229616
ASAP2	0.785055122247222	7.7342796402627	9.36657187143585	1.38207273155428e-05	0.00350568287122356	3.80384947250431
LOC645381	-0.856881822053638	6.30975138499736	-9.27611282773444	1.48484417829345e-05	0.00350568287122356	3.73441800369552
LOC100134304	-0.941805219489364	8.63589309190174	-9.15044333425864	1.64204771986615e-05	0.00350568287122356	3.63675112104987
LOC728178	-1.03164732404096	5.97844859039322	-9.36558981238907	1.38314496422321e-05	0.00350568287122356	3.80309956931857
EFNB2	0.959586164091252	9.11705966392946	9.11077000849803	1.69546390063811e-05	0.00356694372464509	3.60562218014625
