Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
GUCY1A3	-4.65303905535688	7.44043225870076	-36.5726872840007	3.4347418460857e-10	2.74590436885322e-06	12.8974992060321
LOC728855	-4.58724107020176	6.2907161929897	-37.140340474065	3.03859670544522e-10	2.74590436885322e-06	12.9676897864468
C1orf59	-4.67498127143502	7.28405864174269	-30.4623979028088	1.46835694403974e-09	7.82585305941712e-06	11.9858293571566
CKB	-3.27093548087909	10.9348462506272	-28.9821314542884	2.18008432185427e-09	8.71434205553198e-06	11.7129571355804
EPHX1	2.43370482960293	7.91338899347036	27.5236474301105	3.28272074600509e-09	1.04974844015751e-05	11.4195675027046
PTPN13	-3.52048921704025	5.10579087291599	-26.4309920344619	4.52451748626203e-09	1.20570850146406e-05	11.1821161082744
BMP6	2.61845359661749	4.96655622196389	24.6823563391533	7.77592709246641e-09	1.46328510256993e-05	10.7669414404227
GSTA4	2.28741061382001	9.24574775579573	24.3041169381125	8.78540505064442e-09	1.46328510256993e-05	10.6709383015557
MICAL1	2.800649734354	5.20053013353847	25.0935850620742	6.82357509966208e-09	1.46328510256993e-05	10.8687264580091
LOC645381	2.23351563169488	6.30975138499736	24.1787635924588	9.15182376990386e-09	1.46328510256993e-05	10.6386051096908
RNF145	-2.26488938411242	7.63805672688678	-23.0220663348657	1.3477973970474e-08	1.87886597272412e-05	10.3275462852943
TMEM205	-6.6045945502294	9.31346799975698	-22.8905647898052	1.41011893631181e-08	1.87886597272412e-05	10.2906734191936
KCNN2	-1.86886681186044	8.65082659537213	-22.257620864472	1.75916190484655e-08	2.0278465081468e-05	10.1086460846009
TLE1	2.95614392926139	7.22918148670995	22.2090678903412	1.78971158062135e-08	2.0278465081468e-05	10.0943643004537
OXCT1	-1.97147896530091	6.81427984146242	-22.0376771246241	1.9024140110202e-08	2.0278465081468e-05	10.043578117015
MBP	-2.91839155365251	8.11502332509103	-21.7560919037488	2.10531447582406e-08	2.10386707212193e-05	9.95886265409351
HES4	-2.5971064761459	9.58893290082912	-21.412427235865	2.38663993267271e-08	2.11999921575022e-05	9.85326911834516
RASD1	-3.83303531368207	5.3658359842706	-21.4950373834235	2.31534885432296e-08	2.11999921575022e-05	9.87887617322155
SERPINE2	1.95442704897808	6.19738831359439	19.7547082233555	4.49800599422146e-08	3.59593089208035e-05	9.30752100749229
EFNB2	-2.08125145398708	9.11705966392946	-19.7603967592484	4.48784607984629e-08	3.59593089208035e-05	9.30950327566438
VEGFB	-6.14404465654767	8.53794129829974	-18.9145815299866	6.32610015113011e-08	4.66152578908252e-05	9.00582224095635
LPXN	3.81519025605416	8.12869799712916	18.8813202538014	6.41400759020674e-08	4.66152578908252e-05	8.9935018691406
H2AFJ	-4.21081634711951	9.62635611258198	-18.1533110348868	8.72797143745865e-08	5.58206141254105e-05	8.71628967344911
SWAP70	-4.27045167136772	6.06471152128224	-18.3034912567279	8.18274865133646e-08	5.58206141254105e-05	8.77468117788018
LOC387882	-1.65601324348058	8.25472123969573	-17.7859456123146	1.02420403225566e-07	6.06518454508734e-05	8.57071613686931
STC1	-3.28037626150703	5.50745757276996	-17.3105613454776	1.26575920995881e-07	7.22793714572552e-05	8.37637354315679
SLC27A2	-3.22632335519975	6.89153893868812	-16.8584476094299	1.55623629748695e-07	8.35158610656085e-05	8.18502048523209
NFKB1	2.13079007516326	10.3162313811278	16.7729041023158	1.61923303085488e-07	8.35158610656085e-05	8.14807419082452
STX19	-1.80252654333497	8.48233758003669	-16.8090337062247	1.59228360532562e-07	8.35158610656085e-05	8.16370784656939
TSPAN4	-1.42282653467349	7.66468776888506	-16.666430012482	1.7016763252601e-07	8.50253211393244e-05	8.10175124327598
SLC29A4	-1.61985614394434	7.07729021437308	-16.4734014339118	1.86342947334912e-07	9.02859813617546e-05	8.01680652490613
CAPN5	-1.66482025881122	7.51207578146282	-16.2499805337369	2.07256966132164e-07	9.74656362202107e-05	7.91690507592208
DSC2	-3.72388769253575	7.54620537907104	-16.1081455930735	2.21895889492579e-07	0.00010061875445293	7.85258574490421
ALDH1A3	-2.5780665710411	7.74665465571689	-16.0265050395131	2.30846017841319e-07	0.00010061875445293	7.81524181477311
LGALS8	-2.53810732881953	6.68777208338264	-15.9540100889988	2.39133946413868e-07	0.00010061875445293	7.78188220735257
KREMEN2	-2.64777105797079	5.50876393432382	-15.9959534311149	2.3429888219215e-07	0.00010061875445293	7.80120596654788
TMEM62	1.41225467727759	7.61286896373973	15.8949158180694	2.46137138785606e-07	0.000100909915693411	7.75454952581752
TMSB4X	-3.979053830535	10.1799054466118	-15.8042081703845	2.57338802189944e-07	0.000102864752705376	7.71234891219554
GCHFR	-1.82611109771457	8.68284267177181	-15.7518661858961	2.64062121392253e-07	0.000102977786803432	7.68786095189808
STBD1	1.74351040446212	6.34312864460556	15.5437526706761	2.92813571193363e-07	0.000111471337852635	7.58949505979944
PCSK1N	-3.03983249250301	4.96067661869851	-15.4845175177237	3.01627128244075e-07	0.000112156189616151	7.56120138332862
GALK1	-3.30045009822899	7.85490000491267	-15.3374392968549	3.24825873310267e-07	0.000118037292917224	7.49037377590169
PRRT3	-4.02686326432493	5.57148288630712	-15.2114591427635	3.46295122520457e-07	0.000123042504755102	7.42904550704282
RNF144B	3.02802115129579	5.77354681502732	15.0678526090405	3.72731665633624e-07	0.00012955666525687	7.35838129061356
C17orf93	-2.35157885726826	7.52273814919765	-15.0103832255634	3.83939144264688e-07	0.000130612829311662	7.3298742100559
SSFA2	2.53125256159355	5.80943290266904	14.9209080464885	4.02148238640163e-07	0.000133957253908699	7.28522846457242
AUTS2	1.46549317533281	7.4208685437659	14.7776655785482	4.33350669262391e-07	0.000141404976547681	7.21308127964685
PTGFR	-3.75534770842347	4.97115631884483	-14.7312957999206	4.44025857938083e-07	0.00014199058885144	7.18954673253304
PRAC	-2.60749439052066	11.8616129309557	-14.6455122075331	4.64561021023578e-07	0.000145644434610706	7.14577431044473
CFD	-1.26980063406934	6.83846382431118	-14.5078771851283	4.99771078976748e-07	0.000153669995803062	7.07490319092903
ADD3	-3.56033676380807	5.58278740166128	-14.4151311750621	5.25182721853138e-07	0.000158436727164336	7.0266956950348
PPAP2A	2.11223505060926	7.46814256240509	14.266435856283	5.69003309870633e-07	0.000165414434936755	6.94863844687427
FAM8A1	1.71075224287691	6.91613167526186	14.2825119272293	5.64073476208757e-07	0.000165414434936755	6.95712357761296
FADS1	-1.31345101311817	8.50143887712353	-14.0032281525228	6.56991253800632e-07	0.000174191124496763	6.80810126826642
TRPM4	-2.00919906604434	9.08170537969571	-14.1237628746708	6.14934525833632e-07	0.000174191124496763	6.8728393641313
CRIP2	-2.52305590983205	6.4004432061388	-14.0252557411628	6.49070616445806e-07	0.000174191124496763	6.81998045965913
ACSM3	1.16443406126641	7.14111249867212	13.8252995714284	7.25092857928792e-07	0.000186992092022959	6.71134405979528
ANKRD29	5.09720208462709	5.93681890617654	13.7725863873836	7.46761525158689e-07	0.000189523333742258	6.68240167088969
IRF2BP2	1.84889993574096	5.69132334476824	13.573536160488	8.35380820799425e-07	0.000202377332481243	6.57195042702307
PTPN12	-1.51272057544702	6.52341234090574	-13.6058384283509	8.20230994105913e-07	0.000202377332481243	6.59000066918566
LDHA	-2.5546101497384	4.32412005267909	-13.5757985246235	8.34309619864583e-07	0.000202377332481243	6.57321621992911
ARID3A	-1.3958660771445	6.32675961710669	-13.5187454362923	8.61799939922962e-07	0.000205661481185496	6.54122104691711
SLC2A1	-1.71255560239833	8.62771395099534	-13.3915366827712	9.26823597130883e-07	0.000205819201312857	6.46932407029366
TSPAN13	-2.15001697627933	9.43312679951956	-13.3993306973607	9.2268526504154e-07	0.000205819201312857	6.47375150740093
ZIK1	-1.45726165625485	5.28516106074914	-13.4823493025846	8.79866553746417e-07	0.000205819201312857	6.52072944532635
CHEK2	1.11123842400214	6.8136664233601	13.4179534747369	9.12880807888909e-07	0.000205819201312857	6.48431842821367
CAB39L	-1.41664409821271	6.74195697672159	-13.3425718430408	9.5330261211905e-07	0.000208799389933856	6.44144208663268
EIF4E3	1.47904973753659	7.24344174509618	13.2347500537806	1.01465029851157e-06	0.000216309914972021	6.37963367118759
NMB	-3.19635872914312	5.38789717360217	-13.1289961431671	1.07914750199246e-06	0.000227032755386283	6.31845474686925
AMACR	1.27342297123624	7.10862823200938	12.9716629170592	1.18377308033111e-06	0.000245809711446937	6.22640249062114
H2AFY2	-1.07874355059019	9.20211985799635	-12.9251647821906	1.21683376784265e-06	0.000249435321974822	6.19895748158271
FLJ14712	2.73806864426486	4.52687173749397	12.786750573526	1.32152972281087e-06	0.000264124234225287	6.11660266850787
GPER	-1.68918776581496	6.79245595099296	-12.7932012732326	1.31643216655149e-06	0.000264124234225287	6.12046278640413
TUBB3	-2.17673172634774	6.79160046060591	-12.7612319090418	1.34191317883516e-06	0.000264887034770314	6.10131096649137
ELOVL6	1.04764491046162	9.14561464555963	12.7325917425338	1.36521029073772e-06	0.000266199357787871	6.0841082277353
ZNF415	-2.72700986764312	6.30349463281542	-12.6496723811153	1.43525402918944e-06	0.000270305071726249	6.03405958636854
SCD	-1.00377788573758	12.048315287027	-12.6599308060769	1.42637420720263e-06	0.000270305071726249	6.04027105777288
AADAT	-1.97587616799345	7.96546594449401	-12.6283730729452	1.45388930942882e-06	0.000270305071726249	6.02114504933087
DPY19L1	-1.51964364807634	5.17104178707861	-12.6301390412385	1.452333966692e-06	0.000270305071726249	6.02221673494594
PRSS23	3.67670271668113	5.43032874009406	12.5263857374939	1.54695739134354e-06	0.000284302318737838	5.95897127691039
PALM	-4.13710526474226	4.76483933227994	-12.4744835237813	1.59686766732423e-06	0.000286879967784798	5.92711600266098
LOC100133565	2.18987525940822	6.44608832200401	12.4832088429566	1.58835263129071e-06	0.000286879967784798	5.93248139732594
SPRYD5	-4.63218204610994	5.01133625466974	-12.2802113237445	1.80034724276809e-06	0.000319841689606877	5.80657652416745
MAFB	1.2875164461039	9.35501901913251	12.2313996132623	1.85592883164506e-06	0.000326092814166734	5.77596284762692
ALDH3A2	1.10561537360437	8.94627353265918	12.1229850706321	1.98638241767215e-06	0.000345220309523479	5.70748964524284
USP54	1.73880918278885	5.97782551483721	12.0160381690509	2.12520359178708e-06	0.000357682949779827	5.6392901698668
NRSN2	-1.13831528241097	7.76201441968868	-12.0188191221735	2.12145917261691e-06	0.000357682949779827	5.64107186135873
