ensembl_gene_id_version	logFC	AveExpr	t	P.Value	adj.P.Val	B	biotype	symbol
ENSG00000000419.10	0.452931143169485	5.73552261743921	3.76208159158119	0.0022015323940817	0.0109655316680787	-2.69910457090902	protein_coding	DPM1
ENSG00000000457.11	-0.389098749412216	4.55088528897771	-3.88129657733037	0.0017460758865323	0.00922372101964537	-2.30366579366929	protein_coding	SCYL3
ENSG00000001036.11	3.86463027755653	6.46787396216033	4.33664529555595	0.00072808218498636	0.00469635084046303	-1.36517896700345	protein_coding	FUCA2
ENSG00000001460.15	-0.95132646769864	2.44414245603871	-7.07654065183438	6.48206685663882e-06	0.000142233406021996	3.85202537155231	protein_coding	STPG1
ENSG00000001461.14	-0.77060906526156	5.71122053275549	-4.66751098864892	0.000390722090717344	0.00294498049029283	-0.894660828394796	protein_coding	NIPAL3
ENSG00000001497.14	0.595802989840687	6.11741339708129	6.83059397730713	9.49933655356429e-06	0.00018660315981601	2.93138798274221	protein_coding	LAS1L
ENSG00000001561.6	-0.43169927508114	6.32842195658532	-3.16182116836637	0.00713895597207631	0.0271087531914976	-3.89722256643094	protein_coding	ENPP4
ENSG00000001617.9	0.648725833741765	6.21893321297328	4.39788275112936	0.000648264806451123	0.00430756294259456	-1.36986798359499	protein_coding	SEMA3F
ENSG00000001626.12	1.15550436671745	-1.70451340541239	2.90230803349152	0.0118732107177193	0.0402229262558461	-3.25718388281448	protein_coding	CFTR
ENSG00000001629.7	0.316023504523042	6.29769632232045	3.72580936829307	0.00236281997859275	0.0115872426530868	-2.79763471001419	protein_coding	ANKIB1
ENSG00000001630.13	0.362248340591528	3.85865912336281	2.86915519528667	0.0126676606864647	0.0422301384868574	-4.13338095365456	protein_coding	CYP51A1
ENSG00000001631.12	0.224310692429142	5.6823963659942	2.95889570239222	0.010629019684354	0.0370282778865735	-4.2613284940135	protein_coding	KRIT1
ENSG00000002726.17	4.41857993947708	-0.00124866830422689	7.99005610606498	1.67820513047145e-06	5.29110395903537e-05	5.46460378471097	protein_coding	AOC1
ENSG00000002746.12	4.74043321362578	-1.28431870425257	15.6946734631819	4.17922065503826e-10	2.3238366487765e-07	13.3731932226407	protein_coding	HECW1
ENSG00000002933.5	2.11321799268198	-5.13949921706612	3.74440181066202	0.00227870083169717	0.0112447689979272	-1.29409097162798	protein_coding	TMEM176A
ENSG00000003056.5	-0.403336214436005	6.52178966171777	-4.15202077263592	0.00103566809617524	0.00616962640395021	-1.94909120410249	protein_coding	M6PR
ENSG00000003137.6	2.48831761233662	-1.80080020840777	4.94376283646254	0.000234688295266949	0.00201116771698815	0.650573818828065	protein_coding	CYP26B1
ENSG00000003249.11	-0.84856797068784	5.55145445641528	-7.76580704068574	2.31586538948621e-06	6.66587795519641e-05	4.48340871588317	protein_coding	DBNDD1
ENSG00000003400.12	1.1601967821737	3.31718631015369	4.50373254482713	0.000530888437035706	0.00371374026625696	-0.802653872907785	protein_coding	CASP10
ENSG00000003989.14	0.634450943186453	5.28148693838643	3.42253516589371	0.00427797077741483	0.0183140565249748	-3.39331486711575	protein_coding	SLC7A2
ENSG00000004534.12	0.243936065829539	6.15264940051514	3.09968953094557	0.00806520271431099	0.0297525157827961	-4.00005071853082	protein_coding	RBM6
ENSG00000004660.12	0.384382959667773	5.37073112247658	4.55145270731485	0.000485369248329917	0.003474337096037	-1.09694498124899	protein_coding	CAMKK1
ENSG00000004848.6	1.0219804483643	1.00699538371384	4.29499710532812	0.000788087433319017	0.00500164647044956	-0.819166283812664	protein_coding	ARX
ENSG00000004866.16	1.51174102049221	6.02486788066768	9.7491020681614	1.63481402246691e-07	9.97440395852253e-06	7.17914405892852	protein_coding	ST7
ENSG00000004961.12	0.445870784144254	4.79132725023251	3.96294716456723	0.00149064009550522	0.00819182402889281	-2.20031503372197	protein_coding	HCCS
ENSG00000005007.10	-0.26324765633606	6.79783524259698	-3.3464145949331	0.00496761338079809	0.020575186892603	-3.56155555625393	protein_coding	UPF1
ENSG00000005020.10	0.745141072929827	4.38199062007304	3.99279859970133	0.00140707034254482	0.00781978896469499	-2.17047961605003	protein_coding	SKAP2
ENSG00000005022.5	0.4510695130848	8.77124753183358	4.20285710939216	0.000939585015354514	0.00573836420011571	-1.96836830547833	protein_coding	SLC25A5
