Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
KLK3	-4.76001997432408	8.36390293803436	-32.3111924394605	4.94864634636876e-15	6.9043513824537e-11	24.655025506887
ADGRG6	-6.45989700334616	6.33443097339585	-23.2910349404375	5.49254919823519e-13	3.83160232068887e-09	19.775866133203
DGKH	-5.25521075387233	5.41040381195863	-22.5718499464383	8.5960832753687e-13	3.9977517952648e-09	19.1176881458542
KLK2	-2.41859870738888	6.99770463053451	-18.4848401090194	1.46147658857132e-11	4.41150160832992e-08	16.9488059417414
H2AFJ	-6.09329285009451	2.91465686073396	-18.3819948193669	1.5809567117008e-11	4.41150160832992e-08	15.7478217234634
TACC1	-4.73150264582632	5.07640174148899	-16.6416351907939	6.37811281267366e-11	1.48312383270705e-07	15.0960988821583
ABCC4	-2.29367088828137	6.01021645237786	-15.6148498138186	1.54756568985805e-10	3.08451950069993e-07	14.5765283425331
ADD3	-2.45295883837644	5.74879117729789	-15.1757899384122	2.29733320748359e-10	3.18185203439323e-07	14.2125932430608
TMEM205	-4.67498127501349	5.64928111877641	-15.2729811809214	2.10313169631703e-10	3.18185203439323e-07	14.1361713000321
MCCC2	-2.08467324389114	8.9698658425118	-15.1070403447071	2.44618146510875e-10	3.18185203439323e-07	14.0649331485748
LIN7A	4.1551348087975	3.81230973710337	15.0795133098072	2.50862760739145e-10	3.18185203439323e-07	13.9400375106944
PEG3	-4.59286599352537	5.86922272879375	-14.7403535145631	3.43393543101549e-10	3.2778327978908e-07	13.8117553859226
UGT2B17	-2.08145227244896	5.04276677372167	-14.5795802894711	3.99391897678781e-10	3.2778327978908e-07	13.6229529159478
APP	-2.56650456998852	7.80620838230615	-14.6016861771096	3.91147721830171e-10	3.2778327978908e-07	13.598265083117
PDZD4	3.76961357137746	3.95220124398355	14.6661413920995	3.68126730806176e-10	3.2778327978908e-07	13.5420689724623
GUCY1A3	-2.10438488691867	5.27747683145422	-13.983416080164	7.08514383498009e-10	5.20273298871801e-07	13.0559259211103
TMEFF2	-4.42013367152302	5.06698989298134	-13.9977974198654	6.98610524214791e-10	5.20273298871801e-07	12.8742159571664
NLGN4X	-5.56121623575831	1.43472562192405	-14.6378027229729	3.78065509217827e-10	3.2778327978908e-07	12.7611064584029
ARHGAP6	-6.25480843444836	4.03490832742669	-14.8804125883428	3.0140466615926e-10	3.2778327978908e-07	12.7380443115778
CAB39L	-2.1920988776602	5.92025158742564	-13.6215461294783	1.01392237962452e-09	6.43487903976742e-07	12.6884468805485
KCNH8	2.66141988146222	3.78126086087976	13.5764972832387	1.06079571326441e-09	6.43487903976742e-07	12.6739136106488
ETV1	-6.09330560163831	4.47652779322976	-13.4576227061839	1.1958980632009e-09	6.67406791111159e-07	12.2308854494355
MAGEA10	-4.98968043811347	1.60778635501443	-13.5139158605803	1.12977204779252e-09	6.56774150450052e-07	12.0398752167924
CAMK2N1	-3.32392477827661	5.19350518391979	-12.910749153358	2.10088719200987e-09	1.08561400381192e-06	12.011886231392
WDR72	-3.90521918654888	4.98878968406228	-12.7453092964674	2.50132546926547e-09	1.24637474811399e-06	11.7687727567144
OLFM2	3.15192771623359	3.8429601415346	12.6474065214849	2.77587484164092e-09	1.33548295829566e-06	11.7390213810885
LPAR3	-6.71147695272603	3.46258039796899	-13.7824218888961	8.63710623420877e-10	6.02524530898404e-07	11.6802872153196
BEND4	-4.00063102282111	3.39412223812215	-12.3394903599736	3.8690019793243e-09	1.79934385385109e-06	11.1741315656961
EFS	-6.86657680378262	1.31598297490917	-13.6082621082352	1.02751107711447e-09	6.43487903976742e-07	10.9710857769541
