Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
TNMD	-2.51182729966773	-2.65327722630812	-10.0508471158194	6.00222921773655e-22	1.21010460320804e-20	39.0425369946726
FUCA2	0.412920127560247	6.00158575553404	5.49144151989037	6.07609346400211e-08	2.1693014117772e-07	7.06336878707877
GCLC	-0.341450972261081	5.94286512145717	-4.93090896902266	1.08275549381834e-06	3.24245657392721e-06	4.26453696127861
STPG1	-0.287654727981391	4.17455984010975	-4.61311406966039	4.93001931228512e-06	1.34393377256298e-05	2.95747845943926
NIPAL3	-0.619482803991382	7.40300525536001	-3.81696613283066	0.000150304112779443	0.000325129298221636	-0.395121044542661
LAS1L	0.227962664181567	6.15569909052594	4.96241724437441	9.27339971731703e-07	2.80647773549959e-06	4.41834971447699
SEMA3F	-0.415403908547954	6.30278894797893	-3.68241040883272	0.000253627312130652	0.000529237956889896	-0.932824432326015
ANKIB1	-0.19269647279975	5.97760452555779	-2.36187032163367	0.0185272687973345	0.0284027726674583	-4.8519461814246
BAD	0.355544404719174	4.40931153984326	3.62091952723604	0.000320439851077424	0.000658690857446611	-0.949661349324765
AOC1	-2.7370474247256	2.48143546768609	-9.20525959610413	6.90781837953716e-19	9.58352475298951e-18	31.8964913806013
WNT16	-1.50296842643398	-1.06112486658402	-8.19462549708518	1.74468590693883e-15	1.61669838229396e-14	24.5458705285312
HECW1	-1.59685376219046	1.09403026273803	-7.60379307263928	1.23544892619224e-13	9.20998294826249e-13	20.2769648076397
TMEM176A	-0.718318025193031	3.35730955667534	-5.36572746274293	1.18584555830837e-07	4.06244747904858e-07	6.62842774725975
M6PR	-0.616788541022819	5.79603019387355	-6.47278405641962	2.11767956549789e-10	1.03754468097299e-09	12.5563436181951
ICA1	0.912815133662349	6.52639670255035	11.8877332029641	3.42438755319072e-29	1.60475688465938e-27	55.2797158923431
DBNDD1	1.40341535455885	5.38010894512421	9.89963175311141	2.18412878858515e-21	4.06930702067503e-20	37.6017546514804
TFPI	-0.664645837420957	3.79340116739465	-4.30116750464007	2.00756986993546e-05	4.95854815189451e-05	1.63094284240234
NDUFAF7	0.103981527381301	3.80342748441568	2.23336678329561	0.0259224720239375	0.0386491938688409	-4.85832473588837
RBM5	0.423407418812467	6.73085312382289	6.16510723012267	1.35615656780957e-09	5.95525405563873e-09	10.7417744084429
MTMR7	-0.574551519177313	0.152469887137953	-6.46734995925041	2.18968875849672e-10	1.07068891186072e-09	13.1264434058249
ARF5	0.311239499259531	7.1975906922149	4.05163970243491	5.81121299489309e-05	0.000133714529893736	0.461076772300482
SARM1	0.199877988921543	3.72860840018068	2.63405544787426	0.00867257107326404	0.0141016855565536	-3.8750367983864
POLDIP2	0.18944855118209	7.5232758864775	3.62239362626676	0.000318660996029913	0.000655473229897012	-1.12834998894576
CD38	-2.12192820615422	5.01957151083887	-6.50971328892281	1.68618961305246e-10	8.36824416695965e-10	12.7932186536521
FKBP4	0.388168827291584	8.16911648451779	4.89599030197775	1.2843425999907e-06	3.80989573391782e-06	4.13965756599655
RBM6	0.498339908151335	6.81058667432928	5.67301459387937	2.26070561942264e-08	8.52747883111248e-08	8.00406541906368
RECQL	-0.660384617987906	3.65970417217995	-5.98974496708296	3.77945156189059e-09	1.57248750514716e-08	9.91593913056725
HSPB6	-1.33755509571469	3.93377062227478	-7.59569101296474	1.30752594956591e-13	9.71191990851191e-13	19.8717674700027
NDUFAB1	0.286722412640647	6.00215447334359	3.90521515663604	0.000105734473675103	0.000233658723503044	-0.0963839323553062
PDK4	-2.16667853914517	6.22198755834423	-9.44861890577321	9.49730995441609e-20	1.46492426658694e-18	33.7802511300671
SLC22A16	1.11243754544758	-1.82262686880668	3.73061571262903	0.000210659690565297	0.000444794442091266	0.221712764710084
ZMYND10	1.28600195621774	0.95603777649824	5.3923650185233	1.03030752630056e-07	3.55940230948742e-07	7.24348004063335
ARX	0.908870634225622	1.68692980599206	2.85830664911587	0.00441900147034866	0.00754400723761692	-2.85337098495151
SLC25A13	0.204032348833965	5.41035664984252	2.81579680094038	0.00503857855056491	0.00851647404237829	-3.6486270447816
CDC27	-0.211946679840946	5.93473478923163	-4.45264414458099	1.02583439731991e-05	2.65721407812105e-05	2.10942061991281
HCCS	-0.0892822672158067	4.59024733368351	-2.24866205033396	0.0249254120612653	0.0373257969616069	-4.99950068256869
DVL2	-0.22432630399086	5.8972553006968	-4.43783647566508	1.09637659041285e-05	2.82622544133717e-05	2.04656463451853
SLC25A5	0.182437679466669	7.8347309174872	2.39769181618446	0.0168280892149792	0.0259876577829264	-4.73615175183848
MCUB	-0.230604050430342	2.48663335023515	-2.23689713606376	0.0256893178994306	0.0383621314971064	-4.64352698726051
DHX33	0.123013183553438	5.07033598075492	2.24355678907654	0.0252544444055231	0.0377586542146873	-5.05099462998003
LIG3	0.545808372124138	6.42225115275199	7.16365493304305	2.50965135882809e-12	1.57936952248546e-11	16.9032948781634
ACSM3	0.446269941919662	5.48385501847559	2.74675488191872	0.00621422131187381	0.0103539434478473	-3.82447593325971
REXO5	0.305511319814477	4.18342898722467	3.1500649396738	0.00172023061742572	0.00315521235744742	-2.4671995385683
CIAPIN1	0.192497699796705	5.6602675955086	3.25896075422543	0.00118663548065597	0.00223219096545029	-2.34339732950224
SPPL2B	0.563324067054069	5.96760595493137	5.94657406580146	4.8459016368226e-09	1.99189756601633e-08	9.52781201168809
ATOSB	0.331771461451372	5.29624754638645	4.29421519657902	2.06941717848519e-05	5.10206909988778e-05	1.50264249754875
COPZ2	-1.04062287585035	3.92551916718482	-9.35380543925707	2.06645773922278e-19	3.05686362917798e-18	33.0533086023532
MSL3	0.198066105267968	5.10117338826313	3.91537563726485	0.000101493941980424	0.000224854316065617	0.00455674913150084
CREBBP	-0.162572313229342	7.23749383164015	-2.3681483894637	0.0182190124688942	0.0279686215420209	-4.82032987391407
GCFC2	0.316419610479482	5.04449072119012	4.84995876758544	1.60600511825271e-06	4.70048411010887e-06	3.97656859643013
WDR54	0.206367919359219	4.22105637745818	2.43088405878536	0.0153776418732619	0.0239116878064728	-4.47535185380998
CROT	-0.594650390828365	6.04379543890537	-6.82767009295643	2.27011487615993e-11	1.26577976609862e-10	14.7397354307185
RHBDD2	-0.278747729458964	7.47736032354621	-3.21778342335824	0.00136719895360926	0.00254661287817163	-2.46729002733988
SOX8	1.08378559745281	1.95035542465167	6.43055404709653	2.74444042530337e-10	1.32766901268222e-09	12.8793433719996
ZNF195	0.35936743085033	5.07761336588596	6.485574096448	1.9572246814159e-10	9.64705123983315e-10	12.7201227441542
FBXL3	-0.267205525964425	6.26226849251431	-4.11840140193308	4.39601511212183e-05	0.000102925769539725	0.72006333789024
PDK2	-0.758449470057469	4.88913567479463	-10.2963312374991	7.16993713705771e-23	1.60643226585392e-21	40.8689578660194
ITGA3	-0.991075596064992	6.48979983048811	-9.07124278604601	2.02791984008663e-18	2.65265998852016e-17	30.7264236199453
ZFX	-0.349953060606479	6.1418716073126	-3.68280378118048	0.000253245506647928	0.000528531077787398	-0.932324403558883
ITGA2B	-0.45757965899294	-0.745871773871922	-3.34089773348988	0.000891221965917773	0.00171296545045999	-1.27595017184031
ASB4	-1.35597757728561	-2.96327035632148	-6.44789057345262	2.46776671806509e-10	1.19902017271085e-09	13.1070017865418
GDE1	-0.212067388923636	6.88134728549147	-4.14983357307295	3.84957080917098e-05	9.10168118524963e-05	0.854850808978229
REX1BD	0.583847333369621	5.27214831056125	4.18064672954672	3.37707063829087e-05	8.0496356623831e-05	1.06518060627851
TMEM98	0.369952608503896	7.26671305794222	4.18883977440641	3.26105492509039e-05	7.78670407823023e-05	1.00993087150913
YBX2	-1.17785693595175	-0.0388401421108686	-6.88416515064129	1.57690340093805e-11	8.98849580163293e-11	15.6582938022158
TMEM132A	1.75842180777107	5.85491951642115	10.8566063721758	4.95531397253155e-25	1.45902505886672e-23	45.8837622515422
AP2B1	-0.159874759477438	8.27920164746555	-3.57328517058755	0.000383199297484688	0.000779605795280365	-1.24553362970531
CX3CL1	-0.931535178107748	6.45293962206535	-6.11773140918292	1.79312208671205e-09	7.77125061088972e-09	10.48501413041
TNFRSF12A	-0.364071097365692	4.19541746698063	-2.30917309972531	0.0213002484785493	0.0322949432970644	-4.83049667443612
BAIAP2L1	0.850655165882537	6.84896893942118	9.93988373010586	1.55066433992339e-21	2.94722240953241e-20	37.805993003258
KDM7A	0.351621575914804	5.51899498411612	3.86479270208355	0.000124323068394401	0.000271995479997586	-0.215855970990291
AGK	0.277286654791038	5.29452118188847	5.11445787041678	4.33949485149534e-07	1.37073109819037e-06	5.20461806084766
TTC22	-0.929391567765236	3.71981766924449	-5.69292151945629	2.02515318670838e-08	7.67669985378372e-08	8.25066290131505
CCL26	-0.744354887141825	-3.76248538749927	-3.63081329795642	0.000308677015335836	0.000635682052045186	-0.101740163784642
USH1C	-0.922001568089729	-2.7207303467672	-4.03136865343797	6.32028993412385e-05	0.000144669127164751	1.28926489331047
GGCT	1.17843742329301	5.39604775204361	8.93597623782775	5.94444291136762e-18	7.41726321806622e-17	29.7719474004674
DBF4	0.618137149539038	3.61811441717277	7.66175679180601	8.22342863758499e-14	6.22486170235934e-13	20.5840215943242
