Dataset	Slope Coef	Slope LCI	Slope UCI	Slope Pval	Slope ITL Coef	Slope ITL LCI	Slope ITL UCI	ChiSq	ChiSq Pval	Harrells C	Harrells C LCI	Harrells C UCI	Hazard Ratio	HR SE	HR CI	HR Pval	AUC 1yr	CI 1yr	AUC 3yr	CI 3yr	AUC 5yr	CI 5yr	n genes	genes	missing genes
Agell	1	0.5881	1.4119	1.95577736143729e-06	0.0264	0.021	0.0333	0	1	0.8327	0.577	0.9478	1.7136	0.511	0.71-2.72	0.000797330846728492	0.98	93.8-101.73	0.84	70.72-96.89	0.82	66.14-97.19	12	AZGP1, DPP4, HGD, MYBPC1, PARP1, PRKDC, RNF19A, SEC14L1, SLPI, ELOC, YWHAZ, ZNF706	
Bibikova	1	0.5918	1.4082	1.57696929421045e-06	0.1641	0.1304	0.2066	0	1	0.8307	0.5748	0.9468	1.9828	0.5231	0.96-3.01	0.000150302590875621	0.86	73.31-99.01	0.89	77.73-99.39	0.91	80.14-101.01	16	CCNE2, CDC6, FBP1, HOXC6, MKI67, MYBL2, PTTG1, DTL, UBE2C, WNT5A, ALCAM, AZGP1, CCK, MYLK, PLPP3, PROK1	
Bismar	1	0.5672	1.4328	5.93607383943364e-06	0.08	0.0636	0.1007	0	1	0.7649	0.5062	0.9117	1.5314	0.4866	0.58-2.49	0.00165090922240986	0.83	61.67-103.51	0.78	60.46-94.55	0.81	65.09-96.89	12	FLNA, AMACR, CDK7, ITGA5, JAG1, SLC4A1AP, MIB1, MTA1, MUC1, TP63, KLK3, TPD52	
Cuzick	1.8051	-227.7848	231.395	0.987705285477435	0	0	0	0	1	NA	NA	NA	21.6326	6604.7781	-12923.49-12966.76	0.997386696654206	1	100-100	1	100-100	1	100-100	31	FOXM1, CDC20, CDKN3, CDK1, KIF11, PCLAF, NUSAP1, CENPF, ASPM, BUB1B, RRM2, DLGAP5, BIRC5, KIF20A, PLK1, TOP2A, TK1, PBK, ASF1B, SKA1, RAD54L, PTTG1, CDCA3, MCM10, PRC1, DTL, CEP55, RAD51, CENPM, CDCA8, ORC6	
Ding	1	0.1687	1.8313	0.0183879642703922	0.5296	0.4208	0.6665	0	1	0.6434	0.3909	0.8354	0.8221	0.4446	-0.05-1.69	0.0644458503846511	0.55	33.64-77.07	0.69	50.77-87.35	0.8	63.56-97.31	4	PTEN, SMAD4, CCND1, SPP1	
Erho	1	0.6157	1.3843	3.40215509259114e-07	0.0604	0.048	0.076	0	1	0.8904	0.6424	0.9735	2.6677	0.6432	1.41-3.93	3.36312798676802e-05	0.99	97.05-101.16	0.91	81.32-100.95	0.95	88.3-102.31	17	LASP1, IQGAP3, NFIB, S1PR4, THBS2, ANO7, PCDH7, MYBPC1, EPPK1, TSBP1, PBX1, NUSAP1, ZWILCH, UBE2C, CAMK2N1, RABGAP1, TNFRSF19	NA, GLYATL1P4
Glinsky	1	0.5837	1.4163	2.50158141631613e-06	0.0931	0.0739	0.1171	0	1	0.8187	0.562	0.9408	1.7749	0.5117	0.77-2.78	0.00052372069878493	0.81	61.06-100.54	0.84	70.44-97.03	0.81	65.27-97.03	11	GBX2, MKI67, CCNB1, BUB1, NDC80, USP22, HCFC1, RNF2, ANK3, FGFR2, CES1	
Irshad	1	0.6154	1.3846	3.4604014266425e-07	0.0043	0.0034	0.0054	0	1	0.8924	0.6447	0.9743	2.7077	0.6447	1.44-3.97	2.67430421334179e-05	0.92	80.02-103.02	0.96	91.21-101.48	0.96	88.58-103.74	19	B2M, CAT, CDKN1A, CFH, CLIC4, CLU, CTSH, CX3CL1, FGFR1, GPX3, IGF1, ITM2A, LGALS3, MECP2, MSN, NFE2L2, PMP22, SERPING1, TXNIP	
Jia	1	0.5822	1.4178	2.71630141414913e-06	0.1781	0.1415	0.2241	0	1	0.7869	0.5285	0.924	1.714	0.5264	0.68-2.75	0.00113066412377129	0.84	68.62-100.13	0.83	68.01-97.42	0.89	75.68-101.45	15	GADD45B, CDKN1A, NLRP1, ERBB3, FMO5, SERINC2, AMFR, DPP4, PGC, YWHAE, EHF, TF, TNFSF10, EIF5A, TGM4	
Kamoun	1.0064	-211.1257	213.1386	0.992580825981123	0	0	0	0	1	NA	NA	NA	21.6326	6604.7781	-12923.49-12966.76	0.997386696654206	1	100-100	1	100-100	1	100-100	36	CD38, NCAPD3, AZGP1, AFF3, SLC22A3, FMOD, CHRNA2, SLC15A2, ACADL, GREB1, ANPEP, ANO7, REPS2, HGD, PAK1IP1, COL1A2, SPARC, MS4A6A, FRZB, MGP, COL3A1, CDH11, MOXD1, COL8A1, COL1A1, NOX4, THBS2, VCAN, SULF1, SFRP2, KHDRBS3, COL10A1, CXCL14, SFRP4, ASPN, COMP	
Klein	1	0.5815	1.4185	2.82472526531235e-06	0	0	1e-04	0	1	0.8506	0.5967	0.9563	2.6454	0.6355	1.4-3.89	3.14293788548105e-05	0.9	79.05-100.42	0.87	74.63-99.57	0.89	77.12-101.68	12	AZGP1, KLK2, SRD5A2, FAM13C, FLNC, GSN, TPM2, GSTM2, TPX2, BGN, COL1A1, SFRP4	
