Bootstrap	Harrells_boot	Harrells_orig	Optimism	n_Preds	Preds
1	1	0.748640560231942	0.721013165286632	0.02762739494531	24	RBM47, TRIB1, BACE2, NPAS2, KIF21A, RNASEH2C, SARNP, CBLB, SFRP4, GLP1R, SSTR1, FBXO43, BGN, PDCD4, BICD2, SLC39A14, RPS6KL1, RNF122, PHYHD1, LIX1, DPT, SPARC, ZNF561, gleason_score
2	2	0.764356552677928	0.706685229965072	0.0576713227128559	25	DHTKD1, HIC2, PRR13, RNASEH2C, MTERF4, SARNP, DNASE1L1, DCAF4L1, HLX, BGN, WDR93, SLC39A14, KAZN, TPCN2, PRDM1, CDCA7L, NUS1, MOCOS, BTN3A1, CYP2E1, CRISPLD2, LIX1, PAPPA, RPP30, SPARC
3	3	0.770854017669331	0.710373464253438	0.0604805534158932	22	TMEM151A, NEU3, IAH1, YKT6, SEC31B, SS18L2, SSTR1, SLC9B1, C14orf39, PLIN1, BGN, ANKFY1, PRDM1, LMO2, ZNF287, LZIC, BHLHE40, ALG9, RAB34, LIX1, SPARC, ZNF561
4	4	0.751903077353441	0.71271585940744	0.0391872179460014	22	CHRM1, CNBD2, POLR2L, C2orf68, FA2H, ABRACL, COX20, CDK10, SSTR1, CHRM3, KCNK9, BGN, SRF, RAB11FIP2, ZNF287, MUC4, BTN3A1, FAM227B, PHYHD1, LIX1, B4GALT1, SPARC
5	5	0.755086729329466	0.675388974377763	0.0796977549517026	21	MKRN1, ZNF623, TMEM151A, HIC2, DECR1, KIF21A, TMSB10, MTERF4, MAEA, GSAP, C1orf53, AQP4, ACVRL1, TPCN2, ZNF804A, PRDM1, AKAP10, ZNF287, RNF214, REN, gleason_score
6	6	0.783527707146611	0.718499792384163	0.0650279147624488	27	RBM47, SUOX, DHTKD1, TMC5, DENND4B, NPAS2, TMEM63C, CRTC1, GRHL2, EPHA8, HABP2, RPIA, POLR2L, SS18L2, SLX4IP, ULK1, GLP1R, SSTR1, BUD31, BGN, SRF, STRIP2, RIF1, CDCP1, MUC6, ALG9, MAG
7	7	0.702597893013569	0.664988642192423	0.0376092508211462	17	SUOX, PACS1, YKT6, TRAM2, MIEN1, RPIA, POLR2L, SLX4IP, IGSF22, DCAF4L1, ZNF706, SMCO3, BGN, PDCD4, PHLDA3, ZNF267, SLC2A4
8	8	0.798986681408449	0.728240638968271	0.0707460424401771	27	GPR37, NPAS2, DDAH1, YKT6, ZFPL1, TRAM2, C2orf68, FA2H, SS18L2, DCAF4L1, SSTR1, DOCK6, ZNF142, SMCO3, CELF5, BGN, KL, CDKN1A, PPP3CB, NAV3, SRF, FAM227B, ATAD3C, NDE1, LIX1, SPARC, gleason_score
9	9	0.787188495997189	0.721438167118536	0.0657503288786528	29	GSK3A, THYN1, ZNF623, NPAS2, REPS1, NCDN, ACAN, TRAM2, POLR2L, SLX4IP, SFRP4, COX20, IGSF22, HLX, HEYL, DOCK6, KMO, CTHRC1, PABPC1L2A, FRMD5, DHX38, TPCN2, RAB11FIP2, CDCA7L, NUS1, MOCOS, RNF122, CSNK2A2, gleason_score
10	10	0.771308385816072	0.711748613858968	0.0595597719571043	23	KCNC2, PACS1, FAM117B, REPS1, NEU3, DLG3, TMEM63C, RNASEH2C, EPHA8, CNBD2, NDUFA1, REG4, SMCO3, CHRM3, ZFR, RAB11FIP2, NUS1, ZFP28, CLDN14, WDR59, FAM227B, HIC1, gleason_score
11	11	0.715039104541867	0.689494638626316	0.0255444659155509	12	IAH1, ZNF830, MIEN1, SSTR1, SMCO3, ST3GAL3, ITSN1, SLC35G1, FADS1, BHLHE40, LIX1, gleason_score
12	12	0.719559103114404	0.675801763513348	0.0437573396010554	16	ECHDC2, POLR2L, SFRP4, REG4, IGSF22, SSTR1, CLPTM1, CELF5, ST3GAL3, TPCN2, LMO2, FAM227B, SLC28A3, PAPPA, RPP30, SPARC
13	13	0.768618578592536	0.73113749053516	0.0374810880573759	22	RBM47, CAMKV, NPAS2, NEU3, SRSF6, GBA2, POLR2L, FA2H, FOXL2, DCAF4L1, GLP1R, PAPSS1, CTHRC1, PABPC1L2A, ST3GAL3, RAB11FIP2, RPE65, ZNF287, BTN3A1, MINK1, SPARC, gleason_score
14	14	0.75914802813562	0.722170928897682	0.0369770992379379	27	SLCO5A1, RNASEH2C, DDAH1, UROS, BTF3L4, ZFPL1, MIEN1, C2orf68, SS18L2, REG4, MAEA, YPEL1, RHOU, COX6C, HEY2, FBXO43, CTHRC1, PDCD4, F10, ACVRL1, IPO5, SRF, ZNF287, FAM227B, PHYHD1, IGSF9B, gleason_score
