source	target
hsa_circ_0005147	hsa-let-7b-3p
hsa-let-7b-3p	RBM47
hsa_circ_0026134	hsa-miR-107
hsa-miR-107	NPAS2
hsa_circ_0003695	hsa-miR-107
hsa_circ_0067717	hsa-miR-107
hsa_circ_0008323	hsa-miR-107
hsa_circ_0006913	hsa-miR-107
hsa_circ_0006732	hsa-miR-107
hsa_circ_0023115	hsa-miR-107
hsa_circ_0035301	hsa-miR-107
hsa_circ_0000357	hsa-miR-107
hsa_circ_0000211	hsa-miR-107
hsa_circ_0000676	hsa-miR-107
hsa_circ_0004703	hsa-miR-107
hsa_circ_0003956	hsa-miR-107
hsa_circ_0045890	hsa-miR-107
hsa_circ_0000128	hsa-miR-107
hsa_circ_0017628	hsa-miR-107
hsa_circ_0017726	hsa-miR-107
hsa_circ_0001655	hsa-miR-107
hsa_circ_0002319	hsa-miR-107
hsa_circ_0000044	hsa-miR-107
hsa_circ_0002315	hsa-miR-107
hsa_circ_0000020	hsa-miR-125b-2-3p
hsa-miR-125b-2-3p	NEU3
hsa_circ_0031132	hsa-miR-125b-2-3p
hsa_circ_0002490	hsa-miR-125b-2-3p
hsa_circ_0106511	hsa-miR-125b-2-3p
hsa_circ_0055954	hsa-miR-125b-2-3p
hsa_circ_0059490	hsa-miR-125b-2-3p
hsa_circ_0000128	hsa-miR-125b-2-3p
hsa_circ_0035301	hsa-miR-125b-2-3p
hsa_circ_0000129	hsa-miR-125b-5p
hsa-miR-125b-5p	MAPK8IP2
hsa-miR-125b-5p	IAH1
hsa-miR-125b-5p	RNASEH2C
hsa_circ_0063408	hsa-miR-125b-5p
hsa_circ_0083054	hsa-miR-125b-5p
hsa_circ_0006784	hsa-miR-125b-5p
hsa_circ_0036188	hsa-miR-125b-5p
hsa_circ_0000442	hsa-miR-125b-5p
hsa_circ_0027774	hsa-miR-193a-5p
hsa-miR-193a-5p	CNBD2
hsa_circ_0016760	hsa-miR-193a-5p
hsa_circ_0036766	hsa-miR-193a-5p
hsa_circ_0000735	hsa-miR-193a-5p
hsa_circ_0008068	hsa-miR-193a-5p
hsa_circ_0080425	hsa-miR-193a-5p
hsa_circ_0086684	hsa-miR-193b-3p
hsa-miR-193b-3p	RBM47
hsa_circ_0063408	hsa-miR-193b-3p
hsa_circ_0000204	hsa-miR-193b-3p
hsa_circ_0008323	hsa-miR-193b-3p
hsa_circ_0006758	hsa-miR-193b-3p
hsa_circ_0002901	hsa-miR-221-3p
hsa-miR-221-3p	MTERF4
hsa_circ_0031132	hsa-miR-221-3p
hsa_circ_0000357	hsa-miR-221-3p
hsa_circ_0065149	hsa-miR-222-3p
hsa-miR-222-3p	MTERF4
hsa_circ_0000357	hsa-miR-222-3p
hsa_circ_0031132	hsa-miR-222-3p
hsa_circ_0002901	hsa-miR-222-3p
hsa_circ_0008584	hsa-miR-23b-3p
hsa-miR-23b-3p	FA2H
hsa-miR-23b-3p	SS18L2
hsa-miR-23b-3p	NPAS2
hsa-miR-23b-3p	RBM47
hsa-miR-23b-3p	SFRP4
hsa_circ_0052767	hsa-miR-23b-3p
hsa_circ_0039930	hsa-miR-23b-3p
hsa_circ_0015928	hsa-miR-23b-3p
hsa_circ_0001190	hsa-miR-23b-3p
hsa_circ_0086684	hsa-miR-23b-3p
hsa_circ_0052767	hsa-miR-26a-5p
hsa-miR-26a-5p	FA2H
hsa-miR-26a-5p	MTERF4
hsa-miR-26a-5p	RBM47
hsa_circ_0000442	hsa-miR-26a-5p
hsa_circ_0008323	hsa-miR-26a-5p
hsa_circ_0002157	hsa-miR-27b-3p
hsa-miR-27b-3p	RBM47
hsa-miR-27b-3p	SSTR1
hsa_circ_0072904	hsa-miR-27b-3p
hsa_circ_0035301	hsa-miR-27b-3p
hsa_circ_0008584	hsa-miR-27b-3p
hsa_circ_0005479	hsa-miR-27b-3p
hsa_circ_0000735	hsa-miR-27b-3p
hsa_circ_0086684	hsa-miR-27b-3p
hsa_circ_0000442	hsa-miR-27b-3p
hsa_circ_0036188	hsa-miR-30a-3p
hsa-miR-30a-3p	FA2H
hsa_circ_0054853	hsa-miR-30a-3p
hsa_circ_0113080	hsa-miR-30a-3p
