id	type	logFC
hsa_circ_0005147	circRNA	1.01529747346667
hsa-let-7b-3p	miRNA	-0.933330296417625
RBM47	mRNA	0.360561852578619
hsa_circ_0026134	circRNA	2.138873252
hsa-miR-107	miRNA	-1.99125363163233
NPAS2	mRNA	0.793098479442819
hsa_circ_0003695	circRNA	0.595200842199999
hsa_circ_0067717	circRNA	0.8288569302
hsa_circ_0008323	circRNA	0.830282201200001
hsa_circ_0006913	circRNA	0.729029720133333
hsa_circ_0006732	circRNA	1.16749097423333
hsa_circ_0023115	circRNA	1.78528164923333
hsa_circ_0035301	circRNA	0.872947703399999
hsa_circ_0000357	circRNA	0.9049085516
hsa_circ_0000211	circRNA	0.827484591666666
hsa_circ_0000676	circRNA	1.3041894139
hsa_circ_0004703	circRNA	0.759231423166662
hsa_circ_0003956	circRNA	1.03811366986667
hsa_circ_0045890	circRNA	0.502421283966666
hsa_circ_0000128	circRNA	1.35901283506666
hsa_circ_0017628	circRNA	0.999339728766667
hsa_circ_0017726	circRNA	0.840721628233334
hsa_circ_0001655	circRNA	1.58728131666666
hsa_circ_0002319	circRNA	0.628340193433335
hsa_circ_0000044	circRNA	0.78980252716667
hsa_circ_0002315	circRNA	0.5755200239
hsa_circ_0000020	circRNA	0.822771703499999
hsa-miR-125b-2-3p	miRNA	-2.88700808420298
NEU3	mRNA	0.507775495256578
hsa_circ_0031132	circRNA	1.345043857
hsa_circ_0002490	circRNA	1.31857731496667
hsa_circ_0106511	circRNA	0.97714666633333
hsa_circ_0055954	circRNA	0.674722610533335
hsa_circ_0059490	circRNA	0.725706603466666
hsa_circ_0000129	circRNA	1.52297638033333
hsa-miR-125b-5p	miRNA	-3.33417733203018
MAPK8IP2	mRNA	2.34449856361771
IAH1	mRNA	0.393646806969157
RNASEH2C	mRNA	0.506433410323801
hsa_circ_0063408	circRNA	0.780764097566666
hsa_circ_0083054	circRNA	0.895745062966666
hsa_circ_0006784	circRNA	0.807391621433333
hsa_circ_0036188	circRNA	1.12701992093333
hsa_circ_0000442	circRNA	1.14036899163333
hsa_circ_0027774	circRNA	0.839684676166665
hsa-miR-193a-5p	miRNA	-1.08116083098548
CNBD2	mRNA	0.447381521731614
hsa_circ_0016760	circRNA	1.39907910166667
hsa_circ_0036766	circRNA	1.03184858
hsa_circ_0000735	circRNA	2.14366616376667
hsa_circ_0008068	circRNA	1.68977009436666
hsa_circ_0080425	circRNA	1.14821170833333
hsa_circ_0086684	circRNA	0.893958431933336
hsa-miR-193b-3p	miRNA	-2.0120628061498
hsa_circ_0000204	circRNA	0.672744230766664
hsa_circ_0006758	circRNA	1.28271391133334
hsa_circ_0002901	circRNA	1.76350064399999
hsa-miR-221-3p	miRNA	-2.82184684009392
MTERF4	mRNA	1.04500261248021
hsa_circ_0065149	circRNA	0.871441662233334
hsa-miR-222-3p	miRNA	-2.44802497528516
hsa_circ_0008584	circRNA	1.38442489466666
hsa-miR-23b-3p	miRNA	-1.02880798185747
FA2H	mRNA	0.624577556738731
SS18L2	mRNA	0.541790010286997
SFRP4	mRNA	1.40148956802113
hsa_circ_0052767	circRNA	0.992482298766667
hsa_circ_0039930	circRNA	0.902830901166666
hsa_circ_0015928	circRNA	0.653677998200001
hsa_circ_0001190	circRNA	1.22758546593333
hsa-miR-26a-5p	miRNA	-1.49048510539919
hsa_circ_0002157	circRNA	1.12188626666667
hsa-miR-27b-3p	miRNA	-1.17329792567971
SSTR1	mRNA	3.90127851116206
hsa_circ_0072904	circRNA	1.0074151568
hsa_circ_0005479	circRNA	0.882094085333333
hsa-miR-30a-3p	miRNA	-2.05747668915641
hsa_circ_0054853	circRNA	2.20258044983333
hsa_circ_0113080	circRNA	1.1561075175
hsa_circ_0009043	circRNA	0.963926009666668
hsa_circ_0063226	circRNA	0.936938312666668
hsa-miR-30e-3p	miRNA	-3.59328847644226
hsa_circ_0004650	circRNA	1.82453385646667
hsa_circ_0047641	circRNA	1.4399264756
hsa-miR-324-3p	miRNA	-0.912091567093122
hsa_circ_0094004	circRNA	2.029352131
hsa_circ_0066536	circRNA	1.24618548816667
hsa_circ_0060035	circRNA	0.617362530933333
hsa_circ_0092911	circRNA	0.659705938499999
hsa_circ_0086694	circRNA	0.665761662666668
hsa_circ_0105346	circRNA	1.46220924633333
hsa_circ_0043001	circRNA	1.1169414666
hsa_circ_0140691	circRNA	0.835019338333334
hsa_circ_0005397	circRNA	1.21041045353333
hsa_circ_0005016	circRNA	1.05424836403333
hsa_circ_0026462	circRNA	1.8194090634
hsa-miR-361-3p	miRNA	-1.5439614259172
BGN	mRNA	1.37639302624043
hsa_circ_0092327	circRNA	1.128532369
hsa_circ_0008926	circRNA	0.810202277900001
hsa_circ_0004291	circRNA	1.1938523561
hsa_circ_0088046	circRNA	1.20429829823334
hsa_circ_0068697	circRNA	1.59406745868889
hsa_circ_0001726	circRNA	0.930418712966667
hsa_circ_0005164	circRNA	1.15812123523333
hsa_circ_0049851	circRNA	0.985068426599999
hsa-miR-99a-3p	miRNA	-2.04511955381406
hsa_circ_0001057	circRNA	0.747167744999994
hsa-miR-99a-5p	miRNA	-1.87492314647069
hsa_circ_0058097	circRNA	-0.560097034300001
hsa-miR-10b-5p	miRNA	2.81219964436187
PDCD4	mRNA	-0.798968389181433
hsa_circ_0074559	circRNA	-1.52248057596666
hsa_circ_0015270	circRNA	-0.981587320066667
hsa_circ_0062603	circRNA	-1.61887013644444
hsa-miR-1976	miRNA	1.72643047190907
hsa_circ_0006004	circRNA	-1.8223670239
hsa_circ_0034642	circRNA	-2.73898073326666
hsa_circ_0003099	circRNA	-1.43450319853333
hsa_circ_0085918	circRNA	-1.08948043016667
hsa_circ_0030509	circRNA	-1.31294300963333
hsa-miR-3074-3p	miRNA	2.01517762975273
RAB11FIP2	mRNA	-0.768091955572632
hsa-miR-335-5p	miRNA	1.09850437185731
BHLHE40	mRNA	-1.9507911911086
BTN3A1	mRNA	-1.41385557684929
FAM227B	mRNA	-0.613897941787768
hsa_circ_0088485	circRNA	-0.608878804533334
hsa_circ_0001348	circRNA	-0.879874706500001
hsa_circ_0060539	circRNA	-1.41890461902222
hsa_circ_0001646	circRNA	-0.813792217133332
hsa-miR-367-5p	miRNA	1.29653612938548
RNF122	mRNA	-0.59606060396387
hsa_circ_0017037	circRNA	-0.569529060366668
hsa_circ_0001818	circRNA	-3.39507863456666
hsa_circ_0009654	circRNA	-0.914123313533333
hsa-miR-486-3p	miRNA	1.9831080221936
PHYHD1	mRNA	-0.537180680816715
hsa_circ_0000324	circRNA	-1.07131923342223
hsa-miR-518c-5p	miRNA	1.60200363821778
LIX1	mRNA	-2.48741805625672
