Probe_ID	circRNA	Alias	GeneSymbol	Control_AvExp	Clone1_AvExp	Clone1_FC	Clone1_pvalue	Clone1_FDR	Control_AvExp.1	Clone9_AvExp	Clone9_FC	Clone9_pvalue	Clone9_FDR	Control_1	Control_2	Control_3	Clone1_1	Clone1_2	Clone1_3	Clone9_1	Clone9_2	Clone9_3
ASCRP3000002	hsa_circRNA_407247	NA	AK308944	7.83321867466667	7.874871432	1.02929231296698	0.0996145168800322	0.360092388504867	7.83321867466667	7.89046819433333	1.04048020602199	0.823233292545687	0.920395008063283	7.881166537	7.746641244	7.871848243	7.937212336	7.802365436	7.885036524	8.218599719	7.969649736	7.483155128
ASCRP3000003	hsa_circRNA_007418	hsa_circ_0007418	ZBTB40	6.48516650733333	6.58614733366667	1.07250236298129	0.458591646423519	0.666043270936928	6.48516650733333	6.592674157	1.07736540846359	0.0783386171285758	0.496251495486136	6.468518644	6.503600617	6.483380261	6.424189735	6.822322273	6.511929993	6.611636794	6.639360968	6.527024709
ASCRP3000004	hsa_circRNA_407121	NA	MTSS1	5.65461723666667	6.24353109166667	1.5041139363135	0.0171941178297298	0.242017779283403	5.65461723666667	5.61256857866667	-1.02957480747806	0.480084400358641	0.736970342086102	5.665801863	5.78684871	5.511201137	6.388104498	6.379902846	5.962585931	5.671447601	5.64710725	5.519150885
ASCRP3000005	hsa_circRNA_407087	NA	TRAM1	5.475906416	5.62751806666667	1.11080967705309	0.428593545953334	0.646834838030422	5.475906416	5.542815488	1.04747010665841	0.724685654746158	0.86979767529563	5.417568056	5.389355126	5.620796066	5.510721772	5.832032336	5.539800092	5.717155534	5.54308549	5.36820544
ASCRP3000006	hsa_circRNA_061985	hsa_circ_0061985	PTTG1IP	5.72385475733333	5.53271980866667	-1.14166149233531	0.0192499590240691	0.244805345121454	5.72385475733333	5.697438953	-1.01847869688075	0.726110639596882	0.870137743864748	5.605266651	5.721983727	5.844313894	5.429095447	5.478597082	5.690466897	5.703377687	5.669027607	5.719911565
ASCRP3000007	hsa_circRNA_404446	NA	CAPZB	7.389667634	7.22368749933333	-1.12192803192413	0.301794627473884	0.548548841330604	7.389667634	6.942262899	-1.36358509505095	0.0958919127510279	0.501324706474746	7.143361276	7.546646384	7.478995242	7.130813862	7.143361276	7.39688736	6.870508838	6.801684368	7.154595491
ASCRP3000010	hsa_circRNA_400114	NA	RERE	6.69130493033333	5.71850910733333	-1.96264034594144	0.0458701048927794	0.296678565483959	6.69130493033333	6.34091150566667	-1.27490824892611	0.0236036340194562	0.473751592106166	6.573150287	6.712542598	6.788221906	6.03200813	5.519150885	5.604368307	6.257729459	6.434631351	6.330373707
ASCRP3000012	hsa_circRNA_000654	hsa_circ_0000654	CHD2	6.17041085466667	5.99415962466667	-1.12994396516452	0.149764823750048	0.416555510189808	6.17041085466667	5.70300799766667	-1.38261823382993	0.0568871327137614	0.47655471611938	6.414056668	6.182192327	5.914983569	6.367160134	5.868381185	5.746937555	5.743473616	5.717570998	5.647979379
ASCRP3000013	hsa_circRNA_104195	hsa_circ_0002198	PDE7B	5.654414046	5.81286862466667	1.11609093593209	0.161591318298581	0.427752312393472	5.654414046	5.66756794666667	1.00915928098984	0.897887103839519	0.954156852955523	5.726119144	5.657971149	5.579151845	6.002205231	5.832032336	5.604368307	5.831648565	5.75996082	5.411094455
ASCRP3000014	hsa_circRNA_404754	NA	CCDC6	5.631350652	5.73902274133333	1.07748821453176	0.688626881175638	0.830266060012441	5.631350652	5.67456763633333	1.03040891760963	0.832546854173083	0.924379789269141	5.726119144	5.442226677	5.725706135	5.668597924	6.008670208	5.539800092	5.565076342	5.844123648	5.614502919
ASCRP3000015	hsa_circRNA_103950	hsa_circ_0001534	FAM13B	7.70511175066667	7.43382461133333	-1.206884101743	0.0115907936414143	0.240109073374265	7.70511175066667	7.880948231	1.12961917266672	0.334942641977374	0.645072531599278	7.720952953	7.652612022	7.741770277	7.451785465	7.329265503	7.520422866	7.693106812	8.09570684	7.854031041
ASCRP3000016	hsa_circRNA_007390	hsa_circ_0007390	NPTN	6.00005430666667	6.17917049466667	1.13219007980264	0.488546852331797	0.687902207448167	6.00005430666667	6.231891094	1.17432911137677	0.214513940900577	0.574139725879176	6.000277232	5.827557851	6.172327837	6.16990106	6.379902846	5.987707578	6.201127571	6.296987773	6.197557938
ASCRP3000017	hsa_circRNA_008846	hsa_circ_0008846	DEK	5.71781434466667	5.86682586266667	1.10880949593598	0.330534383456822	0.570500631964224	5.71781434466667	5.52327365733333	-1.14435977131117	0.265605658036318	0.604816930607742	5.787442479	5.78684871	5.579151845	6.155157739	5.754852952	5.690466897	5.418590539	5.519150885	5.632079548
ASCRP3000018	hsa_circRNA_000542	hsa_circ_0000542	ARID4A	5.636351971	6.40546952566667	1.70422704948948	0.138133386920035	0.404663055719441	5.636351971	5.575389744	-1.04316128086448	0.462812617299796	0.726682503560341	5.542147568	5.721983727	5.644924618	6.221869538	7.084636311	5.909902728	5.351705493	5.75996082	5.614502919
ASCRP3000021	hsa_circRNA_102997	hsa_circ_0059490	KIF16B	5.440208694	5.93191922933333	1.40611104721328	0.0789632232257868	0.339422966443995	5.440208694	5.349580633	-1.06483364487126	0.468087635131916	0.730351090001209	5.511201137	5.468265139	5.341159806	6.088322934	5.673590502	6.033844252	5.316343298	5.277841588	5.454557013
ASCRP3000022	hsa_circRNA_402543	NA	GINS1	5.62721773666667	5.82848010733333	1.14970391588815	0.242962392341557	0.501710912608798	5.62721773666667	5.74906070166667	1.08812399470408	0.243826903086916	0.591634754527347	5.605266651	5.591279072	5.685107487	5.988396353	5.558597781	5.938446188	5.595806029	5.717570998	5.933805078
ASCRP3000023	hsa_circRNA_404823	NA	FAM196A	6.71251714033333	6.79087570466667	1.05581609530062	0.20410359418248	0.467162410139058	6.71251714033333	6.99066949433333	1.21264087171826	0.262329663143337	0.602530725821455	6.751130434	6.517070535	6.869350452	6.865137694	6.511450871	6.996038549	7.106895425	7.060883736	6.804229322
ASCRP3000024	hsa_circRNA_103917	hsa_circ_0073435	RHOBTB3	7.00394106133333	6.90570301366667	-1.07046531284675	0.656989639218319	0.807091019058467	7.00394106133333	6.888741246	-1.08312504951137	0.590250997255571	0.798621483988854	7.228262526	6.837958659	6.945601999	6.858927861	7.106442096	6.751739084	6.768954988	6.994067907	6.903200843
ASCRP3000025	hsa_circRNA_102887	hsa_circ_0057691	SATB2	9.928944385	10.7971998393333	1.82545417698984	0.1844769675061	0.449872974745568	9.928944385	9.79378702933333	-1.09821259000131	0.0921651373303903	0.500954309889937	9.903316982	9.909444178	9.974071995	9.931951728	11.39932828	11.06031951	9.723411772	9.730749468	9.927199848
ASCRP3000027	hsa_circRNA_054947	hsa_circ_0054947	UGP2	5.83220472566667	5.69852888366667	-1.09708540663739	0.0286879940146509	0.265227689772853	5.83220472566667	5.756097638	-1.0541696687808	0.0808637429965149	0.496251495486136	6.024757464	5.766801959	5.705054754	5.851389818	5.673590502	5.570606331	5.902742537	5.717570998	5.647979379
ASCRP3000028	hsa_circRNA_406825	NA	SMPD2	5.88452554733333	6.13363034933333	1.18846943615701	0.534869029067032	0.720518723817069	5.88452554733333	5.81143471466667	-1.05196800945273	0.735359204184133	0.875414806640384	6.184396891	5.743473616	5.725706135	5.816739872	6.528682955	6.055468221	5.743473616	5.784074553	5.906755975
ASCRP3000029	hsa_circRNA_031460	hsa_circ_0031460	HECTD1	5.56130379833333	5.644440058	1.05931838046564	0.63364385471889	0.792115706661398	5.56130379833333	5.71111171566667	1.10942175209275	0.445782680727094	0.715143310729079	5.448062211	5.701698669	5.534150515	5.782089741	5.519150885	5.632079548	5.819839009	5.54308549	5.770410648
ASCRP3000030	hsa_circRNA_407023	NA	NA	6.303901041	6.637947632	1.2605440994666	0.119238262840771	0.382754945298007	6.303901041	6.29499660166667	-1.00619117359525	0.949393090270887	0.978249301513754	6.486552781	6.268919479	6.156230863	6.578347451	6.657959366	6.677536079	6.292068966	6.495949736	6.096971103
ASCRP3000031	hsa_circRNA_406859	NA	AHI1	6.50957397066667	6.83849399	1.25607274458319	0.100782470166799	0.36112176328221	6.50957397066667	6.513324153	1.00260280975401	0.979994696458701	0.990553014953647	6.800116009	6.268919479	6.459686424	7.041708902	6.822322273	6.651450795	6.541180211	6.434631351	6.564160897
ASCRP3000032	hsa_circRNA_102776	hsa_circ_0055451	ST3GAL5	5.390580861	5.55545380866667	1.12106734580163	0.477674324072396	0.679774177623002	5.390580861	5.58191532433333	1.14181938707844	0.0813926236386724	0.496664686485889	5.417568056	5.31194785	5.442226677	5.668597924	5.754852952	5.24291055	5.550862376	5.619685078	5.575198519
ASCRP3000033	hsa_circRNA_100098	hsa_circ_0007822	KDM1A	6.50724510466667	6.63969906833333	1.09615663281769	0.294515476191446	0.543514982743174	6.50724510466667	6.452257709	-1.0388500271805	0.604397044947391	0.806129894619538	6.31476116	6.698641463	6.508332691	6.597629376	6.657959366	6.663508463	6.158680725	6.564663967	6.633428435
ASCRP3000034	hsa_circRNA_406086	NA	CSRP2BP	5.48169539633333	5.318379112	-1.11985837008004	0.146018575641108	0.412722092422633	5.48169539633333	5.33658045733333	-1.10581874999681	0.259497641474737	0.60012289354563	5.635661244	5.468265139	5.341159806	5.346879625	5.312498013	5.295759698	5.612270361	5.140201133	5.257269878
