SystematicName	logFC	AveExpr	t	P.Value	adj.P.Val	B
10254	hsa-miR-923	0.68573851975475	15.1677435276686	2.70251148435415	0.00773537131481069	0.0272265645859515	-3.59464918198858
8304	hsa-miR-145	-2.97399396024433	14.9307853718346	-13.4877225182338	4.5059415691244e-27	1.29004148413059e-24	50.9632923711049
11534	hsa-miR-125b	-1.63566257972535	14.5407068724218	-10.2155161167313	1.21503446041284e-18	9.45058017301458e-17	31.7794365560269
8227	hsa-let-7a	-0.725290177258747	14.210960611249	-3.35664206320133	0.00101648678181766	0.00478581040452709	-1.73486216216403
11745	hsa-miR-29c	-0.561030865230938	13.9613892147383	-5.95956701244932	1.95904071561191e-08	3.44136447379554e-07	8.67205320834449
8883	hsa-miR-29a	-0.484754032206462	13.7974199729368	-5.6184571552544	1.00682884069615e-07	1.45207812223017e-06	7.08001187030834
5015	hsa-let-7f	-0.876878520627168	13.7565808333675	-3.86937609066138	0.000166790416610468	0.00100823533059769	-0.0402599452561079
9607	hsa-miR-26a	-0.632534576088544	13.6643287429662	-6.64632099062111	6.22696350582435e-10	1.56324665922337e-08	12.0389483130807
2867	hsa-miR-23b	-1.70580038950588	13.3924669074608	-10.4677589674266	2.73599032797578e-19	2.2725608551384e-17	33.251944348991
8945	hsa-miR-29b	-0.749965359350394	13.2088225273457	-4.96034577865302	2.01218405647398e-06	2.07161045630558e-05	4.18131867892441
13043	hsa-let-7c	-0.412315176226507	13.1804520865214	-3.68783905154969	0.000322973349749926	0.00179666818225369	-0.662934428894258
1606	hsa-miR-23a	-0.535950499503139	13.0700914301541	-3.73558507845539	0.000272040134493838	0.0015440721592097	-0.501528538503687
5471	hsa-miR-143	-3.96228216402755	12.7958915710459	-17.6218481767136	2.55155390648298e-37	7.247275903993e-34	74.2480806412358
2522	hsa-miR-27b	-1.51493777028798	12.711164877605	-11.3734541290341	1.26362637759824e-21	1.37123843040015e-19	38.5654135880059
8237	hsa-miR-24	-0.738099289780632	12.6849131511552	-6.73951025563342	3.84443583436987e-10	1.03254947280002e-08	12.5108760126536
748	hsa-miR-99a	-2.00347236363654	12.6651085991201	-9.19607340223599	4.7444866637284e-16	3.09911711393832e-14	25.8895223223386
6235	hsa-miR-148a	-1.16916185288239	12.498293928623	-5.46845859182753	2.03205217344504e-07	2.72343566193989e-06	6.39853379817202
11828	hsa-miR-375	-1.02979478050436	12.2899852981959	-3.07390214085619	0.00254136484022473	0.0104385242033162	-2.58182812182796
4165	hsa-miR-16	-0.4466555727691	12.2849751288342	-2.66579837193778	0.00858598409172404	0.0297535415756473	-3.68844097252964
5864	hsa-miR-26b	-1.49990016304295	12.24737975977	-6.45226749303852	1.68216746067e-09	3.82352117411748e-08	11.0672459243515
7779	hsa-let-7g	-0.740366185681291	12.1741162402001	-3.77536867595715	0.000235510035450413	0.00137353173813532	-0.365744823501136
1173	hsa-miR-27a	-0.535926298585707	12.0776695493505	-3.73141473585305	0.00027616602156206	0.00156269553664385	-0.515694152542835
8461	hsa-miR-199b-3p	-1.8537410642696	11.9507426593015	-7.74564506088708	1.75412035532801e-12	7.61401403267539e-11	17.7986508526596
8802	hsa-miR-195	-1.11472578547503	11.6434023301717	-5.23200226980763	6.00746039839724e-07	7.08469650489336e-06	5.3486861065201
6926	hsa-miR-100	-1.91725555752239	11.6119225428996	-11.3367808589962	1.5717311013552e-21	1.69193709598685e-19	38.3497828506763
