source	target
hsa_circ_0099201	hsa-let-7e-5p
hsa-let-7e-5p	FBXO45
hsa_circ_0076700	hsa-let-7e-5p
hsa_circ_0000038	hsa-let-7e-5p
hsa_circ_0003904	hsa-let-7e-5p
hsa_circ_0009006	hsa-let-7e-5p
hsa_circ_0051718	hsa-let-7e-5p
hsa_circ_0089153	hsa-let-7e-5p
hsa_circ_0002901	hsa-let-7e-5p
hsa_circ_0020704	hsa-let-7e-5p
hsa_circ_0086684	hsa-let-7e-5p
hsa_circ_0000442	hsa-let-7e-5p
hsa_circ_0008323	hsa-let-7e-5p
hsa_circ_0005147	hsa-let-7e-5p
hsa_circ_0000020	hsa-miR-125b-2-3p
hsa-miR-125b-2-3p	FBXO45
hsa-miR-125b-2-3p	PBLD
hsa_circ_0106511	hsa-miR-125b-2-3p
hsa_circ_0031132	hsa-miR-125b-2-3p
hsa_circ_0002490	hsa-miR-125b-2-3p
hsa_circ_0055954	hsa-miR-125b-2-3p
hsa_circ_0000128	hsa-miR-125b-2-3p
hsa_circ_0059490	hsa-miR-125b-2-3p
hsa_circ_0035301	hsa-miR-125b-2-3p
hsa_circ_0036188	hsa-miR-125b-5p
hsa-miR-125b-5p	FBXO45
hsa_circ_0006784	hsa-miR-125b-5p
hsa_circ_0083054	hsa-miR-125b-5p
hsa_circ_0000442	hsa-miR-125b-5p
hsa_circ_0000129	hsa-miR-125b-5p
hsa_circ_0063408	hsa-miR-125b-5p
hsa_circ_0063408	hsa-miR-193b-3p
hsa-miR-193b-3p	SEC31B
hsa_circ_0006758	hsa-miR-193b-3p
hsa_circ_0008323	hsa-miR-193b-3p
hsa_circ_0086684	hsa-miR-193b-3p
hsa_circ_0000204	hsa-miR-193b-3p
hsa_circ_0000357	hsa-miR-221-3p
hsa-miR-221-3p	NAPA
hsa_circ_0031132	hsa-miR-221-3p
hsa_circ_0002901	hsa-miR-221-3p
hsa_circ_0052767	hsa-miR-23b-3p
hsa-miR-23b-3p	PHF21B
hsa-miR-23b-3p	SEC31B
hsa_circ_0008584	hsa-miR-23b-3p
hsa_circ_0015928	hsa-miR-23b-3p
