id	type	logFC
hsa_circ_0099201	circRNA	1.5116663776
hsa-let-7e-5p	miRNA	-2.32886989422945
FBXO45	mRNA	0.42879055893071
hsa_circ_0076700	circRNA	1.62772010573333
hsa_circ_0000038	circRNA	0.680135701733335
hsa_circ_0003904	circRNA	0.467498017533333
hsa_circ_0009006	circRNA	1.08999820233333
hsa_circ_0051718	circRNA	0.533149698833337
hsa_circ_0089153	circRNA	1.75503981333333
hsa_circ_0002901	circRNA	1.76350064399999
hsa_circ_0020704	circRNA	1.062770575
hsa_circ_0086684	circRNA	0.893958431933336
hsa_circ_0000442	circRNA	1.14036899163333
hsa_circ_0008323	circRNA	0.830282201200001
hsa_circ_0005147	circRNA	1.01529747346667
hsa_circ_0000020	circRNA	0.822771703499999
hsa-miR-125b-2-3p	miRNA	-2.88700808420298
PBLD	mRNA	1.15485354894945
hsa_circ_0106511	circRNA	0.97714666633333
hsa_circ_0031132	circRNA	1.345043857
hsa_circ_0002490	circRNA	1.31857731496667
hsa_circ_0055954	circRNA	0.674722610533335
hsa_circ_0000128	circRNA	1.35901283506666
hsa_circ_0059490	circRNA	0.725706603466666
hsa_circ_0035301	circRNA	0.872947703399999
hsa_circ_0036188	circRNA	1.12701992093333
hsa-miR-125b-5p	miRNA	-3.33417733203018
hsa_circ_0006784	circRNA	0.807391621433333
hsa_circ_0083054	circRNA	0.895745062966666
hsa_circ_0000129	circRNA	1.52297638033333
hsa_circ_0063408	circRNA	0.780764097566666
hsa-miR-193b-3p	miRNA	-2.0120628061498
SEC31B	mRNA	1.03293137938314
hsa_circ_0006758	circRNA	1.28271391133334
hsa_circ_0000204	circRNA	0.672744230766664
hsa_circ_0000357	circRNA	0.9049085516
hsa-miR-221-3p	miRNA	-2.82184684009392
NAPA	mRNA	0.795521054480122
hsa_circ_0052767	circRNA	0.992482298766667
hsa-miR-23b-3p	miRNA	-1.02880798185747
PHF21B	mRNA	2.58453584141583
hsa_circ_0008584	circRNA	1.38442489466666
hsa_circ_0015928	circRNA	0.653677998200001
hsa_circ_0039930	circRNA	0.902830901166666
hsa_circ_0001190	circRNA	1.22758546593333
hsa-miR-26a-5p	miRNA	-1.49048510539919
CCDC14	mRNA	0.6415090217196
INSM2	mRNA	2.75277035210721
hsa-miR-27b-3p	miRNA	-1.17329792567971
hsa_circ_0005479	circRNA	0.882094085333333
hsa_circ_0000735	circRNA	2.14366616376667
hsa_circ_0002157	circRNA	1.12188626666667
hsa_circ_0072904	circRNA	1.0074151568
hsa_circ_0008068	circRNA	1.68977009436666
hsa-miR-29a-3p	miRNA	-0.822880449721378
hsa_circ_0071374	circRNA	0.764734083033334
hsa_circ_0000647	circRNA	0.9597064004
hsa_circ_0071649	circRNA	0.775074885033332
hsa_circ_0067492	circRNA	0.789715972833335
hsa_circ_0094004	circRNA	2.029352131
hsa_circ_0001278	circRNA	0.9177231662
hsa-miR-30c-5p	miRNA	-1.18138818797783
hsa_circ_0007178	circRNA	0.890539212533332
hsa_circ_0004291	circRNA	1.1938523561
hsa_circ_0066536	circRNA	1.24618548816667
hsa-miR-324-3p	miRNA	-0.912091567093122
hsa_circ_0105346	circRNA	1.46220924633333
hsa_circ_0005016	circRNA	1.05424836403333
hsa_circ_0086694	circRNA	0.665761662666668
hsa_circ_0043001	circRNA	1.1169414666
hsa_circ_0005397	circRNA	1.21041045353333
hsa_circ_0060035	circRNA	0.617362530933333
hsa_circ_0092911	circRNA	0.659705938499999
hsa_circ_0047641	circRNA	1.4399264756
hsa_circ_0140691	circRNA	0.835019338333334
hsa-miR-505-3p	miRNA	-1.09753791214932
hsa_circ_0026134	circRNA	2.138873252
hsa_circ_0004650	circRNA	1.82453385646667
hsa_circ_0029325	circRNA	0.728064023000003
hsa_circ_0049851	circRNA	0.985068426599999
hsa-miR-99a-3p	miRNA	-2.04511955381406
hsa_circ_0001057	circRNA	0.747167744999994
hsa_circ_0071210	circRNA	-1.42543893733333
hsa-miR-106a-5p	miRNA	1.62557079915522
MINK1	mRNA	-0.629853205139618
hsa_circ_0074598	circRNA	-1.1052140273
hsa-miR-1224-5p	miRNA	2.48334119999158
PHLDA3	mRNA	-0.764025977875829
hsa_circ_0002807	circRNA	-1.00902101517778
hsa_circ_0004870	circRNA	-1.13672216616667
hsa_circ_0000714	circRNA	-1.28365372253334
hsa_circ_0001660	circRNA	-0.681097281833332
hsa-miR-1976	miRNA	1.72643047190907
hsa_circ_0089761	circRNA	-1.82541463649999
hsa_circ_0006004	circRNA	-1.8223670239
hsa_circ_0063089	circRNA	-0.990496558333333
hsa_circ_0007312	circRNA	-0.751681846499999
hsa_circ_0085918	circRNA	-1.08948043016667
hsa_circ_0000525	circRNA	-0.646044316333336
hsa_circ_0034642	circRNA	-2.73898073326666
hsa_circ_0003099	circRNA	-1.43450319853333
hsa_circ_0058097	circRNA	-0.560097034300001
hsa_circ_0062603	circRNA	-1.61887013644444
hsa_circ_0001258	circRNA	-0.637554914500003
hsa_circ_0103272	circRNA	-0.938404690833333
hsa-miR-671-5p	miRNA	0.981545332257005
hsa_circ_0078605	circRNA	-1.40557053746667
hsa_circ_0078607	circRNA	-2.61973947216666
hsa_circ_0063526	circRNA	-0.883024841666664
hsa-miR-939-5p	miRNA	2.10701997701662
hsa_circ_0060539	circRNA	-1.41890461902222
hsa_circ_0063329	circRNA	-1.64883065106667
