Variable,Term,Beta,StandardError,Z,P,LRT,Wald,LogRank,HR,HRlower,HRupper,P.adjust,LRT.adjust,Wald.adjust,LogRank.adjust
FBXL3,FBXL3,-0.288389657658533,0.0979404434293978,-2.94454106557547,0.00323434021724277,0.00376148801084944,0.00323434021724276,0.00317696004134333,0.749469498804469,0.618567227020228,0.908073536879855,0.0459995053118972,0.0481470465388729,0.0459995053118971,0.0451834316991052
SEC31B,SEC31B,0.440258211575626,0.114955049071757,3.8298292691851,0.000128232196046162,6.2065565112812e-05,0.000128232196046161,0.00011662917903654,1.55310819725516,1.23980047021688,1.94559135145288,0.00520608564829122,0.00317775693377597,0.00520608564829122,0.00497617830555903
SRRD,SRRD,-0.295299311294956,0.080902741815838,-3.65005319556607,0.000262186005166533,0.000681112086381681,0.000262186005166534,0.000240840288505893,0.744308774099271,0.635167985167194,0.872203203150003,0.00745773525807027,0.017436469411371,0.00745773525807029,0.00685056820638983
ZNF862,ZNF862,0.287490842244634,0.0888641464268127,3.23517249424556,0.00121569262678572,0.00155964060800244,0.00121569262678572,0.00124633210690919,1.33307838410158,1.11999062611431,1.58670790337266,0.0245810195066959,0.0307129227422019,0.0245810195066958,0.0245431553360579
TLX1,TLX1,0.265291314694761,0.0821941457058117,3.22761812799038,0.0012482548968244,0.00301916371351661,0.00124825489682439,0.00122209285944876,1.30381073968794,1.10981546013404,1.53171631319705,0.0245810195066959,0.046676073267259,0.0245810195066958,0.0245431553360579
TSPAN1,TSPAN1,-0.368317310486119,0.0844889460352884,-4.35935501352194,1.30446345018111e-05,9.26543009983935e-05,1.30446345018111e-05,1.65638781488558e-05,0.691897600488908,0.586306492255998,0.816505182673783,0.00111314214415455,0.00395325017593146,0.00111314214415454,0.00141345093536903
RSRP1,RSRP1,0.297667937373689,0.104034249908387,2.86124942156853,0.00421974928797617,0.00328191140160415,0.00421974928797617,0.00401942922073282,1.34671452006278,1.09830112529948,1.65131397644101,0.0469676442487782,0.046676073267259,0.0469676442487782,0.047382795130907
PFDN5,PFDN5,0.352754372809062,0.107209310263325,3.29033338562328,0.00100068744347429,0.000552377255913592,0.00100068744347429,0.000964570483691792,1.42298157753627,1.15330067772058,1.75572303834039,0.0232887259572198,0.0157120641682088,0.0232887259572198,0.0224481858022817
GAD1,GAD1,0.323523614289967,0.111566507421461,2.89982739235355,0.00373368202037039,0.0035525151050806,0.00373368202037038,0.00383694411849457,1.38198879056674,1.11055209867562,1.71976895053349,0.0469676442487782,0.0478654666789807,0.0469676442487782,0.047382795130907
REG4,REG4,-0.454402798559831,0.115358177580051,-3.93906013506936,8.18014271089121e-05,3.6563702444473e-05,8.1801427108912e-05,0.000106459462754114,0.634826974348719,0.506363406940589,0.795881538509423,0.0041882330679763,0.00234007695644627,0.00418823306797629,0.00497617830555903
PAPSS1,PAPSS1,-0.299021539589613,0.102591748154049,-2.91467437654548,0.00356059832299675,0.00404205069078236,0.00356059832299675,0.00382694608335189,0.741543436721681,0.606471422099446,0.906698400794282,0.0469676442487782,0.0492745227066801,0.0469676442487782,0.047382795130907
SLC22A3,SLC22A3,-0.312872281653882,0.0980997735534867,-3.18932725653332,0.00142604339560182,0.0021448479209853,0.00142604339560182,0.00142465428095322,0.731343312562634,0.603418493013196,0.886388214851064,0.0256671430247719,0.0392200762694455,0.0256671430247719,0.0254983828696422
INPP5E,INPP5E,0.420717352779176,0.0955863451587382,4.40143780035213,1.07535896507234e-05,1.50382362075085e-05,1.07535896507234e-05,1.18665000296801e-05,1.52305373066092,1.26285061549378,1.83687020303121,0.00111314214415455,0.00192489423456109,0.00111314214415454,0.00141345093536903
DDAH1,DDAH1,-0.435137549357215,0.114388202022263,-3.80404221470783,0.000142353904445463,0.000164539848640322,0.000142353904445463,0.000148891180091572,0.647175642361917,0.517195514089026,0.809822012482623,0.00520608564829122,0.0060174573217032,0.00520608564829122,0.00544516315763462
SLC13A3,SLC13A3,-0.231098281428716,0.0805455847063681,-2.86916138570715,0.0041156174478579,0.00722978613030592,0.00411561744785791,0.00429357546454642,0.793661460019827,0.677758176450021,0.929385339797894,0.0469676442487782,0.0711855865137814,0.0469676442487782,0.0477893616923428
LZIC,LZIC,-0.271045496429522,0.0953477637010364,-2.84270428491,0.00447325535205799,0.0054446243357372,0.00447325535205798,0.00456125320863015,0.762581800866652,0.632595754522157,0.91927743563865,0.0477147237552852,0.0614430879599171,0.0477147237552851,0.0486533675587216
CTHRC1,CTHRC1,0.499929064507652,0.107924405893296,4.63221511732877,3.61773958860019e-06,4.21241167856153e-06,3.61773958860018e-06,4.07095723447388e-06,1.648604321993,1.33429240270112,2.036956970595,0.000926141334681649,0.00107837738971175,0.000926141334681646,0.00104216505202531
CACNB3,CACNB3,0.339441173931141,0.0915154156835007,3.70911470374645,0.000207985195654044,0.000440967020489923,0.000207985195654044,0.000219004701077867,1.40416268855688,1.17359801346613,1.68002402297198,0.00665552626092941,0.0141109446556775,0.0066555262609294,0.00685056820638983
KIFC2,KIFC2,0.416869121890155,0.100501825544937,4.14787611697423,3.35573887584992e-05,3.50367290584029e-05,3.35573887584992e-05,3.42566326205509e-05,1.5172039311576,1.24593862738458,1.84752901798394,0.00214767288054395,0.00234007695644627,0.00214767288054395,0.00219242448771526
SLC35G1,SLC35G1,-0.266881321814759,0.0928597628535767,-2.87402545099736,0.00405276302796609,0.0055202774338988,0.0040527630279661,0.00407195895656232,0.765763945548263,0.638340708305718,0.918622943315098,0.0469676442487782,0.0614430879599171,0.0469676442487782,0.047382795130907
SLC2A4,SLC2A4,-0.335926160706191,0.100501924248544,-3.34248486502048,0.000830318832057368,0.000772863996203928,0.000830318832057368,0.000791891757798956,0.714675875029727,0.58689678309696,0.87027501438038,0.0212561621006686,0.0179866530025641,0.0212561621006686,0.0202724289996533
JAG2,JAG2,0.338078789690619,0.106517629916805,3.17392332100023,0.00150393416160773,0.00131500472781406,0.00150393416160773,0.0014940458712681,1.40225098197402,1.13804066787469,1.72780101094208,0.0256671430247719,0.0280534341933665,0.0256671430247719,0.0254983828696422
TRIM13,TRIM13,-0.300036969660275,0.0997819586304894,-3.00692603931905,0.00263903962686135,0.00280884122037478,0.00263903962686135,0.00274026227475233,0.740790833390026,0.609201610165386,0.900803690728443,0.0397408320280297,0.046676073267259,0.0397408320280297,0.0412651260197998
NPTXR,NPTXR,-0.286049114186198,0.0908413266165784,-3.14888745948801,0.00163893298302126,0.00319534039970383,0.00163893298302125,0.00237766119385076,0.751225719200967,0.628703923685305,0.897624557328971,0.0262229277283402,0.046676073267259,0.0262229277283401,0.0380425791016121
