circrna	avg_circ_lfc	mirna	avg_mirna_lfc	mrna	avg_mrna_lfc
hsa_circ_0005147	1.01529747346667	hsa-let-7b-3p	-0.933330296417625	GPR37	1.63757194068324
hsa_circ_0005147	1.01529747346667	hsa-let-7b-3p	-0.933330296417625	RSRP1	0.930961504492768
hsa_circ_0005147	1.01529747346667	hsa-let-7b-3p	-0.933330296417625	MARCKS	0.808739426382337
hsa_circ_0038095	0.703351020000001	hsa-let-7b-3p	-0.933330296417625	GPR37	1.63757194068324
hsa_circ_0038095	0.703351020000001	hsa-let-7b-3p	-0.933330296417625	RSRP1	0.930961504492768
hsa_circ_0038095	0.703351020000001	hsa-let-7b-3p	-0.933330296417625	MARCKS	0.808739426382337
hsa_circ_0008323	0.830282201200001	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0008323	0.830282201200001	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0000676	1.3041894139	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0000676	1.3041894139	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0051718	0.533149698833337	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0051718	0.533149698833337	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0009006	1.08999820233333	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0009006	1.08999820233333	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0002901	1.76350064399999	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0002901	1.76350064399999	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0099201	1.5116663776	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0099201	1.5116663776	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0016760	1.39907910166667	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0016760	1.39907910166667	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0035301	0.872947703399999	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0035301	0.872947703399999	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0099132	1.20332042653333	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0099132	1.20332042653333	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0000442	1.14036899163333	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0000442	1.14036899163333	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0086684	0.893958431933336	hsa-let-7c-5p	-4.12964098042423	BSDC1	0.545742166139767
hsa_circ_0086684	0.893958431933336	hsa-let-7c-5p	-4.12964098042423	MKRN1	0.322787923128425
hsa_circ_0099201	1.5116663776	hsa-let-7e-5p	-2.32886989422945	TRIB1	1.47808413614442
hsa_circ_0099201	1.5116663776	hsa-let-7e-5p	-2.32886989422945	PFKFB2	0.631736750668234
hsa_circ_0099201	1.5116663776	hsa-let-7e-5p	-2.32886989422945	MAST1	1.19271577803653
hsa_circ_0099201	1.5116663776	hsa-let-7e-5p	-2.32886989422945	FBXO45	0.41960071157647
