miR_ID	circbase_ID
hsa-miR-4691-5p	hsa_circ_0063089
hsa-miR-1184	hsa_circ_0063089
hsa-miR-4268	hsa_circ_0063089
hsa-miR-6792-3p	hsa_circ_0063089
hsa-miR-3929	hsa_circ_0008323
hsa-miR-1285-3p	hsa_circ_0008323
hsa-miR-5193	hsa_circ_0063089
hsa-miR-1273g-3p	hsa_circ_0008323
hsa-miR-7703	hsa_circ_0008323
hsa-miR-1273h-5p	hsa_circ_0008323
hsa-miR-6884-5p	hsa_circ_0008323
hsa-miR-30b-3p	hsa_circ_0008323
hsa-miR-6736-3p	hsa_circ_0063089
hsa-miR-877-3p	hsa_circ_0063526
hsa-miR-3613-3p	hsa_circ_0008323
hsa-miR-3187-5p	hsa_circ_0008323
hsa-miR-5684	hsa_circ_0008323
hsa-miR-5047	hsa_circ_0063089
hsa-miR-6751-5p	hsa_circ_0034642
hsa-miR-6089	hsa_circ_0008323
hsa-miR-665	hsa_circ_0008323
hsa-miR-6807-3p	hsa_circ_0008323
hsa-miR-3620-5p	hsa_circ_0086684
hsa-miR-6756-5p	hsa_circ_0036188
hsa-miR-7851-3p	hsa_circ_0008323
hsa-miR-6803-5p	hsa_circ_0034642
hsa-miR-5189-5p	hsa_circ_0008323
hsa-miR-6881-3p	hsa_circ_0063526
hsa-miR-4684-5p	hsa_circ_0008323
hsa-miR-335-3p	hsa_circ_0062603
hsa-miR-6774-5p	hsa_circ_0008323
hsa-miR-6780a-5p	hsa_circ_0008323
hsa-miR-6754-3p	hsa_circ_0063089
hsa-miR-412-3p	hsa_circ_0063089
hsa-miR-612	hsa_circ_0008323
hsa-miR-6881-3p	hsa_circ_0063089
hsa-miR-6860	hsa_circ_0008323
hsa-miR-20b-3p	hsa_circ_0008323
hsa-miR-4419b	hsa_circ_0008323
hsa-miR-6829-5p	hsa_circ_0086684
hsa-miR-1273a	hsa_circ_0008323
hsa-miR-5193	hsa_circ_0063526
hsa-miR-6738-3p	hsa_circ_0063089
hsa-miR-6778-3p	hsa_circ_0000792
hsa-miR-4254	hsa_circ_0063089
hsa-miR-608	hsa_circ_0034642
hsa-miR-877-3p	hsa_circ_0063089
hsa-miR-5088-3p	hsa_circ_0036188
hsa-miR-6776-5p	hsa_circ_0008323
hsa-miR-570-3p	hsa_circ_0008323
hsa-miR-6875-3p	hsa_circ_0063526
hsa-miR-1587	hsa_circ_0086684
hsa-miR-4793-3p	hsa_circ_0008323
hsa-miR-548ac	hsa_circ_0008323
hsa-miR-6791-3p	hsa_circ_0034642
hsa-miR-548bb-3p	hsa_circ_0008323
hsa-miR-670-3p	hsa_circ_0001726
hsa-miR-1236-3p	hsa_circ_0063526
hsa-miR-6891-3p	hsa_circ_0000861
hsa-miR-34c-5p	hsa_circ_0086684
hsa-miR-216a-3p	hsa_circ_0008323
hsa-miR-6720-5p	hsa_circ_0008323
hsa-miR-6762-3p	hsa_circ_0063089
hsa-miR-6828-3p	hsa_circ_0063089
hsa-miR-4778-3p	hsa_circ_0063526
hsa-miR-1236-3p	hsa_circ_0063089
hsa-miR-6880-5p	hsa_circ_0008323
hsa-miR-92a-2-5p	hsa_circ_0086684
hsa-miR-103a-2-5p	hsa_circ_0063089
hsa-miR-485-5p	hsa_circ_0008323
hsa-miR-6809-3p	hsa_circ_0063526
hsa-miR-612	hsa_circ_0086684
hsa-miR-4656	hsa_circ_0008323
hsa-miR-7152-3p	hsa_circ_0063089
hsa-miR-3622b-5p	hsa_circ_0008323
hsa-miR-5693	hsa_circ_0008323
hsa-miR-6779-5p	hsa_circ_0008323
hsa-miR-4646-5p	hsa_circ_0086684
hsa-miR-6848-5p	hsa_circ_0086684
hsa-miR-6849-3p	hsa_circ_0008323
hsa-miR-766-3p	hsa_circ_0063089
hsa-miR-3692-5p	hsa_circ_0086684
hsa-miR-4756-5p	hsa_circ_0060539
hsa-miR-612	hsa_circ_0063089
hsa-miR-4537	hsa_circ_0008323
hsa-miR-188-3p	hsa_circ_0001726
hsa-miR-8485	hsa_circ_0076700
hsa-miR-4459	hsa_circ_0008323
hsa-miR-1273e	hsa_circ_0008323
hsa-miR-1273d	hsa_circ_0008323
hsa-miR-619-5p	hsa_circ_0004650
hsa-miR-378a-5p	hsa_circ_0000792
hsa-miR-4763-3p	hsa_circ_0062603
hsa-miR-6754-3p	hsa_circ_0000861
hsa-miR-4452	hsa_circ_0001726
hsa-miR-586	hsa_circ_0004650
hsa-miR-6860	hsa_circ_0086684
hsa-miR-149-5p	hsa_circ_0036188
hsa-miR-4685-5p	hsa_circ_0063089
hsa-miR-4660	hsa_circ_0017726
hsa-miR-6823-5p	hsa_circ_0062603
hsa-miR-1184	hsa_circ_0036766
hsa-miR-3662	hsa_circ_0004650
hsa-miR-3681-3p	hsa_circ_0008323
hsa-miR-5584-5p	hsa_circ_0004650
hsa-miR-6808-5p	hsa_circ_0034642
hsa-miR-1248	hsa_circ_0036188
hsa-miR-3133	hsa_circ_0008323
hsa-miR-3187-5p	hsa_circ_0086684
hsa-miR-6735-3p	hsa_circ_0063089
hsa-miR-6134	hsa_circ_0008323
hsa-miR-6874-5p	hsa_circ_0086684
hsa-miR-3187-5p	hsa_circ_0063089
hsa-miR-4512	hsa_circ_0034642
hsa-miR-548d-3p	hsa_circ_0008323
hsa-miR-762	hsa_circ_0076700
hsa-miR-3620-5p	hsa_circ_0016121
hsa-miR-367-3p	hsa_circ_0008323
hsa-miR-4747-5p	hsa_circ_0060539
hsa-miR-4727-5p	hsa_circ_0063526
hsa-miR-4763-3p	hsa_circ_0086684
hsa-miR-6726-5p	hsa_circ_0086684
hsa-miR-1207-5p	hsa_circ_0062603
hsa-miR-330-5p	hsa_circ_0036188
hsa-miR-5001-3p	hsa_circ_0063089
hsa-miR-1827	hsa_circ_0008323
hsa-miR-3157-5p	hsa_circ_0034642
hsa-miR-370-3p	hsa_circ_0063089
hsa-miR-6752-5p	hsa_circ_0034642
hsa-miR-6764-5p	hsa_circ_0000792
hsa-miR-3135b	hsa_circ_0086684
hsa-miR-4268	hsa_circ_0034642
hsa-miR-4459	hsa_circ_0086684
hsa-miR-4686	hsa_circ_0016121
hsa-miR-5193	hsa_circ_0061346
hsa-miR-3192-5p	hsa_circ_0008323
hsa-miR-3619-5p	hsa_circ_0034642
hsa-miR-4512	hsa_circ_0000792
hsa-miR-4640-5p	hsa_circ_0036188
hsa-miR-4660	hsa_circ_0034642
hsa-miR-4742-3p	hsa_circ_0074559
hsa-miR-548h-3p	hsa_circ_0008323
hsa-miR-548z	hsa_circ_0008323
hsa-miR-1293	hsa_circ_0026134
hsa-miR-6511a-5p	hsa_circ_0008323
hsa-miR-1205	hsa_circ_0063089
hsa-miR-1226-3p	hsa_circ_0000792
hsa-miR-4651	hsa_circ_0034642
hsa-miR-6778-5p	hsa_circ_0008323
hsa-miR-6809-3p	hsa_circ_0062603
hsa-miR-4252	hsa_circ_0060539
hsa-miR-5195-3p	hsa_circ_0008584
hsa-miR-6829-3p	hsa_circ_0063089
hsa-miR-6862-5p	hsa_circ_0008323
hsa-miR-6883-5p	hsa_circ_0008323
hsa-miR-7160-5p	hsa_circ_0008323
