probeID	circRNA	Alias	GeneSymbol	Regulation
ASCRP3000068	hsa_circRNA_060539	hsa_circ_0060539	SDC4	Down
ASCRP3000078	hsa_circRNA_006116	hsa_circ_0006116	SMURF1	Up
ASCRP3000116	hsa_circRNA_102798	hsa_circ_0009020	SEPT10	Down
ASCRP3000202	hsa_circRNA_102469	hsa_circ_0008432	TPM4	Down
ASCRP3000210	hsa_circRNA_079201	hsa_circ_0079201	IQCE	Down
ASCRP3000476	hsa_circRNA_087856	hsa_circ_0087856	RAD23B	Down
ASCRP3000482	hsa_circRNA_068465	hsa_circ_0068465	EIF4A2	Down
ASCRP3000525	hsa_circRNA_001985	hsa_circ_0001985	UBP1	Down
ASCRP3000905	hsa_circRNA_065768	hsa_circ_0065768	RBM6	Down
ASCRP3000925	hsa_circRNA_102973	hsa_circ_0059074	FARP2	Down
ASCRP3001473	hsa_circRNA_003333	hsa_circ_0003333	MCTP2	Down
ASCRP3001535	hsa_circRNA_001233	hsa_circ_0000463	EP400NL	Up
ASCRP3001609	hsa_circRNA_004390	hsa_circ_0004390	LPAR3	Down
ASCRP3001615	hsa_circRNA_104733	hsa_circ_0002359	UHRF2	Up
ASCRP3001715	hsa_circRNA_059060	hsa_circ_0059060	SEPT2	Down
ASCRP3001751	hsa_circRNA_101859	hsa_circ_0040188	AARS	Down
ASCRP3001758	hsa_circRNA_001312	hsa_circ_0001312	CCDC66	Down
ASCRP3001837	hsa_circRNA_407203		HABP4	Down
ASCRP3001858	hsa_circRNA_405135		LINC00571	Up
ASCRP3002050	hsa_circRNA_400105		PRKCZ	Down
ASCRP3002132	hsa_circRNA_103775	hsa_circ_0005066	SNX25	Down
ASCRP3002483	hsa_circRNA_062610	hsa_circ_0062610	SPECC1L	Down
ASCRP3002666	hsa_circRNA_400698		EIF3F	Down
ASCRP3002768	hsa_circRNA_100111	hsa_circ_0007283	SLC9A1	Up
ASCRP3002970	hsa_circRNA_004364	hsa_circ_0004364	ZC3HC1	Up
ASCRP3003098	hsa_circRNA_100841	hsa_circ_0022589	SLC3A2	Down
