ID	Term_Description	Fold_Enrichment	occurrence	support	lowest_p	highest_p	non_Signif_Snw_Genes	Up_regulated	Down_regulated
GO:0003700	DNA-binding transcription factor activity	2.10728010534519	99	0.00520833333333333	5.52498632378093e-09	5.52498632378093e-09	SMAD3	FOXL2, NPAS2, HEYL, LEF1	ETS1, NFIC, VDR
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	12.6006749156355	100	0.00520833333333333	7.23652977829577e-07	4.45721753882308e-06	SKP1	FBXO6	FBXL3, FBXL5
GO:0019005	SCF ubiquitin ligase complex	9.12462666304643	100	0.00520833333333333	2.86519885359439e-06	1.76174635552478e-05	SKP1	FBXO6	FBXL3, FBXL5
GO:0042752	regulation of circadian rhythm	7.47497664486854	100	0.015625	5.44349388683769e-05	5.44349388683769e-05	PML		SIAH2, BHLHE40, PPARGC1A, FBXL3, SRRD
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	3.45900880037054	99	0.00520833333333333	0.000129144342244888	0.000129144342244888	SMAD3	HEYL, LEF1	ETS1, BHLHE40
GO:0015629	actin cytoskeleton	2.47766079801823	2	0.00583214310004761	0.0003136631467834	0.00467377869085774	CDH1	MARCKS, ARPC1A, SRCIN1	DDR2, WASF2
GO:0016567	protein ubiquitination	1.54745130542893	100	0.00520833333333333	0.00398325054074328	0.023757515347341	SKP1	FBXO45	FBXL3, FBXL5
GO:0090398	cellular senescence	4.52331920048456	1	0.00591715976331361	0.00451251264346467	0.00451251264346467	NPM1	CDKN2A	OPA1
GO:0007010	cytoskeleton organization	4.9002624671916	88	0.00520833333333333	0.0045381951493929	0.0045381951493929		MAST1, RHOU, SH3BGRL3	MICAL3
GO:0001837	epithelial to mesenchymal transition	4.76782294105129	99	0.00520833333333333	0.00479376147087107	0.00479376147087107	CTNNB1	LEF1	DLG5
GO:0030433	ubiquitin-dependent ERAD pathway	3.75339252806165	100	0.00520833333333333	0.00483901966597414	0.0247811567302103	VCP	FBXO6	TRIM13
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1.63949301876299	99	0.00520833333333333	0.00629181790399582	0.00629181790399582	SMAD3	LEF1	ETS1, NFIC, RFXAP, EHF
GO:0030054	cell junction	2.27625095250191	1	0.00591715976331361	0.0096842752118617	0.0096842752118617	CDH1	PCDH1, TSPAN1	DSC3, DLG5
GO:0032922	circadian regulation of gene expression	4.41023622047244	100	0.00520833333333333	0.0101722640519962	0.0101722640519962	PML	NPAS2	BHLHE40, PPARGC1A
GO:0035577	azurophil granule membrane	3.09490261085785	99	0.00520833333333333	0.0143520228289483	0.0143520228289483	RAB5C	ARL8A	B4GALT1
GO:0006110	regulation of glycolytic process	8.01861130994989	89	0.00520833333333333	0.0157821740252038	0.0371610003075988	EIF6		PGAM1
GO:0055037	recycling endosome	2.26165960024228	99	0.00520833333333333	0.0224919433701644	0.0370275202142226	STX6	LMTK2	STX7
GO:0030057	desmosome	12.6006749156355	88	0.00520833333333333	0.0260983377389903	0.0260983377389903			B4GALT1, KAZN
GO:1990904	ribonucleoprotein complex	1.89687579375159	100	0.00520833333333333	0.0287305940097973	0.0381921820738085	ILF3		NSRP1, MRPL10
GO:0008013	beta-catenin binding	2.63297684804325	99	0.00520833333333333	0.0292010449483868	0.0292010449483868	CTNNB1	LEF1	DLG5
GO:0036109	alpha-linolenic acid metabolic process	17.6409448818898	1	0.028735632183908	0.0304135053556434	0.0304135053556434			FADS1, FADS2
GO:0022407	regulation of cell-cell adhesion	17.6409448818898	1	0.00574712643678161	0.0304135053556434	0.0304135053556434		EPHB3	MINK1
GO:0090399	replicative senescence	8.82047244094488	1	0.00574712643678161	0.0304135053556434	0.0304135053556434	TP53	CDKN2A	
GO:0005524	ATP binding	2.34171834715351	99	0.00520833333333333	0.0324911896181478	0.0324911896181478	HSP90AA1	BRSK2, TRIB1, MAST1	IDE, MAP4K2, MINK1
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	2.78541234977207	1	0.00574712643678161	0.0407131378795762	0.0407131378795762	VCP	FBXO45	TRIM13, FBXL22
GO:0070064	proline-rich region binding	6.78497880072683	1	0.00574712643678161	0.0439057832438985	0.0439057832438985	PFN1		ITSN1
GO:0030127	COPII vesicle coat	14.7007874015748	1	0.00574712643678161	0.0445799302169715	0.0445799302169715			SEC23A, TMED7
GO:0004674	protein serine/threonine kinase activity	2.52013498312711	99	0.00520833333333333	0.044631505619689	0.044631505619689		BRSK2, LMTK2, MAST1	MAP3K8, MAP4K2, PLK2, MINK1
GO:1990907	beta-catenin-TCF complex	17.6409448818898	99	0.00520833333333333	0.0483505712648496	0.0483505712648496	CTNNB1	LEF1	LDB1
