Slope Coef	Slope LCI	Slope UCI	Slope Pval	Slope ITL Coef	Slope ITL LCI	Slope ITL UCI	ChiSq	ChiSq Pval	Harrells C	Harrells C LCI	Harrells C UCI	Hazard Ratio	HR SE	HR CI	HR Pval	AUC 1yr	CI 1yr	AUC 3yr	CI 3yr	AUC 5yr	CI 5yr	genes
1.5921	1.4585	1.7256	1.01370867005459e-120	0.1928	0.1798	0.2067	0	1	0.7931	0.7404	0.8375	1.7675	0.1324	1.51-2.03	1.12977669661594e-40	0.82	78.25-85.76	0.83	79.82-85.58	0.83	80.43-86.11	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
1.4681	0.8135	2.1227	1.1040736934422e-05	0.1182	0.077	0.1814	0	1	0.822	0.4787	0.9587	1.483	0.6611	0.19-2.78	0.0248852453875691	0.84	69.84-98.47	0.89	78.2-100.18	0.92	81.07-103.44	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
1.6234	1.4757	1.7711	5.94013630278366e-103	0.2063	0.1909	0.2231	0	1	0.7966	0.7378	0.8449	1.7762	0.1507	1.48-2.07	4.55006126903342e-32	0.82	77.73-86.69	0.83	79.98-86.5	0.83	80.31-86.67	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
1.4472	1.1785	1.7159	4.78049522181909e-26	0.1393	0.1197	0.1622	0	1	0.7813	0.6641	0.8659	1.8377	0.2732	1.3-2.37	1.73793183964045e-11	0.82	75.23-88	0.81	75.44-86.63	0.81	73.47-87.78	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
1.5729	1.4327	1.7132	4.35211893207157e-107	0.1833	0.1702	0.1974	0	1	0.7958	0.7387	0.8432	1.7887	0.1416	1.51-2.07	1.40315708888626e-36	0.83	79.49-87.01	0.83	80.07-86.12	0.84	80.72-86.76	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
1.7431	1.368	2.1183	8.49528709336529e-20	0.2355	0.1908	0.2907	0	1	0.7905	0.6529	0.8834	1.8849	0.363	1.17-2.6	2.0691070730966e-07	0.73	61.33-85.25	0.81	73.49-88.85	0.82	74.79-89.72	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
1.5886	1.454	1.7232	2.14787560737612e-118	0.1817	0.1693	0.1949	0	1	0.7972	0.7426	0.8426	1.779	0.138	1.51-2.05	4.77592847282154e-38	0.82	78.2-85.83	0.83	80.26-86.16	0.83	80.46-86.37	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
1.5245	0.9638	2.0852	9.87853124333382e-08	0.3115	0.2429	0.3995	0	1	0.7676	0.5846	0.8857	1.7132	0.4066	0.92-2.51	2.51697693607313e-05	0.82	68.84-95.17	0.79	69.54-88.58	0.83	75.23-91.73	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
1.7255	1.5773	1.8737	3.20011925195583e-115	0.1796	0.1658	0.1945	0	1	0.7998	0.7451	0.8453	1.7758	0.139	1.5-2.05	2.13873586240977e-37	0.82	78.49-86.35	0.84	80.66-86.51	0.84	80.69-86.58	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
0.9166	0.5912	1.2419	3.35970122598441e-08	0.3409	0.2815	0.4128	0	1	0.7771	0.5997	0.8903	1.9133	0.3981	1.13-2.69	1.53631287860729e-06	0.82	72.86-91.34	0.81	71.2-90.41	0.85	76.33-93.41	ZNF800, IRS2, GPR37, ANGEL2, BCOR, PEX11B, MKRN1, TMED4, TMEM151A, SECISBP2L, PACS1, CAMK2D, AGAP1, RASSF8, HIC2, SIGMAR1, SLCO5A1, SENP5, PTEN, ENPP4, LMTK2, SH3GLB1, CERS5, ARL8A, ZNF623, KDM5C, BACE2, NPAS2, KIF21A, MAMLD1, FSTL4, SYDE2, ST6GAL1, LIN7A, ZC3H12B, FNBP1L, LETMD1, CHRM1, CDK17, GRID2, REL, VCAN, GIGYF2, PRR13, MDFIC, REPS1, HNF4G, LIMA1, RNASEH2C, MAPK8IP2, PRKAA2, ZNF704, SLC4A10, ANO6, CES3, TMEM63C, BHLHE41, PPM1B, APC, MYEF2, ZNF112, PPP1R15A, SNRNP27, NFASC, ATP8A1, HECA, DDAH1, ZNF138, ZNF124, TMSB10, COA1, NUCB1, PITX2, FOXN2, SCRIB, APH1A, TERF2IP, ARHGAP35, RUNDC3B, SATB1, RSAD2, AP3B2, STAT5A, ERC2, MTERF4, CAPS2, C2orf68, S100A10, TBC1D8, FAM171B, UBR5, FMNL2, RPIA, SYTL2, UNC13A, COX20, NAMPT, ZBTB2, ELF3, MADD, SFN, MIA2, SMURF2, RHOU, DCAF4L1, LRRC37A3, MANSC1, PRKAG2, SLC41A2, REG4, PELI1, LCORL, NKAIN1, COL14A1, SSTR1, ARHGEF4, PAPSS1, SLC4A1AP, MBIP, CTHRC1, SEMA6B, HDAC5, CELF5, ZMAT1, ARHGEF28, TBC1D10B, SETD9, BGN, KIF13B, SPATA20, HEY1, THSD4, PPP1R7, SLC35G1, ITSN1, IL1RAPL1, CMPK1, MKNK2, CCNG1, PPP3CB, PDCD4, IBTK, FAM217B, UNC45A, SLC39A14, FOXO3, AGTRAP, AP1S3, B4GALT6, GNB4, MBLAC2, RAB11FIP2, ZNF598, SH2B3, NUS1, DDIT4, NRAS, MOB3A, TGFBR1, CDCA7L, ZNF287, TPT1, ST6GALNAC1, UBE4B, ADPRHL1, ZPLD1, ETV1, ACSL3, PXN, TSPAN6, ABCA12, CRISPLD2, PPP1R10, MAML2, FAM227B, SLC2A4, NLRP2, PLAGL2, DHCR7, BTN3A1, BHLHE40, CCDC88C, ALDH3B2, TMEM164, GLRX3, SLC2A6, DDX21, HS6ST1, RFXAP, ZSCAN31, NEK4, B4GALT1, OPA1, DSG2, RFC1, HPS4, PSMD2, PHF23, IK, ZNF518B, FKBP10, RUNDC1, BAG6, gleason_score
