Slope Coef	Slope LCI	Slope UCI	Slope Pval	Slope ITL Coef	Slope ITL LCI	Slope ITL UCI	ChiSq	ChiSq Pval	Harrells C	Harrells C LCI	Harrells C UCI	Hazard Ratio	HR SE	HR CI	HR Pval	AUC 1yr	CI 1yr	AUC 3yr	CI 3yr	AUC 5yr	CI 5yr	genes
2.4519	2.1579	2.7459	4.85185916865581e-60	0.2526	0.2356	0.2709	0	1	0.7168	0.6598	0.7677	1.4268	0.122	1.19-1.67	1.32680017980759e-31	0.74	69.46-78.81	0.73	69.54-76.55	0.75	71.15-77.89	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
1.774	0.3911	3.1569	0.0119306473562657	0.1545	0.1007	0.2371	0	1	0.6828	0.3541	0.8942	0.8189	0.6036	-0.36-2	0.174895998784292	0.71	46.37-94.67	0.74	52.68-94.8	0.72	48.64-94.9	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
2.582	2.236	2.9279	1.84080397180383e-48	0.2696	0.2494	0.2914	0	1	0.7191	0.6556	0.7749	1.4574	0.1396	1.18-1.73	1.59506309423546e-25	0.74	68.53-79.71	0.74	69.64-77.65	0.75	71.03-78.52	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
1.9972	1.4801	2.5143	3.7322051223442e-14	0.1984	0.1704	0.231	0	1	0.7057	0.5834	0.8042	1.1791	0.2286	0.73-1.63	2.50100818789081e-07	0.74	66.09-81.89	0.71	63.83-77.94	0.72	63.45-80.48	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
2.4496	2.1389	2.7603	7.27371198114567e-54	0.2435	0.2261	0.2622	0	1	0.7225	0.6609	0.7767	1.459	0.1309	1.2-1.72	7.85419126991187e-29	0.75	70.73-80.19	0.74	70.13-77.45	0.76	72.08-79.19	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
2.2412	1.4746	3.0077	1.0023000962211e-08	0.2739	0.2219	0.3381	0	1	0.6803	0.5361	0.7967	1.0869	0.2939	0.51-1.66	0.000216975981148649	0.65	49.78-79.88	0.69	58.64-78.77	0.68	58.68-77.72	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
2.4224	2.1229	2.7219	1.35617953658408e-56	0.2408	0.2244	0.2584	0	1	0.7174	0.6582	0.7699	1.3677	0.1246	1.12-1.61	4.94253549046852e-28	0.74	69.22-78.76	0.73	69.76-77	0.74	70.73-77.82	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
2.3112	1.2988	3.3235	7.66232625110639e-06	0.3433	0.2676	0.4403	0	1	0.7119	0.5266	0.8459	0.9737	0.3588	0.27-1.68	0.00665010604253692	0.75	57.54-91.64	0.69	57.22-81.12	0.76	65.75-85.87	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
2.4507	2.1496	2.7518	2.71042873354359e-57	0.2365	0.2184	0.2561	0	1	0.7197	0.6602	0.7724	1.3542	0.1248	1.11-1.6	1.99960681220143e-27	0.74	69.5-79.28	0.74	70.02-77.29	0.75	71.06-78.13	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
2.4904	1.4294	3.5513	4.21214561083468e-06	0.4239	0.35	0.5133	0	1	0.7127	0.532	0.844	1.7484	0.3968	0.97-2.53	1.05033024301533e-05	0.73	60.01-85.4	0.71	59.72-82.5	0.77	65.98-87.09	VCAN, RNASEH2C, PPP1R15A, SATB1, MTERF4, FAM171B, MANSC1, SSTR1, SEMA6B, BGN, PDCD4, SLC39A14, RAB11FIP2, DDIT4, ACSL3, GCNT2, MAML2, FAM227B, SLC2A4, NLRP2, BTN3A1, ALDH3B2, FKBP10, RUNDC1
