ID	Term_Description	Fold_Enrichment	occurrence	support	lowest_p	highest_p	non_Signif_Snw_Genes	Up_regulated	Down_regulated
hsa04922	Glucagon signaling pathway	3.45900880037054	100	0.00520833333333333	6.10019100444771e-05	0.000369261504107014	CALM1	PPP3R1	PPARGC1A, PPP3CB, PGAM1
hsa04710	Circadian rhythm	8.26919291338583	100	0.00520833333333333	0.000666226660523427	0.0404660259110209	SKP1	NPAS2	BHLHE40, FBXL3
hsa04924	Renin secretion	2.67287043664996	100	0.00520833333333333	0.00164981817889287	0.00604238173688969	CALM1	PPP3R1	PPP3CB
hsa04720	Long-term potentiation	2.63297684804325	100	0.00520833333333333	0.00172663246040212	0.00632244119536373	CALM1	PPP3R1	PPP3CB
hsa05031	Amphetamine addiction	2.55665867853475	100	0.00520833333333333	0.00188728975494143	0.00690794912838265	CALM1	PPP3R1	PPP3CB
hsa05130	Pathogenic Escherichia coli infection	1.82807718983314	6	0.00684931506849315	0.00211748833026126	0.0226110782466801	ACTB	ARPC1A, MYO1D	WASF2, TNFRSF10B
hsa04115	p53 signaling pathway	3.6751968503937	100	0.00520833333333333	0.00214635522955947	0.0192068832216471	TP53	CDKN2A, BBC3	TNFRSF10B
hsa03013	Nucleocytoplasmic transport	2.56906964299366	100	0.015625	0.00243180681097998	0.00630534415264184	NUP155	NUP43	DDX19A, IPO11
hsa05100	Bacterial invasion of epithelial cells	2.55665867853475	5	0.00684931506849315	0.00387746908836777	0.00387746908836777	ACTB	ARPC1A	WASF2
hsa04666	Fc gamma R-mediated phagocytosis	2.81504439604624	1	0.0229885057471264	0.00479212729194482	0.00479212729194482	RAC2	MARCKS, ARPC1A	WASF2
hsa04625	C-type lectin receptor signaling pathway	1.72950440018527	100	0.00520833333333333	0.00612354136534432	0.0222657537240572	CALM1	PPP3R1	PPP3CB
hsa04218	Cellular senescence	2.26165960024228	100	0.0104166666666667	0.00674843020603428	0.0164158288360368	TP53	CDKN2A, PPP3R1	ETS1, PPP3CB
hsa04142	Lysosome	1.35699576014537	3	0.00591715976331361	0.0095293030033263	0.0095293030033263	IGF2R		ARSB, LIPA
hsa04114	Oocyte meiosis	1.42265684531369	100	0.00520833333333333	0.0109871083560506	0.0397742471007484	CALM1	PPP3R1	PPP3CB
hsa04120	Ubiquitin mediated proteolysis	1.26913272531581	100	0.00520833333333333	0.0154469979219065	0.0386103708506455	UBC	UBE2E3, UBE2S	
hsa04260	Cardiac muscle contraction	4.15081056044465	99	0.00520833333333333	0.0179487346194739	0.0179487346194739		CACNB3, CACNA2D2	UQCRC2, ATP1B3
hsa00030	Pentose phosphate pathway	3.04154222101548	16	0.00684931506849315	0.0181270839708895	0.0181270839708895	TKT	RPIA	
hsa04921	Oxytocin signaling pathway	2.35212598425197	1	0.00574712643678161	0.0193787614628346	0.0193787614628346	CALM1	CACNB3, CACNA2D2, PPP3R1	PPP3CB
hsa01040	Biosynthesis of unsaturated fatty acids	7.66997603560425	1	0.028735632183908	0.0206962969656509	0.0206962969656509			FADS2, FADS1
hsa04136	Autophagy - other	2.75639763779528	2	0.00583214310004761	0.0221315634554719	0.0404660259110209	ATG7	WIPI2	
hsa05012	Parkinson disease	1.41127559055118	89	0.00520833333333333	0.0230882818575917	0.0486623199047663	SNCA	GPR37, NDUFA10	SLC39A14, UQCRC2
hsa04141	Protein processing in endoplasmic reticulum	1.6334208223972	1	0.0114942528735632	0.0243597788933838	0.0243597788933838	CUL1	SEC31B, FBXO6	SEC23A
hsa04022	cGMP-PKG signaling pathway	1.6334208223972	1	0.00574712643678161	0.0243597788933838	0.0243597788933838	CALM1	PPP3R1	PPP3CB, ATP1B3
hsa05166	Human T-cell leukemia virus 1 infection	1.9865928921047	100	0.0104166666666667	0.0267079029674431	0.0467466102561391	TP53	PPP3R1, CDKN2A	PPP3CB, IL15RA, ETS1
hsa00514	Other types of O-glycan biosynthesis	6.01395848246242	97	0.00520833333333333	0.0276938758446918	0.0276938758446918		GALNT11, GALNT10	B4GALT1
hsa05135	Yersinia infection	1.30673665791776	5	0.00684931506849315	0.0288986485551776	0.0288986485551776	ACTB	ARPC1A	WASF2
hsa05152	Tuberculosis	1.96010498687664	1	0.00574712643678161	0.033296302656339	0.033296302656339	CALM1	PPP3R1	RFXAP, VDR, PPP3CB
hsa04390	Hippo signaling pathway	1.74088271860754	99	0.00520833333333333	0.0410703779063743	0.0410703779063743	CTNNB1	BBC3, LEF1	DLG5
hsa00260	Glycine, serine and threonine metabolism	2.26165960024228	15	0.00662251655629139	0.041223704669093	0.041223704669093	DLD		PGAM1
hsa05167	Kaposi sarcoma-associated herpesvirus infection	1.36399058365127	1	0.00574712643678161	0.0415597747806979	0.0415597747806979	CALM1	PPP3R1, LEF1	PPP3CB
hsa04130	SNARE interactions in vesicular transport	2.67287043664996	1	0.00574712643678161	0.0430639194158022	0.0430639194158022	STX6		STX7
hsa00380	Tryptophan metabolism	2.20511811023622	15	0.00662251655629139	0.0433830411107657	0.0433830411107657	DLD	DHTKD1	
hsa05170	Human immunodeficiency virus 1 infection	0.864752200092636	1	0.00574712643678161	0.0482145053259425	0.0482145053259425	CALM1	PPP3R1	PPP3CB
