miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B	experiment
hsa-miR-145	-1.34155118148617	14.9307853718346	-8.11630101506122	2.24084832954009e-13	6.03057102445828e-11	19.9846552387399	GSE21036
hsa-miR-141	0.809227702080687	13.7607182634524	5.49504080822483	1.79572525172522e-07	6.34206797564688e-06	6.86841392985994	GSE21036
hsa-miR-23b	-0.599955385219884	13.3924669074608	-4.91130403151262	2.49208617183761e-06	6.18699474690902e-05	4.35721613591893	GSE21036
hsa-miR-23a	-0.346191103802381	13.0700914301541	-3.21886093736682	0.00160033182379673	0.0135947380183136	-1.70080069776085	GSE21036
hsa-miR-200c	0.880344432063342	12.7997626459388	6.20852688509482	5.73895775582264e-09	3.19060262476951e-07	10.1748504065211	GSE21036
hsa-miR-143	-0.987042891559295	12.7958915710459	-5.8559106280972	3.24003163741365e-08	1.4188488717533e-06	8.51060253140761	GSE21036
hsa-miR-27b	-0.587790930805639	12.711164877605	-5.88671251333607	2.79151608523389e-08	1.25859999003271e-06	8.65370746767281	GSE21036
hsa-miR-24	-0.386612122756304	12.6849131511552	-4.70913757147303	5.93240620775172e-06	0.000136455483643602	3.53308872335097	GSE21036
hsa-miR-148a	1.10578322680665	12.498293928623	6.89942103031732	1.66828558183664e-10	1.47687176244696e-08	13.5865972119639	GSE21036
hsa-miR-375	1.12629672423949	12.2899852981959	4.48481498196259	1.51004568883003e-05	0.000303724585783212	2.6480849687307	GSE21036
hsa-miR-27a	-0.323515918118931	12.0776695493505	-3.00480620057922	0.00315083106873202	0.0227699156073352	-2.31710174827722	GSE21036
hsa-miR-22	-0.45413819451058	11.886200124026	-3.32057805898028	0.00114623259866305	0.0103933327814084	-1.39516115510781	GSE21036
hsa-miR-100	-0.433995143938322	11.6119225428996	-3.42331588768113	0.000812042282665779	0.00784410693147935	-1.07825905040866	GSE21036
hsa-miR-34a	-0.283499430041358	11.3132597403129	-2.79236264520234	0.00596618933268776	0.0365816897913755	-2.89186476275758	GSE21036
