miRNA	Gene
hsa-miR-125a-5p	ACADS
hsa-miR-125a-5p	APC
hsa-miR-125a-5p	DLD
hsa-miR-125a-5p	TAFAZZIN
hsa-miR-125a-5p	FGFR2
hsa-miR-125a-5p	GJA1
hsa-miR-125a-5p	HADHB
hsa-miR-125a-5p	HK2
hsa-miR-125a-5p	KCNA1
hsa-miR-125a-5p	LIPA
hsa-miR-125a-5p	PKP1
hsa-miR-125a-5p	PMM2
hsa-miR-125a-5p	PPT1
hsa-miR-125a-5p	ATXN1
hsa-miR-125a-5p	ATXN7
hsa-miR-125a-5p	SCN4A
hsa-miR-125a-5p	TTPA
hsa-miR-125a-5p	VDR
hsa-miR-125a-5p	MAT1A
hsa-miR-125a-5p	PAFAH1B1
hsa-miR-125a-5p	NEU1
hsa-miR-125a-5p	RFX5
hsa-miR-125a-5p	GDNF
hsa-miR-125a-5p	TAP2
hsa-miR-125a-5p	IL6R
hsa-miR-125a-5p	CCR5
hsa-miR-125a-5p	BCL2
hsa-miR-125a-5p	CACNB1
hsa-miR-125a-5p	CACNB3
hsa-miR-125a-5p	CYP24A1
hsa-miR-125a-5p	EPO
hsa-miR-125a-5p	HTR6
hsa-miR-125a-5p	PLA2G5
hsa-miR-125a-5p	REEP3
hsa-miR-125a-5p	UBE2W
hsa-miR-125a-5p	GRB10
hsa-miR-125a-5p	GRB10
hsa-miR-125a-5p	GRB10
hsa-miR-125a-5p	NA
hsa-miR-125a-5p	MTUS1
hsa-miR-125a-5p	ATP5MC2
hsa-miR-125a-5p	LCLAT1
hsa-miR-125a-5p	GPATCH8
hsa-miR-125a-5p	RREB1
hsa-miR-125a-5p	MTFP1
hsa-miR-125a-5p	KLHL31
hsa-miR-125a-5p	DLGAP1
hsa-miR-125a-5p	SP5
hsa-miR-125a-5p	BMF
hsa-miR-125a-5p	BMF
hsa-miR-125a-5p	BMF
hsa-miR-125a-5p	LIN28B
hsa-miR-125a-5p	TMEM198
hsa-miR-125a-5p	PKP1
hsa-miR-125a-5p	PKP4
hsa-miR-125a-5p	RPS6KA1
hsa-miR-125a-5p	IGSF3
hsa-miR-125a-5p	SS18
hsa-miR-125a-5p	ZDHHC9
hsa-miR-125a-5p	CST9
hsa-miR-125a-5p	GEMIN2
hsa-miR-125a-5p	GEMIN2
hsa-miR-125a-5p	IBA57
hsa-miR-125a-5p	ACER2
hsa-miR-125a-5p	ZC3H12B
hsa-miR-125a-5p	SLC6A17
hsa-miR-125a-5p	RAP1A
hsa-miR-125a-5p	SPRTN
hsa-miR-125a-5p	PCGF6
hsa-miR-125a-5p	ARSI
hsa-miR-125a-5p	CCNC
hsa-miR-125a-5p	EXOC7
hsa-miR-125a-5p	IL31
hsa-miR-125a-5p	IGSF11
hsa-miR-125a-5p	SP3
hsa-miR-125a-5p	GOPC
hsa-miR-125a-5p	VDR
hsa-miR-125a-5p	VDR
hsa-miR-125a-5p	NA
hsa-miR-125a-5p	PODXL
hsa-miR-125a-5p	SPTB
hsa-miR-125a-5p	ANO6
hsa-miR-125a-5p	KCTD21
hsa-miR-125a-5p	MSRB3
hsa-miR-125a-5p	FAM131B
hsa-miR-125a-5p	ZNF704
hsa-miR-125a-5p	KCNIP3
hsa-miR-125a-5p	NIBAN2
hsa-miR-125a-5p	CYFIP2
hsa-miR-125a-5p	RUFY3
hsa-miR-125a-5p	NBPF8
hsa-miR-125a-5p	NBPF9
hsa-miR-125a-5p	NCKAP5L
hsa-miR-125a-5p	CDC42SE1
hsa-miR-125a-5p	TRIM71
hsa-miR-125a-5p	TRIOBP
hsa-miR-125a-5p	THEMIS2
hsa-miR-125a-5p	AREL1
hsa-miR-125a-5p	DPH2
hsa-miR-125a-5p	CHTF8
hsa-miR-125a-5p	SLC4A8
hsa-miR-125a-5p	OPALIN
hsa-miR-125a-5p	OPALIN
hsa-miR-125a-5p	CKLF
hsa-miR-125a-5p	CHTF8
hsa-miR-125a-5p	LFNG
hsa-miR-125a-5p	TYSND1
hsa-miR-125a-5p	ZCWPW2
hsa-miR-125a-5p	SLC26A6
hsa-miR-125a-5p	PGP
hsa-miR-125a-5p	ANKZF1
hsa-miR-125a-5p	MIDEAS
hsa-miR-125a-5p	SSTR3
hsa-miR-125a-5p	TACR1
hsa-miR-125a-5p	TNFRSF1B
hsa-miR-125a-5p	TUBG1
hsa-miR-125a-5p	NCOR2
hsa-miR-125a-5p	TMPRSS13
hsa-miR-125a-5p	ZNF586
hsa-miR-125a-5p	KLK5
hsa-miR-125a-5p	KLK5
hsa-miR-125a-5p	UBN1
hsa-miR-125a-5p	TRAPPC6B
hsa-miR-125a-5p	HNRNPUL2
hsa-miR-125a-5p	FKTN
hsa-miR-125a-5p	GJC1
hsa-miR-125a-5p	PROX2
hsa-miR-125a-5p	CAMSAP3
hsa-miR-125a-5p	PLEKHM3
hsa-miR-125a-5p	MEGF9
hsa-miR-125a-5p	TMEM120B
hsa-miR-125a-5p	PLAGL1
hsa-miR-125a-5p	PLAGL1
hsa-miR-125a-5p	PLAGL1
hsa-miR-125a-5p	PLAGL1
hsa-miR-125a-5p	PLAGL1
hsa-miR-125a-5p	PLAGL1
hsa-miR-125a-5p	SCARB1
hsa-miR-125a-5p	NKAPD1
hsa-miR-125a-5p	NKAPD1
hsa-miR-125a-5p	C1orf116
hsa-miR-125a-5p	TOR2A
hsa-miR-125a-5p	PSAPL1
hsa-miR-125a-5p	ABR
hsa-miR-125a-5p	ACACB
hsa-miR-125a-5p	TXNRD1
hsa-miR-125a-5p	ASIC1
hsa-miR-125a-5p	GCNT1
hsa-miR-125a-5p	GCNT1
hsa-miR-125a-5p	GCNT1
hsa-miR-125a-5p	GCNT1
hsa-miR-125a-5p	LIG4
hsa-miR-125a-5p	GRSF1
hsa-miR-125a-5p	CRTC1
hsa-miR-125a-5p	SLC4A4
hsa-miR-125a-5p	AKT1S1
hsa-miR-125a-5p	ZBTB34
hsa-miR-125a-5p	NIPAL4
hsa-miR-125a-5p	SHISAL1
hsa-miR-125a-5p	PHYHIP
hsa-miR-125a-5p	ULK3
hsa-miR-125a-5p	CMTR2
hsa-miR-125a-5p	PTAR1
hsa-miR-125a-5p	ZNF578
hsa-miR-125a-5p	CCR5
hsa-miR-125a-5p	PACS2
hsa-miR-125a-5p	NBPF11
hsa-miR-125a-5p	HNRNPR
hsa-miR-125a-5p	PCTP
hsa-miR-125a-5p	SNX18
hsa-miR-125a-5p	FAM118A
hsa-miR-125a-5p	TLE3
hsa-miR-125a-5p	TMEM177
hsa-miR-125a-5p	TMEM177
hsa-miR-125a-5p	CORO1C
hsa-miR-125a-5p	THEMIS2
hsa-miR-125a-5p	FBXO45
hsa-miR-125a-5p	EBF4
hsa-miR-125a-5p	ACVR1C
hsa-miR-125a-5p	IQSEC2
hsa-miR-125a-5p	DDX54
hsa-miR-125a-5p	NA
hsa-miR-125a-5p	LIMA1
hsa-miR-125a-5p	LIMA1
hsa-miR-125a-5p	SZRD1
hsa-miR-125a-5p	FAM178B
hsa-miR-125a-5p	PHKA1
hsa-miR-125a-5p	ZBTB37
hsa-miR-125a-5p	BCKDK
hsa-miR-125a-5p	TMEM72
hsa-miR-125a-5p	CCR2
hsa-miR-125a-5p	SPNS2
hsa-miR-125a-5p	ADPRH
hsa-miR-125a-5p	TP73
hsa-miR-125a-5p	TP73
hsa-miR-125a-5p	TET2
hsa-miR-125a-5p	PAN2
hsa-miR-125a-5p	LIPA
hsa-miR-125a-5p	ATXN1
hsa-miR-125a-5p	CYP24A1
hsa-miR-125a-5p	TOMM40
hsa-miR-125a-5p	TOMM40
hsa-miR-125a-5p	ENTPD4
hsa-miR-125a-5p	SANBR
hsa-miR-125a-5p	KCTD15
hsa-miR-125a-5p	KCTD15
hsa-miR-125a-5p	RFC5
hsa-miR-125a-5p	DNAJA4
hsa-miR-125a-5p	ELOVL6
hsa-miR-125a-5p	AIFM1
hsa-miR-125a-5p	TGFBR1
hsa-miR-125a-5p	NEMP1
hsa-miR-125a-5p	SUN1
hsa-miR-125a-5p	ZNF385A
hsa-miR-125a-5p	ZNF385A
hsa-miR-125a-5p	USP46
hsa-miR-125a-5p	ESRRG
hsa-miR-125a-5p	PSMG3
hsa-miR-125a-5p	RBM20
hsa-miR-125a-5p	CCNJ
hsa-miR-125a-5p	CCNJ
hsa-miR-125a-5p	GRIN2A
hsa-miR-125a-5p	TOR2A
hsa-miR-125a-5p	TOR2A
hsa-miR-125a-5p	LRRC8B
hsa-miR-125a-5p	KLC2
hsa-miR-125a-5p	KLC2
hsa-miR-125a-5p	KLC2
hsa-miR-125a-5p	DNAJB5
hsa-miR-125a-5p	DNAJB5
hsa-miR-125a-5p	EVA1A
hsa-miR-125a-5p	FNDC3B
hsa-miR-125a-5p	MKNK1
hsa-miR-125a-5p	NRXN1
hsa-miR-125a-5p	TP53INP1
hsa-miR-125a-5p	ZBTB43
hsa-miR-125a-5p	RUSC2
hsa-miR-125a-5p	ABL2
hsa-miR-125a-5p	HDAC11
hsa-miR-125a-5p	RPL28
hsa-miR-125a-5p	DAZAP2
hsa-miR-125a-5p	C19orf38
hsa-miR-125a-5p	GPR107
hsa-miR-125a-5p	GPR107
hsa-miR-125a-5p	MEMO1
hsa-miR-125a-5p	PRKRA
hsa-miR-125a-5p	PRKRA
hsa-miR-125a-5p	NIPA1
hsa-miR-125a-5p	ARCN1
hsa-miR-125a-5p	SCN4B
hsa-miR-125a-5p	SCN4B
hsa-miR-125a-5p	PTPN18
hsa-miR-125a-5p	PDK3
hsa-miR-125a-5p	NEDD9
hsa-miR-125a-5p	ATP1B4
hsa-miR-125a-5p	PPT1
hsa-miR-125a-5p	SEC61A2
hsa-miR-125a-5p	PIK3R5
hsa-miR-125a-5p	PCDH15
hsa-miR-125a-5p	ETS1
hsa-miR-125a-5p	MAPRE2
hsa-miR-125a-5p	MAPRE2
hsa-miR-125a-5p	RBM24
hsa-miR-125a-5p	ELAVL4
hsa-miR-125a-5p	ELAVL4
hsa-miR-125a-5p	ELAVL4
hsa-miR-125a-5p	ELAVL4
hsa-miR-125a-5p	LRRC10B
hsa-miR-125a-5p	SLC1A5
hsa-miR-125a-5p	SLC1A5
hsa-miR-125a-5p	SPATA31D4
hsa-miR-125a-5p	SLC35C1
hsa-miR-125a-5p	SLC35C1
hsa-miR-125a-5p	SLC37A2
hsa-miR-125a-5p	LRTOMT
hsa-miR-125a-5p	LRTOMT
hsa-miR-125a-5p	LRTOMT
hsa-miR-125a-5p	ZNF652
hsa-miR-125a-5p	TEF
hsa-miR-125a-5p	SNX18
hsa-miR-125a-5p	LSS
hsa-miR-125a-5p	RASGRF1
hsa-miR-125a-5p	PNPLA1
hsa-miR-125a-5p	PNPLA1
hsa-miR-125a-5p	DIP2A
hsa-miR-125a-5p	ANPEP
hsa-miR-125a-5p	MCTP2
hsa-miR-125a-5p	ABR
hsa-miR-125a-5p	RHOBTB2
hsa-miR-125a-5p	SETD6
hsa-miR-125a-5p	PPP2R5C
hsa-miR-125a-5p	PPP2R5C
hsa-miR-125a-5p	ETS1
hsa-miR-125a-5p	C10orf105
hsa-miR-125a-5p	ANKRD33B
hsa-miR-125a-5p	AGO2
hsa-miR-125a-5p	ATXN3
hsa-miR-125a-5p	C1orf210
hsa-miR-125a-5p	DAG1
hsa-miR-125a-5p	ELAC2
hsa-miR-125a-5p	CGREF1
hsa-miR-125a-5p	PAN2
hsa-miR-125a-5p	LFNG
hsa-miR-125a-5p	PGC
hsa-miR-125a-5p	SBNO1
hsa-miR-125a-5p	ANKRD50
hsa-miR-125a-5p	TIMM17B
hsa-miR-125a-5p	C3orf80
hsa-miR-125a-5p	EDN1
hsa-miR-125a-5p	C10orf105
hsa-miR-125a-5p	PDZD3
hsa-miR-125a-5p	TMEM135
hsa-miR-125a-5p	PRSS35
hsa-miR-125a-5p	CDK16
hsa-miR-125a-5p	NBPF15
hsa-miR-125a-5p	LCOR
hsa-miR-125a-5p	DRP2
hsa-miR-125a-5p	SUN1
hsa-miR-125a-5p	IL16
hsa-miR-125a-5p	NIPAL4
hsa-miR-125a-5p	PHKA1
hsa-miR-125a-5p	ZFP62
hsa-miR-125a-5p	FAM178B
hsa-miR-125a-5p	SP3
hsa-miR-125a-5p	PPP1R16B
hsa-miR-125a-5p	TXNRD3
hsa-miR-125a-5p	PCDH7
hsa-miR-125a-5p	RABL6
hsa-miR-125a-5p	NLRP2
hsa-miR-125a-5p	NLRP2
hsa-miR-125a-5p	NLRP2
hsa-miR-125a-5p	SLC16A6
hsa-miR-125a-5p	FREM1
hsa-miR-125a-5p	SLC4A10
hsa-miR-125a-5p	SLC4A10
hsa-miR-125a-5p	BCAT1
hsa-miR-125a-5p	BCAT1
hsa-miR-125a-5p	BCAT1
hsa-miR-125a-5p	BCAT1
hsa-miR-125a-5p	CPEB3
hsa-miR-125a-5p	FGB
hsa-miR-125a-5p	ESYT1
hsa-miR-125a-5p	NDUFA2
hsa-miR-125a-5p	CES3
hsa-miR-125a-5p	CES3
hsa-miR-125a-5p	BAK1
hsa-miR-125a-5p	CORO2B
hsa-miR-125a-5p	NFIB
hsa-miR-125a-5p	SIRT5
hsa-miR-125a-5p	SLC24A2
hsa-miR-125a-5p	PTPA
hsa-miR-125a-5p	REST
hsa-miR-125a-5p	FLVCR2
hsa-miR-125a-5p	IRF4
hsa-miR-125a-5p	DICER1
hsa-miR-125a-5p	LYPD6
hsa-miR-125a-5p	FFAR4
hsa-miR-125a-5p	PLEKHA8
hsa-miR-125a-5p	PPP1R12B
hsa-miR-125a-5p	MCL1
hsa-miR-125a-5p	PRDM1
hsa-miR-125a-5p	LEPROT
hsa-miR-125a-5p	POU2F1
hsa-miR-125a-5p	KIAA1522
hsa-miR-125a-5p	KIAA1522
hsa-miR-125a-5p	PHACTR3
hsa-miR-125a-5p	PHACTR3
hsa-miR-125a-5p	DHX33
hsa-miR-125a-5p	SAA2-SAA4
hsa-miR-125a-5p	INTS7
hsa-miR-125a-5p	INTS7
hsa-miR-125a-5p	INTS7
hsa-miR-125a-5p	BCL2L2
hsa-miR-125a-5p	SMURF1
hsa-miR-125a-5p	PDK2
hsa-miR-125a-5p	PDK2
hsa-miR-125a-5p	LYZL6
hsa-miR-125a-5p	NPL
hsa-miR-125a-5p	NPL
hsa-miR-125a-5p	DNAL1
hsa-miR-125a-5p	NCR3LG1
hsa-miR-125a-5p	BMPR1B
hsa-miR-125a-5p	BMPR2
hsa-miR-125a-5p	MBD1
hsa-miR-125a-5p	MBD1
hsa-miR-125a-5p	MBD1
hsa-miR-125a-5p	TP73
hsa-miR-125a-5p	TP73
hsa-miR-125a-5p	TP73
hsa-miR-125a-5p	TP73
hsa-miR-125a-5p	SEC14L2
hsa-miR-125a-5p	SCARB2
hsa-miR-125a-5p	RBAK
hsa-miR-125a-5p	ZNF586
hsa-miR-125a-5p	BAG4
hsa-miR-125a-5p	PBX1
hsa-miR-125a-5p	SLC19A1
hsa-miR-125a-5p	SORT1
hsa-miR-125a-5p	NCOR2
hsa-miR-125a-5p	TMPRSS13
hsa-miR-125a-5p	RFC5
hsa-miR-125a-5p	NA
hsa-miR-125a-5p	TGOLN2
hsa-miR-125a-5p	TGOLN2
hsa-miR-125a-5p	CTDSP1
hsa-miR-125a-5p	CACNB3
hsa-miR-125a-5p	CACNB3
hsa-miR-125a-5p	CACNB3
hsa-miR-125a-5p	ODAPH
hsa-miR-125a-5p	ZNRF3
hsa-miR-125a-5p	M6PR
hsa-miR-125a-5p	CA12
hsa-miR-125a-5p	CASP2
hsa-miR-125a-5p	MAP3K13
hsa-miR-125a-5p	MAP3K13
hsa-miR-125a-5p	PDE7A
hsa-miR-125a-5p	EIF1AD
hsa-miR-125a-5p	EIF1AD
hsa-miR-125a-5p	EIF1AD
hsa-miR-125a-5p	EIF1AD
hsa-miR-125a-5p	EIF1AD
hsa-miR-125a-5p	EIF1AD
hsa-miR-125a-5p	ANAPC16
hsa-miR-125a-5p	ANAPC16
hsa-miR-125a-5p	ANAPC16
hsa-miR-125a-5p	ZNF691
hsa-miR-125a-5p	SIRT5
hsa-miR-125a-5p	TMCC2
hsa-miR-125a-5p	PROX2
hsa-miR-125a-5p	E2F3
hsa-miR-125a-5p	PACS2
hsa-miR-125a-5p	HINFP
hsa-miR-125a-5p	STARD13
hsa-miR-125a-5p	USP2
hsa-miR-125a-5p	LIMA1
hsa-miR-125a-5p	PRXL2A
hsa-miR-125a-5p	PRXL2A
hsa-miR-125a-5p	PRXL2A
hsa-miR-125a-5p	PRXL2A
hsa-miR-125a-5p	PRXL2A
hsa-miR-125a-5p	CACNA1B
hsa-miR-125a-5p	PIK3R5
hsa-miR-125a-5p	PIK3R5
hsa-miR-125a-5p	PIK3R5
hsa-miR-125a-5p	PIK3R5
hsa-miR-125a-5p	TOR2A
hsa-miR-125a-5p	TOR2A
hsa-miR-125a-5p	TOR2A
hsa-miR-125a-5p	KIF21B
hsa-miR-125a-5p	SLC39A9
hsa-miR-125a-5p	SLC39A9
hsa-miR-125a-5p	SLC39A9
hsa-miR-125a-5p	GALNT14
hsa-miR-125a-5p	GALNT14
hsa-miR-125a-5p	VTCN1
hsa-miR-125a-5p	VTCN1
hsa-miR-125a-5p	TBC1D1
hsa-miR-125a-5p	TBC1D1
hsa-miR-125a-5p	TBC1D1
hsa-miR-125a-5p	TBC1D1
hsa-miR-125a-5p	ANKRD26
hsa-miR-125a-5p	TRIM65
hsa-miR-125a-5p	UBE2L3
hsa-miR-125a-5p	MAPRE2
hsa-miR-125a-5p	BMPR1B
hsa-miR-125a-5p	BMPR1B
hsa-miR-125a-5p	BMPR1B
hsa-miR-125a-5p	P2RX4
hsa-miR-125a-5p	RIT1
