ID	Target
hsa-miR-222-3p	ACADM
hsa-miR-221-3p	ACADM
hsa-miR-26a-5p	ACADM
hsa-miR-125b-5p	ACADS
hsa-miR-486-3p	ACVRL1
hsa-miR-671-5p	ACVRL1
hsa-miR-939-5p	ACVRL1
hsa-miR-27b-3p	PSEN1
hsa-miR-107	PSEN1
hsa-miR-324-3p	PSEN1
hsa-miR-1224-5p	PSEN1
hsa-miR-580-3p	PSEN1
hsa-miR-30e-3p	ADA
hsa-miR-30a-3p	ADA
hsa-miR-30c-5p	ADRB2
hsa-miR-939-5p	ADRB3
hsa-miR-335-5p	ADSL
hsa-miR-106a-5p	AGA
hsa-miR-140-3p	AGL
hsa-miR-3074-3p	AGL
hsa-miR-939-5p	ALDOB
hsa-miR-324-3p	ALDOB
hsa-miR-27b-3p	ANK1
hsa-miR-10b-5p	ANK1
hsa-miR-107	ANK1
hsa-miR-125b-5p	APC
hsa-miR-384	APC
hsa-miR-671-5p	APC
hsa-miR-30e-3p	APC
hsa-miR-30a-3p	APC
hsa-miR-106a-5p	FAS
hsa-miR-23b-3p	FAS
hsa-miR-30e-3p	AR
hsa-miR-125b-2-3p	AR
hsa-miR-29a-3p	AR
hsa-miR-30a-3p	AR
hsa-miR-30c-5p	AR
hsa-miR-3074-3p	ARSB
hsa-miR-23b-3p	ARSB
hsa-miR-106a-5p	ARSL
hsa-miR-486-3p	ASL
hsa-miR-221-3p	ASPA
hsa-miR-222-3p	ASPA
hsa-miR-26a-5p	ATM
hsa-miR-939-5p	ATM
hsa-miR-32-5p	ATP7A
hsa-miR-221-3p	BCHE
hsa-miR-222-3p	BCHE
hsa-miR-222-3p	C6
hsa-miR-221-3p	C6
hsa-miR-26a-5p	CA2
hsa-miR-505-3p	CA2
hsa-miR-23b-3p	CA2
hsa-miR-27b-3p	CACNA1A
hsa-miR-29a-3p	CACNA1A
hsa-miR-939-5p	CACNA1A
hsa-miR-671-5p	CAPN3
hsa-miR-671-5p	CBS
hsa-miR-106a-5p	CD36
hsa-miR-125b-2-3p	CD36
hsa-miR-518c-5p	CD40LG
hsa-miR-107	CDKN1C
hsa-miR-32-5p	CDKN1C
hsa-miR-26a-5p	CDKN1C
hsa-miR-365a-3p	CDKN2A
hsa-miR-32-5p	LYST
hsa-miR-106a-5p	LYST
hsa-miR-30c-5p	LYST
hsa-miR-27b-3p	ERCC8
hsa-miR-27b-3p	CLCN5
hsa-miR-32-5p	CLCN5
hsa-miR-30a-3p	CLCN5
hsa-miR-29a-3p	CLCN5
hsa-miR-671-5p	CLCN5
hsa-miR-30e-3p	CLCN5
hsa-miR-29a-3p	COL1A1
hsa-miR-193a-5p	COL1A1
hsa-miR-939-5p	COL1A1
hsa-miR-32-5p	COL1A2
hsa-miR-30e-3p	COL1A2
hsa-miR-30a-3p	COL1A2
hsa-miR-26a-5p	COL1A2
hsa-miR-29a-3p	COL1A2
hsa-miR-29a-3p	COL3A1
hsa-miR-505-3p	COL3A1
hsa-miR-125b-5p	COL4A3
hsa-miR-106a-5p	COL4A3
hsa-miR-29a-3p	COL4A3
hsa-miR-30a-3p	COL4A4
hsa-miR-30e-3p	COL4A4
hsa-miR-518c-5p	COL4A4
hsa-miR-939-5p	COL4A4
hsa-miR-107	COL4A4
hsa-miR-29a-3p	COL4A4
hsa-miR-23b-3p	COL4A4
hsa-miR-29a-3p	COL5A1
hsa-miR-32-5p	COL5A1
hsa-miR-125b-2-3p	COL5A1
hsa-miR-27b-3p	COL5A1
hsa-miR-26a-5p	COL5A1
hsa-miR-140-3p	COL5A1
hsa-miR-365a-3p	COL7A1
hsa-miR-29a-3p	COL7A1
hsa-miR-361-3p	CP
hsa-miR-106a-5p	CPOX
hsa-miR-518c-5p	CPOX
hsa-miR-23b-3p	CPOX
hsa-miR-939-5p	CPOX
hsa-miR-365a-3p	CPT2
hsa-miR-518c-5p	CSTB
hsa-miR-29a-3p	CSTB
hsa-miR-125b-2-3p	CSTB
hsa-miR-361-3p	CYP19A1
hsa-miR-221-3p	CYP1B1
hsa-miR-222-3p	CYP1B1
hsa-miR-27b-3p	CYP1B1
hsa-miR-222-3p	DLD
hsa-miR-221-3p	DLD
hsa-miR-125b-5p	DLD
hsa-miR-30c-5p	DLD
hsa-miR-30c-5p	DMD
hsa-miR-27b-3p	DPYD
hsa-miR-106a-5p	DPYD
hsa-miR-221-3p	SLC26A3
hsa-miR-222-3p	SLC26A3
hsa-miR-939-5p	SLC26A2
hsa-miR-27b-3p	SLC26A2
hsa-miR-27b-3p	EDNRB
hsa-miR-367-5p	EDNRB
hsa-miR-125b-5p	TAFAZZIN
hsa-miR-505-3p	EMD
hsa-miR-1976	ENG
hsa-miR-26a-5p	ERCC6
hsa-miR-29a-3p	ERCC6
hsa-miR-106a-5p	ESR1
hsa-miR-221-3p	ESR1
hsa-miR-107	ESR1
hsa-miR-26a-5p	ESR1
hsa-miR-222-3p	ESR1
hsa-miR-335-5p	F13A1
hsa-miR-30e-3p	F8
hsa-miR-30a-3p	F8
hsa-miR-193b-3p	F9
hsa-miR-518c-5p	FABP2
hsa-miR-10b-5p	FANCC
hsa-miR-32-5p	FBN1
hsa-miR-29a-3p	FBN1
hsa-miR-125b-2-3p	FBN1
hsa-miR-580-3p	MS4A2
hsa-miR-486-3p	MS4A2
hsa-miR-32-5p	MS4A2
hsa-miR-32-5p	FECH
hsa-miR-27b-3p	FECH
hsa-miR-125b-5p	FGFR2
hsa-miR-671-5p	FGFR2
hsa-miR-99a-5p	FGFR3
hsa-miR-99b-5p	FGFR3
hsa-miR-26a-5p	FXN
hsa-miR-221-3p	FXN
hsa-miR-222-3p	FXN
hsa-miR-30c-5p	FUCA1
hsa-miR-23b-3p	FUT1
hsa-miR-486-3p	G6PC1
hsa-miR-32-5p	GAA
hsa-miR-222-3p	GALC
hsa-miR-221-3p	GALC
hsa-miR-3074-3p	GBE1
hsa-miR-361-3p	GCDH
hsa-miR-125b-2-3p	GCH1
hsa-miR-27b-3p	GCH1
hsa-miR-30e-3p	GHR
hsa-miR-30a-3p	GHR
hsa-miR-30a-3p	GJA1
hsa-miR-30e-3p	GJA1
hsa-miR-125b-5p	GJA1
hsa-miR-23b-3p	GJA1
hsa-miR-106a-5p	GJA1
hsa-miR-30c-5p	GJA1
hsa-miR-30e-3p	GK
hsa-miR-30a-3p	GK
hsa-miR-30c-5p	GLDC
hsa-miR-32-5p	GLRA1
hsa-miR-365a-3p	GNAT1
hsa-miR-30a-3p	NR3C1
hsa-miR-30e-3p	NR3C1
hsa-miR-367-5p	NR3C1
hsa-miR-324-3p	GUCY2D
hsa-miR-30e-3p	HADHB
hsa-miR-30a-3p	HADHB
hsa-miR-125b-5p	HADHB
hsa-miR-125b-5p	HK2
hsa-miR-505-3p	TBX5
hsa-miR-27b-3p	TBX5
hsa-miR-10b-5p	TBX5
hsa-miR-193b-3p	HPRT1
hsa-miR-518c-5p	HPS1
hsa-miR-580-3p	HTN3
hsa-miR-324-3p	ICAM1
hsa-miR-518c-5p	ICAM1
hsa-miR-1976	ICAM1
hsa-miR-30e-3p	IDS
hsa-miR-23b-3p	IDS
hsa-miR-30a-3p	IDS
hsa-miR-384	IDS
hsa-miR-580-3p	CFI
hsa-miR-1224-5p	INSR
hsa-miR-3074-3p	INSR
hsa-miR-27b-3p	INSR
hsa-miR-939-5p	PDX1
hsa-miR-30c-5p	ITGA6
hsa-miR-367-5p	ITGA6
hsa-miR-32-5p	ITGA6
hsa-miR-29a-3p	ITGA6
hsa-miR-26a-5p	ITGA6
hsa-miR-486-3p	ITGB2
hsa-miR-518c-5p	ITGB3
hsa-miR-222-3p	ITGB3
hsa-miR-30c-5p	ITGB3
hsa-miR-1976	ITGB3
hsa-miR-221-3p	ITGB3
hsa-miR-140-3p	JAG1
hsa-miR-335-5p	JAG1
hsa-miR-26a-5p	JAG1
hsa-miR-505-3p	JAK3
hsa-miR-222-3p	KCNA1
hsa-miR-27b-3p	KCNA1
hsa-miR-221-3p	KCNA1
hsa-miR-10b-5p	KCNA1
hsa-miR-32-5p	KCNA1
hsa-miR-365a-3p	KCNA1
hsa-miR-125b-5p	KCNA1
hsa-miR-365a-3p	KCNQ1
hsa-miR-27b-3p	KCNJ1
hsa-miR-671-5p	KIT
hsa-miR-222-3p	KIT
hsa-miR-30e-3p	KIT
hsa-miR-221-3p	KIT
hsa-miR-505-3p	KIT
hsa-miR-324-3p	KIT
hsa-miR-30a-3p	KIT
hsa-miR-193b-3p	KIT
hsa-miR-23b-3p	KRT12
hsa-miR-486-3p	KRT12
hsa-miR-671-5p	KRT9
hsa-miR-106a-5p	LAMA3
hsa-miR-671-5p	LEP
hsa-miR-29a-3p	LEP
hsa-miR-30a-3p	SGCB
hsa-miR-125b-2-3p	SGCB
hsa-miR-30e-3p	SGCB
hsa-miR-580-3p	SGCB
hsa-miR-30c-5p	SGCB
hsa-miR-29a-3p	SGCB
hsa-miR-125b-5p	LIPA
hsa-miR-3074-3p	LIPA
hsa-miR-29a-3p	LPL
hsa-miR-365a-3p	KCNH2
hsa-miR-23b-3p	LYZ
hsa-miR-671-5p	MBL2
hsa-miR-30a-3p	MBL2
hsa-miR-30e-3p	MBL2
hsa-miR-486-3p	MEN1
hsa-miR-335-5p	MET
hsa-miR-23b-3p	MET
hsa-miR-367-5p	MET
hsa-miR-27b-3p	MET
hsa-miR-23b-3p	MITF
hsa-miR-27b-3p	MITF
hsa-miR-23b-3p	MTM1
hsa-miR-26a-5p	MTM1
hsa-miR-518c-5p	MTM1
hsa-miR-335-5p	MTTP
hsa-miR-26a-5p	MTTP
hsa-miR-30c-5p	MTTP
hsa-miR-580-3p	MTR
hsa-miR-32-5p	MYO5A
hsa-miR-30e-3p	MYO5A
hsa-miR-30a-3p	MYO5A
hsa-miR-1976	MYO5A
hsa-miR-30c-5p	MYO5A
hsa-miR-335-5p	MYOC
hsa-miR-939-5p	NAGA
hsa-miR-32-5p	NAGA
hsa-miR-193b-3p	NAGA
hsa-miR-27b-3p	PTCH1
hsa-miR-140-3p	PTCH1
hsa-miR-505-3p	NDP
hsa-miR-3074-3p	NF1
hsa-miR-30e-3p	NF1
hsa-miR-30c-5p	NF1
hsa-miR-27b-3p	NF1
hsa-miR-30a-3p	NF1
hsa-miR-107	NF1
hsa-miR-32-5p	NF2
hsa-miR-193b-3p	NF2
hsa-miR-32-5p	NPC1
hsa-miR-106a-5p	OCRL
hsa-miR-23b-3p	PAH
hsa-miR-365a-3p	PAX6
hsa-miR-106a-5p	PAX6
hsa-miR-140-3p	PDE6B
hsa-miR-1976	PDHA1
hsa-miR-23b-3p	PDHA1
hsa-miR-486-3p	PDHA1
hsa-miR-335-5p	PDHA1
hsa-miR-32-5p	PEPD
hsa-miR-335-5p	PEX12
hsa-miR-486-3p	PFKM
hsa-miR-365a-3p	PGK1
hsa-miR-384	SERPINA1
hsa-miR-486-3p	SERPINA1
hsa-miR-106a-5p	PKD1
hsa-miR-1224-5p	PKD1
hsa-miR-106a-5p	PKD2
hsa-miR-140-3p	PKD2
hsa-miR-125b-5p	PKP1
hsa-miR-1976	PKP1
hsa-miR-367-5p	PLG
hsa-miR-335-5p	PLOD1
hsa-miR-384	PMM2
hsa-miR-125b-5p	PMM2
hsa-miR-324-3p	PMP22
hsa-miR-29a-3p	PMP22
hsa-miR-505-3p	PMP22
hsa-miR-106a-5p	PON2
hsa-miR-30c-5p	PON2
hsa-miR-505-3p	POU3F4
hsa-miR-106a-5p	CTSA
hsa-miR-125b-5p	PPT1
hsa-miR-367-5p	PTEN
hsa-miR-26a-5p	PTEN
hsa-miR-29a-3p	PTEN
hsa-miR-30e-3p	PTEN
hsa-miR-23b-3p	PTEN
hsa-miR-32-5p	PTEN
hsa-miR-30a-3p	PTEN
hsa-miR-505-3p	PTEN
hsa-miR-3074-3p	PTH
hsa-miR-107	PTH
hsa-miR-106a-5p	PTH
hsa-miR-30e-3p	PTS
hsa-miR-30a-3p	PTS
hsa-miR-29a-3p	PEX5
hsa-miR-140-3p	QDPR
hsa-miR-30e-3p	RB1
hsa-miR-30a-3p	RB1
hsa-miR-106a-5p	RB1
hsa-miR-335-5p	RB1
hsa-miR-26a-5p	RB1
hsa-miR-23b-3p	PRPH2
hsa-miR-30a-3p	PRPH2
hsa-miR-30e-3p	PRPH2
hsa-miR-193b-3p	RHAG
hsa-miR-3074-3p	ROM1
hsa-miR-26a-5p	RPGR
hsa-miR-30a-3p	RPE65
hsa-miR-518c-5p	RPE65
hsa-miR-30e-3p	RPE65
hsa-miR-27b-3p	RS1
hsa-miR-125b-5p	ATXN1
hsa-miR-1976	ATXN1
hsa-miR-193b-3p	ATXN1
hsa-miR-518c-5p	ATXN1
hsa-miR-23b-3p	ATXN1
hsa-miR-32-5p	ATXN1
hsa-miR-30c-5p	ATXN1
hsa-miR-221-3p	ATXN1
hsa-miR-222-3p	ATXN1
hsa-miR-106a-5p	ATXN1
hsa-miR-107	ATXN1
hsa-miR-324-3p	ATXN7
hsa-miR-23b-3p	ATXN7
hsa-miR-125b-5p	ATXN7
hsa-miR-30e-3p	ATXN7
hsa-miR-26a-5p	ATXN7
hsa-miR-32-5p	ATXN7
hsa-miR-30a-3p	ATXN7
hsa-miR-361-3p	SCN4A
hsa-miR-125b-5p	SCN4A
hsa-miR-939-5p	SCN4A
hsa-miR-671-5p	SCN5A
hsa-miR-518c-5p	SCNN1B
hsa-miR-92b-5p	SGCD
hsa-miR-140-3p	SGCD
hsa-miR-23b-3p	SLC12A1
hsa-miR-580-3p	SLC12A1
hsa-miR-30a-3p	SLC12A1
hsa-miR-30e-3p	SLC12A1
hsa-miR-106a-5p	SLC12A3
hsa-miR-26a-5p	SLC5A1
hsa-miR-23b-3p	SMN1
hsa-miR-23b-3p	SMN2
hsa-miR-221-3p	SNCA
hsa-miR-486-3p	SNCA
hsa-miR-3074-3p	SNCA
hsa-miR-222-3p	SNCA
hsa-miR-125b-2-3p	SNCA
hsa-miR-30c-5p	SOX9
hsa-miR-939-5p	NA
hsa-miR-30a-3p	SRD5A2
hsa-miR-30e-3p	SRD5A2
hsa-miR-140-3p	TCN2
hsa-miR-518c-5p	TGFBI
hsa-miR-939-5p	TGM1
hsa-miR-361-3p	TGM1
hsa-miR-486-3p	TH
hsa-miR-384	TIMP3
hsa-miR-518c-5p	TPMT
hsa-miR-32-5p	TSC1
hsa-miR-486-3p	TSC1
hsa-miR-193b-3p	TSC1
hsa-miR-107	TSC1
hsa-miR-27b-3p	TSC1
hsa-miR-30e-3p	TSHR
hsa-miR-30a-3p	TSHR
hsa-miR-26a-5p	TTPA
hsa-miR-671-5p	TTPA
hsa-miR-30c-5p	TTPA
hsa-miR-125b-5p	TTPA
hsa-miR-580-3p	TTPA
hsa-miR-106a-5p	TTR
hsa-miR-30a-3p	UMPS
hsa-miR-30e-3p	UMPS
hsa-miR-125b-5p	VDR
hsa-miR-10b-5p	VDR
hsa-miR-23b-3p	WT1
hsa-miR-1976	XDH
hsa-miR-671-5p	XDH
hsa-miR-30a-3p	MID1
hsa-miR-3074-3p	MID1
hsa-miR-30e-3p	MID1
hsa-miR-106a-5p	MID1
hsa-miR-29a-3p	BLMH
hsa-miR-107	BLMH
hsa-miR-26a-5p	SLC25A20
hsa-miR-221-3p	CASR
hsa-miR-222-3p	CASR
hsa-miR-30e-3p	CASR
hsa-miR-30a-3p	CASR
hsa-miR-939-5p	CDKN1A
hsa-miR-106a-5p	CDKN1A
hsa-miR-193b-3p	TPP1
hsa-miR-1224-5p	TPP1
hsa-miR-29a-3p	COL5A2
hsa-miR-335-5p	COL5A2
hsa-miR-106a-5p	CTSK
hsa-miR-106a-5p	CYBB
hsa-miR-106a-5p	EGR2
hsa-miR-32-5p	EGR2
hsa-miR-1976	ERCC2
hsa-miR-367-5p	EXT2
hsa-miR-30c-5p	GM2A
hsa-miR-580-3p	GM2A
hsa-miR-30a-3p	GM2A
hsa-miR-30e-3p	GM2A
hsa-miR-486-3p	GM2A
hsa-miR-140-3p	GNRHR
hsa-miR-23b-3p	GNRHR
hsa-miR-221-3p	GPD2
hsa-miR-27b-3p	GPD2
hsa-miR-222-3p	GPD2
hsa-miR-518c-5p	GPD2
hsa-miR-580-3p	HLCS
hsa-miR-23b-3p	HRG
hsa-miR-125b-2-3p	IL4R
hsa-miR-106a-5p	KRT10
hsa-miR-486-3p	KRT17
hsa-miR-29a-3p	LAMA2
hsa-miR-580-3p	LTBP2
hsa-miR-671-5p	MAT1A
hsa-miR-486-3p	MAT1A
hsa-miR-125b-5p	MAT1A
