Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	experiment
LAMA3	-6.39777285558519	6.03368891415722	-28.1660474330473	3.59110886393466e-14	5.01031508696164e-11	22.3615094717982	LNCaP_clone1
ME1	-4.01564735827738	6.70316964624197	-24.1215501267172	3.3274890071591e-13	2.09250060020785e-10	20.7039971791117	LNCaP_clone1
ADGRG6	-4.50942945671639	6.33443097339585	-23.5928868047564	4.56902566881253e-13	2.19817400452663e-10	20.3967626273703	LNCaP_clone1
TMSB10	3.21912523243651	8.12358876283497	21.5432231804069	1.67101301402268e-12	4.66279471432889e-10	19.0919378471368	LNCaP_clone1
PEG3	-6.11524044654516	5.86922272879375	-19.2008467028315	8.54957813362156e-12	1.46146315809655e-09	17.4777487082732	LNCaP_clone1
FADS2	-4.05767685074392	8.7834461671707	-18.3154065909042	1.66383632959686e-11	2.07266468486923e-09	16.7420831371648	LNCaP_clone1
ATP1B3	-2.30137352929717	6.75574065777933	-17.483779555862	3.19655474233524e-11	3.30358013074528e-09	16.1080564634322	LNCaP_clone1
CPLX1	3.41888293383853	3.78965860533363	15.6671603049044	1.47738985379118e-10	8.73412849156549e-09	14.6503379953753	LNCaP_clone1
ZNF532	-2.23450007392839	5.15052704814957	-15.5506301826557	1.63860414667144e-10	9.51782709725103e-09	14.5009503262293	LNCaP_clone1
NUDT12	-3.38865948082625	4.33376361698717	-15.2354922191902	2.17588584074446e-10	1.14558336792705e-08	14.2664275951904	LNCaP_clone1
PXMP2	2.39676403265452	5.29241103968742	14.3936687948771	4.76499236629421e-10	1.97273511853225e-08	13.41316806248	LNCaP_clone1
NRBP2	2.86794118109508	3.73870527148399	14.1867316055356	5.81329511390054e-10	2.2529219062396e-08	13.2872460370812	LNCaP_clone1
PPP1R9A	2.40074476981417	4.4289950021263	14.1833754433162	5.83219493873551e-10	2.2529219062396e-08	13.2426745062325	LNCaP_clone1
ACOT9	-5.46182060848481	2.94015956525439	-14.6386534056952	3.7776304220047e-10	1.678519097064e-08	13.220963162333	LNCaP_clone1
EHF	-2.56674427404788	8.60598725151881	-14.0841362350282	6.42165134918533e-10	2.37469040861534e-08	12.960723388568	LNCaP_clone1
KIF21A	1.99829940915821	6.0417331754563	13.9662202519351	7.20552858237154e-10	2.58710291854063e-08	12.9311661427061	LNCaP_clone1
INHBB	3.61630436802226	4.15829159974215	13.6731561052079	9.6291468714057e-10	3.10985780439473e-08	12.7911652817173	LNCaP_clone1
CACNB3	2.13005883161772	5.06271787658538	13.7529813996064	8.89322131186086e-10	2.9612941227466e-08	12.789125380809	LNCaP_clone1
