id	type	logFC
hsa_circ_0005147	circRNA	1.01529747346667
hsa-let-7b-3p	miRNA	-0.933330296417625
RSRP1	mRNA	0.930961504492768
DEDD	mRNA	0.260179598348103
MARCKS	mRNA	0.808739426382337
LSM14B	mRNA	0.303947388941415
ACVR2B	mRNA	0.746393711136022
EFNA1	mRNA	0.619949235217214
COPB2	mRNA	0.221275823841684
RBM47	mRNA	0.360561852578619
GPR37	mRNA	1.63757194068324
ZC3H11A	mRNA	0.759260442526757
hsa_circ_0086684	circRNA	0.893958431933336
hsa-let-7c-5p	miRNA	-4.12964098042423
GSK3A	mRNA	0.714216601668694
SRCAP	mRNA	0.900760164125709
DIABLO	mRNA	0.366258550364465
EMILIN2	mRNA	1.32707455340455
PM20D2	mRNA	3.28393764122756
GTF3C1	mRNA	0.463517953898472
BSDC1	mRNA	0.545742166139767
ZNF799	mRNA	0.604299090203491
MKRN1	mRNA	0.333538190110038
LTA4H	mRNA	0.484644101995029
ZNF581	mRNA	0.554686907176394
SLC12A7	mRNA	0.385790586806046
THYN1	mRNA	0.51741990065274
SUOX	mRNA	0.349293982568316
ZNF443	mRNA	0.708174725873905
PGM2L1	mRNA	0.7484402682078
hsa_circ_0016760	circRNA	1.39907910166667
hsa_circ_0099132	circRNA	1.20332042653333
hsa_circ_0002901	circRNA	1.76350064399999
hsa_circ_0099201	circRNA	1.5116663776
hsa_circ_0000442	circRNA	1.14036899163333
hsa_circ_0009006	circRNA	1.08999820233333
hsa_circ_0008323	circRNA	0.830282201200001
hsa_circ_0000676	circRNA	1.3041894139
hsa_circ_0051718	circRNA	0.533149698833337
hsa_circ_0035301	circRNA	0.872947703399999
hsa_circ_0020704	circRNA	1.062770575
hsa-let-7e-5p	miRNA	-2.32886989422945
SLC35F6	mRNA	0.354447425527325
AGMAT	mRNA	2.81027741817399
NDST2	mRNA	0.49817696876726
BICC1	mRNA	2.57712926044333
ZNF284	mRNA	0.58942207781824
RPS27	mRNA	0.399170937107655
DHTKD1	mRNA	0.58406775987055
TSC22D4	mRNA	0.388832507600077
FBXO45	mRNA	0.42879055893071
WIPI2	mRNA	0.313602103905935
NLK	mRNA	0.480957345510947
HNRNPA0	mRNA	0.246112095131575
LMTK2	mRNA	0.483323315577767
MAST1	mRNA	1.17124216011094
SYT7	mRNA	0.996455235847575
KCNC2	mRNA	1.79836022577496
VPS54	mRNA	0.469609955306874
ZNF623	mRNA	0.264910689598854
SIM2	mRNA	1.52029036309148
ARL8A	mRNA	0.534563529527742
NECAB3	mRNA	0.723957049849563
STARD3NL	mRNA	0.7794683422204
TRIB1	mRNA	1.47808413614442
YWHAG	mRNA	0.308767252981925
TMC5	mRNA	2.3030602660153
PACS1	mRNA	0.721934228490659
SCAF4	mRNA	0.506118535410623
NDUFV3	mRNA	0.479582307061556
KCTD5	mRNA	0.272350168614313
CPSF4	mRNA	0.564047106092644
ATP6V1C1	mRNA	0.433986260576295
TMEM151A	mRNA	2.21907440056465
ZNF281	mRNA	0.536329281484846
ZNF141	mRNA	0.59132605014381
ZDHHC18	mRNA	0.878800236501564
ZNF768	mRNA	0.426794732215101
BACE2	mRNA	1.81603986288132
HIC2	mRNA	0.609592228066429
TMEM192	mRNA	0.353598225789635
PFKFB2	mRNA	0.631736750668234
HOXA9	mRNA	0.596287405724836
TUBB4B	mRNA	0.64081011412702
INIP	mRNA	0.227198844771688
MGAT5B	mRNA	3.08468237648572
PYGO2	mRNA	0.332746791523979
PREB	mRNA	0.505557442915587
CLCF1	mRNA	2.0795836184076
DENND4B	mRNA	0.755295883818497
UQCRB	mRNA	0.431453318525178
ZRANB2	mRNA	0.345958282952105
SMG9	mRNA	0.938570221495046
MMP9	mRNA	1.21549223688666
GIGYF1	mRNA	0.68292311775274
FBXO6	mRNA	0.929452424952289
FADS3	mRNA	0.37300978892409
SLCO5A1	mRNA	0.649666955660594
hsa_circ_0000038	circRNA	0.680135701733335
hsa_circ_0076700	circRNA	1.62772010573333
hsa_circ_0003904	circRNA	0.467498017533333
hsa_circ_0089153	circRNA	1.75503981333333
hsa_circ_0026134	circRNA	2.138873252
hsa-miR-107	miRNA	-1.99125363163233
TRIM59	mRNA	0.916163755533062
FAM117B	mRNA	0.824662678830014
FAM171A1	mRNA	1.26297631244159
PACSIN1	mRNA	1.17241892695297
SGSM2	mRNA	0.491791892820856
CAMKV	mRNA	2.57596315278058
GATC	mRNA	0.284785341530884
FAM219A	mRNA	0.448497916340496
KIFC2	mRNA	0.942113540962168
ZKSCAN1	mRNA	0.585062375349946
ASIC1	mRNA	0.901828928778617
PDIK1L	mRNA	0.869677490308272
TTC9	mRNA	1.32412455468679
FBXO24	mRNA	1.01957606527369
LRRC61	mRNA	0.570974034895236
LRIF1	mRNA	0.812709460954928
CCDC83	mRNA	1.56021784003976
UBE2E3	mRNA	0.746194614957998
FEZF1	mRNA	2.65606285538941
DECR1	mRNA	0.369422108274686
LETMD1	mRNA	0.516716339666373
SIX4	mRNA	0.682082430438179
NPY4R	mRNA	1.16533999339256
GCC1	mRNA	0.338789170017982
SCAMP5	mRNA	1.06275655499046
NEIL1	mRNA	0.790695510757782
CKMT1A	mRNA	1.02472808697139
PPP3R1	mRNA	0.54636533855184
CHRM1	mRNA	3.06860153203272
FZD4	mRNA	1.36756286776723
NPAS2	mRNA	0.793098479442819
KIF21A	mRNA	0.675771422449513
BOLA3	mRNA	0.719780217950654
SLC25A37	mRNA	0.566304505895926
CDK17	mRNA	0.878976049177693
hsa_circ_0003695	circRNA	0.595200842199999
hsa_circ_0067717	circRNA	0.8288569302
hsa_circ_0006913	circRNA	0.729029720133333
hsa_circ_0006732	circRNA	1.16749097423333
hsa_circ_0023115	circRNA	1.78528164923333
hsa_circ_0000357	circRNA	0.9049085516
hsa_circ_0000211	circRNA	0.827484591666666
hsa_circ_0004703	circRNA	0.759231423166662
hsa_circ_0003956	circRNA	1.03811366986667
hsa_circ_0045890	circRNA	0.502421283966666
hsa_circ_0000128	circRNA	1.35901283506666
hsa_circ_0017628	circRNA	0.999339728766667
hsa_circ_0017726	circRNA	0.840721628233334
hsa_circ_0001655	circRNA	1.58728131666666
hsa_circ_0002319	circRNA	0.628340193433335
hsa_circ_0000044	circRNA	0.78980252716667
hsa_circ_0002315	circRNA	0.5755200239
hsa_circ_0000020	circRNA	0.822771703499999
hsa-miR-125b-2-3p	miRNA	-2.88700808420298
PBLD	mRNA	1.15485354894945
ARPC1A	mRNA	0.470220815720233
PRR13	mRNA	0.375803297399804
CFAP44	mRNA	0.74663631512293
REPS1	mRNA	0.640957383091365
NFXL1	mRNA	0.603671092445277
LRTOMT	mRNA	0.850433361347598
