ID	Term_Description	Fold_Enrichment	occurrence	support	lowest_p	highest_p	non_Signif_Snw_Genes	Up_regulated	Down_regulated
GO:0032418	lysosome localization	72.1545893719807	100	0.03125	0.000140273644359176	0.0215851983213542		MYH9	FAM98A
GO:1900029	positive regulation of ruffle assembly	97.4086956521739	94	0.015625	0.00277013581436317	0.00277013581436317	PLEKHM1		FAM98A
GO:0043034	costamere	88.5533596837945	94	0.015625	0.00338551999585137	0.00338551999585137	KRT19	PLEC	
GO:0006270	DNA replication initiation	81.1739130434783	17	0.00763358778625954	0.00406238213707733	0.00406238213707733	PURA	POLA2	
GO:0008250	oligosaccharyltransferase complex	74.9297658862876	75	0.015625	0.00480071124854813	0.00480071124854813	DDOST	STT3B	
GO:0000423	mitophagy	74.9297658862876	30	0.0112359550561798	0.00480071124854813	0.00480071124854813	MAP1LC3B	LRBA	
GO:0015629	actin cytoskeleton	10.9447972642892	11	0.0101010101010101	0.00505174227886439	0.0125553853060694	ACTB	MYH9	SPECC1L
GO:0007032	endosome organization	44.2766798418972	27	0.0101010101010101	0.00710916810201022	0.0236690286682625	HOOK3		VPS18
GO:0019905	syntaxin binding	40.5869565217391	16	0.00598802395209581	0.00849356512362341	0.0282748267963062	STX7		VPS18
GO:0000149	SNARE binding	54.1159420289855	75	0.015625	0.00941397677886749	0.00941397677886749	NAPA		NBAS
GO:0001932	regulation of protein phosphorylation	37.4648829431438	33	0.0112359550561798	0.0100008850078697	0.0498973707309798	CORO1C	FN1	
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	36.0772946859903	6	0.00598802395209581	0.0108006341504449	0.0108006341504449	COPB2		NBAS
GO:0004674	protein serine/threonine kinase activity	11.9275953859805	94	0.03125	0.0132043301457446	0.0132043301457446	RAF1	BRAF	MAPK6, NEK6
GO:0097718	disordered domain specific binding	42.351606805293	6	0.00505050505050505	0.0155622685647781	0.0155622685647781	CLTC	FN1	
GO:0008333	endosome to lysosome transport	27.8310559006211	12	0.00804451702655296	0.018304405205629	0.0365728617541708	VPS33B		VPS18
GO:0048146	positive regulation of fibroblast proliferation	34.7888198757764	6	0.00505050505050505	0.0232442137480739	0.0232442137480739	DHX9	FN1	
GO:0006487	protein N-linked glycosylation	33.5892053973013	75	0.015625	0.0249645204132972	0.0249645204132972	DDOST	STT3B	
GO:0007040	lysosome organization	33.5892053973013	21	0.0101010101010101	0.0249645204132972	0.0415741068658292	HOOK3		VPS18
GO:0043687	post-translational protein modification	32.4695652173913	10	0.00505050505050505	0.0267461073400493	0.0445397067709852	COPS5	STT3B	
GO:0031252	cell leading edge	30.4402173913043	6	0.00505050505050505	0.0304930780739225	0.0304930780739225	HDAC6	MYH9	
GO:0032154	cleavage furrow	29.5177865612648	20	0.00832129839763428	0.0324584399307762	0.0324584399307762	MEN1	MYH9	
GO:0030433	ubiquitin-dependent ERAD pathway	20.7252543940796	6	0.0119760479041916	0.0332436788304698	0.0332436788304698	HSP90B1	STT3B	
GO:0009887	animal organ morphogenesis	20.2934782608696	75	0.015625	0.0346880224664082	0.0346880224664082	HRAS	BRAF	
GO:0043484	regulation of RNA splicing	27.0579710144928	6	0.00505050505050505	0.0387218997748625	0.0387218997748625	CELF1		MBNL1
GO:0001725	stress fiber	26.3266745005875	26	0.0101224820325944	0.0409321412388779	0.0409321412388779	MYO1C	MYH9	
GO:0097110	scaffold protein binding	17.0892448512586	6	0.0119760479041916	0.0490666983375088	0.0490666983375088	DSP	BRAF	
GO:0003725	double-stranded RNA binding	17.0892448512586	6	0.00598802395209581	0.0490666983375088	0.0490666983375088	AGO2		MBNL1
