ID	Term_Description	Fold_Enrichment	occurrence	support	lowest_p	highest_p	non_Signif_Snw_Genes	Up_regulated	Down_regulated
hsa04810	Regulation of actin cytoskeleton	12.9878260869565	94	0.015625	4.57779350468836e-05	0.0356364097684579		FN1, BRAF, MYH9	
hsa04270	Vascular smooth muscle contraction	15.2201086956522	7	0.0119760479041916	0.00112610077645213	0.0302981436501205		MYH9, BRAF	
hsa05216	Thyroid cancer	26.3266745005875	75	0.015625	0.00248934728613279	0.00248934728613279	HRAS	BRAF	
hsa05219	Bladder cancer	23.7582184517497	100	0.03125	0.00306459689979142	0.00612208098710874	HRAS	BRAF	
hsa04962	Vasopressin-regulated water reabsorption	22.1383399209486	28	0.0112359550561798	0.0035351823665596	0.0176097321532783	RAB5A		DCTN4
hsa00280	Valine, leucine and isoleucine degradation	20.7252543940796	12	0.00551926450130043	0.00403931346037929	0.00806780974852972	MCCC1		PCCA
hsa05132	Salmonella infection	7.88734377750396	12	0.0112359550561798	0.00407662624462549	0.0222750230688961	RAB5A		VPS18, DCTN4
hsa04510	Focal adhesion	9.88920768042375	1	0.0131578947368421	0.0041107963888436	0.0041107963888436	PPP1CA	FN1, BRAF	
hsa05205	Proteoglycans in cancer	14.3953737417006	30	0.0150793650793651	0.00449727331284228	0.0262694465489911		BRAF, FN1, SDC4	
hsa03030	DNA replication	27.0579710144928	10	0.00505050505050505	0.00470495133134005	0.00783365280123877	MCM5	POLA2	
hsa00513	Various types of N-glycan biosynthesis	25.6338672768879	75	0.015625	0.00524950272896612	0.00524950272896612	DDOST	STT3B	
hsa04730	Long-term depression	16.7946026986507	100	0.03125	0.00617464985793944	0.0123287229930898	HRAS	BRAF	
hsa05213	Endometrial cancer	16.7946026986507	100	0.046875	0.00617464985793944	0.0123287229930898	HRAS	BRAF	
hsa05211	Renal cell carcinoma	14.9859531772575	100	0.03125	0.0077680531129291	0.0155069844920615	HRAS	BRAF	
hsa04720	Long-term potentiation	14.5386112913692	100	0.03125	0.00825679868872744	0.0164816609523846	HRAS	BRAF	
hsa05221	Acute myeloid leukemia	14.5386112913692	100	0.03125	0.00825679868872744	0.0164816609523846	HRAS	BRAF	
hsa00510	N-Glycan biosynthesis	19.4817391304348	75	0.015625	0.00914088830308382	0.00914088830308382	DDOST	STT3B	
hsa05218	Melanoma	13.5289855072464	100	0.046875	0.00954374993680961	0.0190477468445932	HRAS	BRAF	
hsa05223	Non-small cell lung cancer	13.5289855072464	100	0.03125	0.00954374993680961	0.0190477468445932	HRAS	BRAF	
hsa05214	Glioma	12.9878260869565	100	0.03125	0.0103605386211114	0.0206760729993988	HRAS	BRAF	
hsa05220	Chronic myeloid leukemia	12.8169336384439	100	0.03125	0.0106402358341746	0.0212336195085779	HRAS	BRAF	
hsa05212	Pancreatic cancer	12.8169336384439	100	0.015625	0.0106402358341746	0.0212336195085779	RAF1	BRAF	
hsa04012	ErbB signaling pathway	11.7359874279728	100	0.03125	0.0127021624863083	0.0253431043193856	HRAS	BRAF	
hsa05210	Colorectal cancer	11.3265925176946	100	0.03125	0.0136415659793164	0.0272149493021478	HRAS	BRAF	
hsa04512	ECM-receptor interaction	22.1383399209486	88	0.015625	0.0142864018410878	0.0284996984487837		FN1, SDC4	
hsa04914	Progesterone-mediated oocyte maturation	10.1467391304348	100	0.03125	0.0170142223182251	0.0339332847067499	RAF1	BRAF	
hsa05215	Prostate cancer	10.0421335723891	100	0.03125	0.0173718980319793	0.0346456024131916	HRAS	BRAF	
hsa05100	Bacterial invasion of epithelial cells	14.117202268431	13	0.0101010101010101	0.0174859186744556	0.0435407413854568	ACTB	FN1	
hsa05146	Amoebiasis	9.64442531209643	12	0.00804451702655296	0.0188396934207815	0.0375684144224369	HSPB1	FN1	
hsa04928	Parathyroid hormone synthesis, secretion and action	9.27701863354037	100	0.015625	0.0203668208294038	0.0406088286102551	RAF1	BRAF	
hsa05034	Alcoholism	9.18949958982773	100	0.03125	0.0207578708043068	0.0413872975438217	HRAS	BRAF	
hsa04726	Serotonergic synapse	8.77555816686251	100	0.03125	0.0227687127129769	0.0453897681883852	HRAS	BRAF	
hsa04722	Neurotrophin signaling pathway	8.25497420781135	75	0.015625	0.0257394882842689	0.0257394882842689	HRAS	BRAF	
hsa04919	Thyroid hormone signaling pathway	8.0503054257995	54	0.015625	0.0270682230824545	0.0270682230824545	MED4	MED13L	
hsa04068	FoxO signaling pathway	7.61005434782609	75	0.015625	0.0302981436501205	0.0302981436501205	HRAS	BRAF	
