ID	Term_Description	Fold_Enrichment	occurrence	support	lowest_p	highest_p	non_Signif_Snw_Genes	Up_regulated	Down_regulated
R-HSA-9725370	Signaling by ALK fusions and activated point mutants	36.7579983593109	12	0.0140325409786488	7.80229183746904e-05	0.0257079865645254		FN1, MYH9	
R-HSA-9700206	Signaling by ALK in cancer	36.7579983593109	12	0.0140325409786488	7.80229183746904e-05	0.0257079865645254		FN1, MYH9	
R-HSA-196780	Biotin transport and metabolism	88.5533596837945	6	0.00598802395209581	0.0010273651767989	0.0010273651767989	MCCC1		PCCA
R-HSA-9754560	SARS-CoV-2 modulates autophagy	81.1739130434783	6	0.00598802395209581	0.00123280151399198	0.00123280151399198	VPS33B		VPS18
R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins	64.9391304347826	12	0.00551926450130043	0.00196109998555527	0.00392068261135919	GRB2	FN1	
R-HSA-3928663	EPHA-mediated growth cone collapse	64.9391304347826	6	0.00598802395209581	0.00196109998555527	0.00196109998555527	MYL12B	MYH9	
R-HSA-264870	Caspase-mediated cleavage of cytoskeletal proteins	81.1739130434783	60	0.015625	0.00246486928581206	0.0114890371282495	VIM	PLEC	
R-HSA-9700645	ALK mutants bind TKIs	81.1739130434783	6	0.00505050505050505	0.00246486928581206	0.00246486928581206	CLTC	FN1	
R-HSA-5625900	RHO GTPases activate CIT	51.2677345537757	25	0.00763358778625954	0.00319341107859225	0.0159428355486806	CIT	MYH9	
R-HSA-5627117	RHO GTPases Activate ROCKs	51.2677345537757	12	0.00551926450130043	0.00319341107859225	0.0063835911140842	MYL12B	MYH9	
R-HSA-3296482	Defects in vitamin and cofactor metabolism	48.704347826087	6	0.00598802395209581	0.0035481288855317	0.0035481288855317	MCCC1		PCCA
R-HSA-416572	Sema4D induced cell migration and growth-cone collapse	48.704347826087	6	0.00598802395209581	0.0035481288855317	0.0035481288855317	MYL12B	MYH9	
R-HSA-5627123	RHO GTPases activate PAKs	46.3850931677019	9	0.0119760479041916	0.00392149936974624	0.0195742583784594	RAC1	MYH9	
R-HSA-1295596	Spry regulation of FGF signaling	60.8804347826087	14	0.0163934426229508	0.00448051334767577	0.0335199424628049	UBC	BRAF	
R-HSA-400685	Sema4D in semaphorin signaling	40.5869565217391	9	0.00598802395209581	0.00515351020505567	0.0257169787355257	RAC1	MYH9	
R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	51.2677345537757	6	0.00505050505050505	0.0063835911140842	0.0063835911140842	CLTC	FN1	
R-HSA-354192	Integrin signaling	36.0772946859903	12	0.00551926450130043	0.00655333508429554	0.0130969196336477	GRB2	FN1	
R-HSA-5673000	RAF activation	28.6496163682864	100	0.03125	0.0104719503117588	0.0209239575412648	HRAS	BRAF	
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	57.2992327365729	100	0.03125	0.0104719503117588	0.0209239575412648	HRAS	BRAF, FN1	
R-HSA-187687	Signalling to ERKs	28.6496163682864	75	0.015625	0.0104719503117588	0.0104719503117588	HRAS	BRAF	
R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	28.6496163682864	11	0.00598802395209581	0.0104719503117588	0.0104719503117588	NEK9		NEK6
R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic	28.6496163682864	12	0.0110385290026009	0.0104719503117588	0.0209239575412648	DYNC1LI1		DCTN4
R-HSA-5654727	Negative regulation of FGFR2 signaling	28.6496163682864	12	0.00551926450130043	0.0104719503117588	0.0209239575412648	FGFR2	BRAF	
R-HSA-5625740	RHO GTPases activate PKNs	27.8310559006211	6	0.00598802395209581	0.0111062831274837	0.0111062831274837	MYL12B	MYH9	
R-HSA-5673001	RAF/MAP kinase cascade	7.08426877470356	6	0.00505050505050505	0.0113337391573068	0.0113337391573068	RPS27A	BRAF, FN1	
R-HSA-5684996	MAPK1/MAPK3 signaling	6.93300324926505	6	0.00505050505050505	0.0120922693017661	0.0120922693017661	RPS27A	BRAF, FN1	
R-HSA-76009	Platelet Aggregation (Plug Formation)	26.3266745005875	12	0.00551926450130043	0.0124308300582286	0.0248357673743658	GRB2	FN1	
R-HSA-5674135	MAP2K and MAPK activation	51.2677345537757	100	0.03125	0.0131210408370516	0.0262139704964027	HRAS	BRAF, FN1	
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	25.6338672768879	12	0.0110385290026009	0.0131210408370516	0.0262139704964027	DYNC1LI1		DCTN4
R-HSA-9656223	Signaling by RAF1 mutants	49.9531772575251	100	0.03125	0.0138298742673768	0.02762929577972	HRAS	BRAF, FN1	
R-HSA-5654741	Signaling by FGFR3	24.3521739130435	81	0.015625	0.014557328681106	0.0290817365684549	HRAS	BRAF	
R-HSA-5654732	Negative regulation of FGFR3 signaling	33.5892053973013	6	0.00505050505050505	0.0151473390551178	0.0151473390551178	RPS27A	BRAF	
R-HSA-5654743	Signaling by FGFR4	23.7582184517497	81	0.015625	0.0153034024101405	0.0305712862071916	HRAS	BRAF	
R-HSA-5675221	Negative regulation of MAPK pathway	22.6531850353893	100	0.03125	0.0168514011417318	0.0336616854152409	HRAS	BRAF	
R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	45.3063700707786	100	0.03125	0.0168514011417318	0.0336616854152409	HRAS	BRAF, FN1	
R-HSA-6802949	Signaling by RAS mutants	45.3063700707786	100	0.03125	0.0168514011417318	0.0336616854152409	HRAS	BRAF, FN1	
R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	45.3063700707786	100	0.03125	0.0168514011417318	0.0336616854152409	HRAS	BRAF, FN1	
