id	type	logFC
hsa_circ_0020704	circRNA	1.062770575
hsa-let-7e-5p	miRNA	-2.32886989422945
SLCO5A1	mRNA	0.649666955660594
hsa_circ_0000038	circRNA	0.680135701733335
hsa_circ_0099201	circRNA	1.5116663776
hsa_circ_0005147	circRNA	1.01529747346667
hsa_circ_0009006	circRNA	1.08999820233333
hsa_circ_0076700	circRNA	1.62772010573333
hsa_circ_0000442	circRNA	1.14036899163333
hsa_circ_0008323	circRNA	0.830282201200001
hsa_circ_0086684	circRNA	0.893958431933336
hsa_circ_0003904	circRNA	0.467498017533333
hsa_circ_0089153	circRNA	1.75503981333333
hsa_circ_0002901	circRNA	1.76350064399999
hsa_circ_0051718	circRNA	0.533149698833337
hsa_circ_0026134	circRNA	2.138873252
hsa-miR-107	miRNA	-1.99125363163233
KIFC2	mRNA	0.942113540962168
hsa_circ_0003695	circRNA	0.595200842199999
hsa_circ_0067717	circRNA	0.8288569302
hsa_circ_0006913	circRNA	0.729029720133333
hsa_circ_0006732	circRNA	1.16749097423333
hsa_circ_0023115	circRNA	1.78528164923333
hsa_circ_0035301	circRNA	0.872947703399999
hsa_circ_0000357	circRNA	0.9049085516
hsa_circ_0000211	circRNA	0.827484591666666
hsa_circ_0000676	circRNA	1.3041894139
hsa_circ_0004703	circRNA	0.759231423166662
hsa_circ_0003956	circRNA	1.03811366986667
hsa_circ_0045890	circRNA	0.502421283966666
hsa_circ_0000128	circRNA	1.35901283506666
hsa_circ_0017628	circRNA	0.999339728766667
hsa_circ_0017726	circRNA	0.840721628233334
hsa_circ_0001655	circRNA	1.58728131666666
hsa_circ_0002319	circRNA	0.628340193433335
hsa_circ_0000044	circRNA	0.78980252716667
hsa_circ_0002315	circRNA	0.5755200239
hsa_circ_0000129	circRNA	1.52297638033333
hsa-miR-125b-5p	miRNA	-3.33417733203018
RNASEH2C	mRNA	0.506433410323801
hsa_circ_0063408	circRNA	0.780764097566666
hsa_circ_0083054	circRNA	0.895745062966666
hsa_circ_0006784	circRNA	0.807391621433333
hsa_circ_0036188	circRNA	1.12701992093333
hsa_circ_0008584	circRNA	1.38442489466666
hsa-miR-23b-3p	miRNA	-1.02880798185747
TBC1D8	mRNA	0.680417227169641
hsa_circ_0052767	circRNA	0.992482298766667
hsa_circ_0039930	circRNA	0.902830901166666
hsa_circ_0015928	circRNA	0.653677998200001
hsa_circ_0001190	circRNA	1.22758546593333
hsa-miR-26a-5p	miRNA	-1.49048510539919
RHOU	mRNA	0.969269851750424
hsa_circ_0002157	circRNA	1.12188626666667
hsa-miR-27b-3p	miRNA	-1.17329792567971
hsa_circ_0072904	circRNA	1.0074151568
hsa_circ_0005479	circRNA	0.882094085333333
hsa_circ_0000735	circRNA	2.14366616376667
hsa-miR-29a-3p	miRNA	-0.822880449721378
hsa_circ_0067492	circRNA	0.789715972833335
hsa_circ_0094004	circRNA	2.029352131
hsa_circ_0000647	circRNA	0.9597064004
hsa_circ_0071649	circRNA	0.775074885033332
hsa_circ_0071374	circRNA	0.764734083033334
hsa_circ_0008068	circRNA	1.68977009436666
hsa_circ_0007178	circRNA	0.890539212533332
hsa-miR-30c-5p	miRNA	-1.18138818797783
hsa_circ_0001278	circRNA	0.9177231662
hsa_circ_0004291	circRNA	1.1938523561
hsa_circ_0004650	circRNA	1.82453385646667
hsa-miR-505-3p	miRNA	-1.09753791214932
hsa_circ_0029325	circRNA	0.728064023000003
hsa_circ_0058097	circRNA	-0.560097034300001
hsa-miR-10b-5p	miRNA	2.81219964436187
VDR	mRNA	-0.663004063455288
hsa_circ_0074559	circRNA	-1.52248057596666
hsa_circ_0015270	circRNA	-0.981587320066667
hsa_circ_0037511	circRNA	-0.693751860333333
hsa-miR-580-3p	miRNA	1.55472370270128
hsa_circ_0030509	circRNA	-1.31294300963333
hsa_circ_0003438	circRNA	-1.26014661691111
hsa_circ_0004134	circRNA	-1.1247908696
