ID	Term_Description	Fold_Enrichment	occurrence	support	lowest_p	highest_p	non_Signif_Snw_Genes	Up_regulated	Down_regulated
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	2.68916842711734	100	0.0104166666666667	1.3778578152231e-05	1.3778578152231e-05	UBE2I	CDKN2A, FOXL2, NUP43	PPARGC1A, VDR
R-HSA-2990846	SUMOylation	2.59425660027791	100	0.0104166666666667	1.65042883581748e-05	1.65042883581748e-05	UBE2I	CDKN2A, FOXL2, NUP43	PPARGC1A, VDR
R-HSA-5607763	CLEC7A (Dectin-1) induces NFAT activation	16.0372226198998	100	0.00520833333333333	3.02030769764924e-05	0.000111846008179438	CALM1	PPP3R1	PPP3CB
R-HSA-8951664	Neddylation	1.82241166135225	100	0.00520833333333333	3.88591367068397e-05	0.00959831618849911	SKP1	FBXO6, OBSL1	FBXL22, FBXL3, FBXL5
R-HSA-3232118	SUMOylation of transcription factors	8.82047244094488	100	0.00520833333333333	0.000156171736134533	0.000156171736134533	UBE2I	CDKN2A, FOXL2	
R-HSA-9013420	RHOU GTPase cycle	6.61535433070866	100	0.0104166666666667	0.00019780353918541	0.000980306995018237	GRB2	GIT1, RHOU	DLG5
R-HSA-180024	DARPP-32 events	7.3503937007874	100	0.00520833333333333	0.000369042081816071	0.00136304710482501	CALM1	PPP3R1	PPP3CB
R-HSA-400253	Circadian Clock	5.1133173570695	100	0.00520833333333333	0.000381369313583284	0.00942438941525066	SKP1	NPAS2	BHLHE40, FBXL3, PPARGC1A
R-HSA-2559583	Cellular Senescence	3.36659253471179	100	0.0260416666666667	0.000384622633699204	0.0355614680609291	TP53	CDKN2A, UBE2S	ASF1A, ETS1, MINK1
R-HSA-109606	Intrinsic Pathway for Apoptosis	4.99272024959144	100	0.00520833333333333	0.000447459609412961	0.00423414591850743	TP53	BBC3, CDKN2A, PPP3R1	
R-HSA-8866652	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	5.88031496062992	100	0.00520833333333333	0.000738934299615092	0.00187413339783115	UBC	UBE2E3, UBE2S	
R-HSA-2559585	Oncogene Induced Senescence	5.18851320055581	100	0.00520833333333333	0.00108779637995786	0.00988385182036372	TP53	CDKN2A	ETS1
R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis	6.96353087443017	100	0.00520833333333333	0.00153168265656338	0.00564134273999269		FBXO6	FBXL3, FBXL5
R-HSA-8853884	Transcriptional Regulation by VENTX	6.61535433070866	100	0.0208333333333333	0.00179278106172989	0.00232772947583175	FZR1	CDKN2A, LEF1, UBE2S	
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	1.26006749156355	99	0.0104166666666667	0.00251165003095121	0.0170723718022645	SNRPA	BUD31, NUP43	CPSF2, NSRP1
R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	4.9002624671916	5	0.00684931506849315	0.00267387625357078	0.00267387625357078	ACTB	ARPC1A	WASF2
R-HSA-9707616	Heme signaling	3.83498801780212	100	0.00520833333333333	0.00274951628621571	0.0357752984824407	EP300	NPAS2	PPARGC1A
