circRNA (parent gene)	circRNA Avg.FC	miRNA	miRNA Avg.FC	mRNA	mRNA Avg.FC
hsa_circ_0000442 (MED13L)	1.14036899163333	hsa-miR-26a-5p	-1.49048510539919	REG4	1.31249251485185
hsa_circ_0000500 (PCCA)	-0.675262509000002	hsa-miR-335-5p	1.09850437185731	JAG2	-0.689850599027287
hsa_circ_0000500 (PCCA)	-0.675262509000002	hsa-miR-335-5p	1.09850437185731	SLC2A4	-1.38378730876447
hsa_circ_0000525 (BCL2L2-PABPN1)	-0.646044316333336	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0001258 (PPP6R2)	-0.637554914500003	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0001278 (STT3B)	0.9177231662	hsa-miR-30c-5p	-1.18138818797783	CTHRC1	2.49028706324862
hsa_circ_0001348 (MBNL1)	-0.879874706500001	hsa-miR-335-5p	1.09850437185731	JAG2	-0.689850599027287
hsa_circ_0001348 (MBNL1)	-0.879874706500001	hsa-miR-335-5p	1.09850437185731	SLC2A4	-1.38378730876447
hsa_circ_0001660 (TULP4)	-0.681097281833332	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0003099 (KDM4A)	-1.43450319853333	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0004291 (POLA2)	1.1938523561	hsa-miR-30c-5p	-1.18138818797783	CTHRC1	2.49028706324862
hsa_circ_0004870 (RBM39)	-1.13672216616667	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0006004 (FAM98A)	-1.8223670239	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0007178 (BRAF)	0.890539212533332	hsa-miR-30c-5p	-1.18138818797783	CTHRC1	2.49028706324862
hsa_circ_0007312 (SPECC1L)	-0.751681846499999	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0008323 (SFI1)	0.830282201200001	hsa-miR-26a-5p	-1.49048510539919	REG4	1.31249251485185
hsa_circ_0008817 (RBM39)	-0.853316574833334	hsa-miR-335-5p	1.09850437185731	JAG2	-0.689850599027287
hsa_circ_0008817 (RBM39)	-0.853316574833334	hsa-miR-335-5p	1.09850437185731	SLC2A4	-1.38378730876447
hsa_circ_0034642 (VPS18)	-2.73898073326666	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0035301 (MAPK6)	0.872947703399999	hsa-miR-30c-5p	-1.18138818797783	CTHRC1	2.49028706324862
hsa_circ_0052767 (NBAS)	0.992482298766667	hsa-miR-26a-5p	-1.49048510539919	REG4	1.31249251485185
hsa_circ_0058097 (FN1)	-0.560097034300001	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0060539 (SDC4)	-1.41890461902222	hsa-miR-335-5p	1.09850437185731	JAG2	-0.689850599027287
hsa_circ_0060539 (SDC4)	-1.41890461902222	hsa-miR-335-5p	1.09850437185731	SLC2A4	-1.38378730876447
hsa_circ_0062603 (SPECC1L)	-1.61887013644444	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0063089 (MYH9)	-0.990496558333333	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0071210 (LRBA)	-1.42543893733333	hsa-miR-106a-5p	1.62557079915522	SLC2A4	-1.38378730876447
hsa_circ_0074559 (DCTN4)	-1.52248057596666	hsa-miR-335-5p	1.09850437185731	JAG2	-0.689850599027287
hsa_circ_0074559 (DCTN4)	-1.52248057596666	hsa-miR-335-5p	1.09850437185731	SLC2A4	-1.38378730876447
hsa_circ_0085918 (PLEC)	-1.08948043016667	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
hsa_circ_0088485 (NEK6)	-0.608878804533334	hsa-miR-335-5p	1.09850437185731	JAG2	-0.689850599027287
hsa_circ_0088485 (NEK6)	-0.608878804533334	hsa-miR-335-5p	1.09850437185731	SLC2A4	-1.38378730876447
hsa_circ_0089761 (JA760602)	-1.82541463649999	hsa-miR-1976	1.72643047190907	JAG2	-0.689850599027287
