Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	circRNA	circbaseID	GeneSymbol
ASCRP3000068	-0.898712779999997	6.69868064311111	-7.50608205941124	2.35783946947657e-05	0.010954971287468	3.10289069870404	hsa_circRNA_060539	hsa_circ_0060539	SDC4
ASCRP3000158	-0.844968091999999	6.31498446066667	-5.8525526255232	0.000177751706301973	0.0333523730459297	1.21297365350594	hsa_circRNA_100885	hsa_circ_0004596	RAB6A
ASCRP3000193	-0.700146647999999	6.39690043288889	-5.74103406036765	0.000206284871611562	0.035941455219893	1.07055171455416	hsa_circRNA_002961	hsa_circ_0002961	MTDH
ASCRP3000202	-1.19756467833333	5.750198679	-9.49496712059309	3.0727319859823e-06	0.00333118288746992	4.89913475428262	hsa_circRNA_102469	hsa_circ_0008432	TPM4
ASCRP3000476	-1.36921450333333	8.24127808977778	-5.23579288541329	0.000413817161587649	0.0445875656113615	0.400284349496747	hsa_circRNA_087856	hsa_circ_0087856	RAD23B
ASCRP3000482	-1.262854112	6.78441931122222	-6.64456663073755	6.47582963910854e-05	0.018653046786849	2.16859483421697	hsa_circRNA_068465	hsa_circ_0068465	EIF4A2
ASCRP3000550	-1.28802515466666	8.04735958433333	-6.19739594839688	0.000113372570939007	0.0269266337535007	1.64094742980489	hsa_circRNA_103514	hsa_circ_0006156	FNDC3B
ASCRP3001315	-1.76495805733334	9.366784767	-6.12977604257448	0.000123669511567819	0.0269266337535007	1.55849384280581	hsa_circRNA_401640	NA	AARS
ASCRP3001525	1.62187644433333	9.39878798722222	5.47699387342961	0.000295478592424696	0.0423113566303276	0.725402386595257	hsa_circRNA_068697	hsa_circ_0068697	DLG1
ASCRP3001535	1.98840585033333	10.9793231476667	10.4343262577414	1.32073368428916e-06	0.00257727971152186	5.60089225354464	hsa_circRNA_001233	hsa_circ_0000463	EP400NL
ASCRP3001609	-1.22483736566666	7.52799856333333	-11.7463258543329	4.49907892540828e-07	0.00109743782688022	6.45305375556548	hsa_circRNA_004390	hsa_circ_0004390	LPAR3
ASCRP3001644	1.13091830999999	11.14706267	6.12653597249354	0.00012418761083402	0.0269266337535007	1.55452515921712	hsa_circRNA_100604	hsa_circ_0009172	DNA2
ASCRP3001715	-0.923725107333333	6.63444891133333	-7.67915515659345	1.94436413868576e-05	0.00998482152692471	3.27826273273311	hsa_circRNA_059060	hsa_circ_0059060	SEPT2
ASCRP3001825	-1.11763925166667	5.94828859522222	-9.55113196037704	2.91587064622936e-06	0.00333118288746992	4.94348051352507	hsa_circRNA_013058	hsa_circ_0013058	LPAR3
ASCRP3001988	-1.119987248	6.24733372833333	-7.75464530805857	1.78933366460444e-05	0.00998482152692471	3.35352470245121	hsa_circRNA_403236	NA	ZNF827
ASCRP3002434	-1.04693841666667	10.7060887722222	-5.53194808913052	0.000273966435155853	0.0421362392159942	0.798161770895017	hsa_circRNA_403250	NA	FAM160A1
ASCRP3002483	-0.99064595233333	6.37292607166667	-8.62080847441366	7.18835212405009e-06	0.00701367516743567	4.1661874780636	hsa_circRNA_062610	hsa_circ_0062610	SPECC1L
ASCRP3002567	-0.926494921666666	6.39937827922222	-5.3101026956603	0.00037269952097596	0.0445636250101595	0.501449678280236	hsa_circRNA_100422	hsa_circ_0015796	DENND1B
ASCRP3002577	-0.884610008666668	6.552540124	-5.25856395356556	0.000400723499029817	0.0445636250101595	0.431379706876817	hsa_circRNA_002545	hsa_circ_0002545	CTBP2
ASCRP3003129	-2.61119377233333	9.64678989811111	-5.13674806524569	0.000476342787171232	0.0484132976503094	0.264057960333323	hsa_circRNA_100833	hsa_circ_0022383	FADS2
ASCRP3003307	-0.601098722	5.94388970122222	-5.45746162656572	0.000303555904901397	0.0423113566303276	0.699424346212687	hsa_circRNA_007245	hsa_circ_0007245	RCN1
ASCRP3003415	-0.885845944333333	6.69372347911111	-6.60703212844252	6.7808989480141e-05	0.0189032088673639	2.12546428699598	hsa_circRNA_008817	hsa_circ_0008817	RBM39
ASCRP3003749	-1.411752731	8.754279256	-6.28300673425617	0.000101644039146816	0.0254292535886022	1.74432343971219	hsa_circRNA_405965	hsa_circ_0117334	CCNT2-AS1
ASCRP3003936	-0.899010403999998	6.13576726133333	-7.31643989979822	2.92352481193939e-05	0.0118853464958719	2.90612935310778	hsa_circRNA_103180	hsa_circ_0007312	SPECC1L
ASCRP3004091	-1.323309908	6.216078897	-7.57783392882859	2.17584546612532e-05	0.0106148621064924	3.17607630472244	hsa_circRNA_102468	hsa_circ_0002259	TPM4
ASCRP3004402	-0.932996696999997	7.40251897011111	-6.02852636178098	0.000141021623618724	0.0292754889712316	1.43370080629873	hsa_circRNA_063089	hsa_circ_0063089	MYH9
ASCRP3004404	-0.796431211	6.73624157555556	-6.83421053444349	5.14562693248836e-05	0.0170650986928774	2.38333625626882	hsa_circRNA_101305	hsa_circ_0002807	TMCO3
ASCRP3004414	-0.581167217333335	6.26366361544444	-5.27620701311432	0.000390883938116445	0.0445636250101595	0.455414822384858	hsa_circRNA_000324	hsa_circ_0000324	NEAT1
ASCRP3004630	-0.954662183000001	6.57767933322222	-5.33127257434919	0.000361803999310077	0.0445636250101595	0.530106976174279	hsa_circRNA_103223	hsa_circ_0002211	DDX17
ASCRP3004704	0.852025449333333	5.90965340088889	5.75965464722383	0.000201196508468161	0.0356922606022518	1.09447022191989	hsa_circRNA_402799	hsa_circ_0123160	KCNH8
ASCRP3004752	-1.01666511433333	6.99282362488889	-6.04265421795487	0.000138450141413715	0.0292754889712316	1.45121008436945	hsa_circRNA_000458	hsa_circ_0000458	TMED2
ASCRP3004858	-1.61676603433333	6.069607017	-13.0003228383846	1.76677125318112e-07	0.000574612903909607	7.14976570581974	hsa_circRNA_407092	hsa_circ_0137255	MMP16
ASCRP3004988	-1.12435100266667	7.30642201311111	-5.16297230110241	0.000458859494239919	0.047602319274738	0.300280936678166	hsa_circRNA_092377	hsa_circ_0000200	HNRNPU
