chr10:100143465|100144824	hsa_circ_0092377
chr10:100144703|100147064	hsa_circ_0019397
chr10:100155147|100160014	hsa_circ_0019404
chr10:100189329|100191048	hsa_circ_0019408
chr10:100190327|100190427	hsa_circ_0019409
chr10:101165512|101165617	hsa_circ_0092380
chr10:101421202|101439632	hsa_circ_0019419
chr10:101421202|101462430	hsa_circ_0019420
chr10:101439017|101439632	hsa_circ_0019421
chr10:101480743|101483880	hsa_circ_0019423
chr10:101507013|101507147	hsa_circ_0019427
chr10:101551990|101554225	hsa_circ_0019435
chr10:101556853|101572901	hsa_circ_0019446
chr10:101560142|101572901	hsa_circ_0019452
chr10:101565138|101594292	hsa_circ_0019456
chr10:101577064|101596047	hsa_circ_0019468
chr10:101591367|101605539	hsa_circ_0019476
chr10:101601723|101606884	hsa_circ_0019482
chr10:101646056|101668903	hsa_circ_0019487
chr10:101648581|101656154	hsa_circ_0019488
chr10:101648581|101658517	hsa_circ_0019489
chr10:101648581|101659823	hsa_circ_0019490
chr10:101654702|101656154	hsa_circ_0092382
chr10:101654702|101668903	hsa_circ_0019491
chr10:101656023|101659823	hsa_circ_0019492
chr10:101657842|101659823	hsa_circ_0019493
chr10:101658499|101659823	hsa_circ_0019494
chr10:101659675|101659823	hsa_circ_0005796
chr10:101667751|101668903	hsa_circ_0005285
chr10:101728871|101731891	hsa_circ_0008393
chr10:101937889|101939004	hsa_circ_0092383
chr10:101950625|101953888	hsa_circ_0019499
chr10:101950625|101954278	hsa_circ_0092384
chr10:101950625|101969546	hsa_circ_0019500
chr10:101959727|101964956	hsa_circ_0092386
chr10:101977751|101980433	hsa_circ_0092387
chr10:101977751|101985774	hsa_circ_0092388
chr10:101977751|101989458	hsa_circ_0092389
chr10:101996606|101997988	hsa_circ_0019504
chr10:101996606|102003534	hsa_circ_0019505
chr10:101996606|102013296	hsa_circ_0092390
chr10:102003454|102006692	hsa_circ_0092391
chr10:102003454|102010089	hsa_circ_0092392
chr10:102005555|102006692	hsa_circ_0092393
chr10:102013177|102020076	hsa_circ_0092394
chr10:102013177|102021820	hsa_circ_0092395
chr10:102016018|102021820	hsa_circ_0019506
chr10:102019974|102021820	hsa_circ_0006718
chr10:102114183|102114389	hsa_circ_0092396
chr10:102114183|102116521	hsa_circ_0019512
chr10:102140972|102141205	hsa_circ_0019515
chr10:102267664|102276754	hsa_circ_0092397
chr10:102275852|102276717	hsa_circ_0092398
chr10:102286155|102286831	hsa_circ_0019525
chr10:102300433|102300539	hsa_circ_0092399
chr10:102539254|102541122	hsa_circ_0092400
chr10:102675755|102690835	hsa_circ_0019529
chr10:102675755|102697234	hsa_circ_0019530
chr10:102675755|102698493	hsa_circ_0019531
chr10:102675755|102710510	hsa_circ_0019532
chr10:102678140|102685776	hsa_circ_0019533
chr10:102678140|102706893	hsa_circ_0019535
chr10:102683731|102685776	hsa_circ_0006654
chr10:102683731|102690835	hsa_circ_0019538
chr10:102683731|102698493	hsa_circ_0019539
chr10:102683734|102685776	hsa_circ_0092401
chr10:102683734|102690835	hsa_circ_0092402
chr10:102689073|102690835	hsa_circ_0092404
chr10:102689073|102698493	hsa_circ_0092405
chr10:102697158|102698493	hsa_circ_0019540
chr10:102697158|102703885	hsa_circ_0006409
chr10:102697158|102707604	hsa_circ_0092406
chr10:102697158|102710510	hsa_circ_0002045
chr10:102703782|102707604	hsa_circ_0092407
chr10:102703782|102710510	hsa_circ_0092408
chr10:102703782|102716294	hsa_circ_0019541
chr10:102705086|102706893	hsa_circ_0092409
chr10:102706795|102707604	hsa_circ_0092410
chr10:102706795|102710510	hsa_circ_0092411
chr10:102737388|102740986	hsa_circ_0019545
chr10:102739604|102740754	hsa_circ_0019547
chr10:102739604|102740986	hsa_circ_0019548
chr10:102747314|102747686	hsa_circ_0092412
chr10:102747525|102747700	hsa_circ_0092413
chr10:102750192|102750767	hsa_circ_0019554
chr10:102777855|102778974	hsa_circ_0092414
chr10:102796479|102797188	hsa_circ_0019560
chr10:103190101|103221815	hsa_circ_0092415
chr10:103190101|103239214	hsa_circ_0092416
chr10:103190101|103285956	hsa_circ_0092417
chr10:103213257|103239214	hsa_circ_0092418
chr10:103221737|103239214	hsa_circ_0019566
chr10:103281395|103281627	hsa_circ_0019567
chr10:103281395|103285956	hsa_circ_0092420
chr10:103281395|103292189	hsa_circ_0019568
chr10:103281395|103298128	hsa_circ_0019569
chr10:103285769|103285956	hsa_circ_0019570
chr10:103340004|103347163	hsa_circ_0019572
chr10:103344358|103345913	hsa_circ_0006555
chr10:103360959|103361093	hsa_circ_0019578
chr10:103371384|103436193	hsa_circ_0019581
chr10:103384501|103436193	hsa_circ_0005741
chr10:103419032|103436193	hsa_circ_0092424
chr10:103427642|103427737	hsa_circ_0019587
chr10:103427642|103432804	hsa_circ_0019588
chr10:103427642|103433430	hsa_circ_0019589
chr10:103427642|103436193	hsa_circ_0008362
chr10:103432671|103433430	hsa_circ_0019591
chr10:103432671|103436193	hsa_circ_0000255
chr10:103433244|103436193	hsa_circ_0019593
chr10:103547120|103567658	hsa_circ_0019602
chr10:103547120|103570071	hsa_circ_0092426
chr10:103550652|103550795	hsa_circ_0000256
chr10:103550652|103551196	hsa_circ_0092427
chr10:103550652|103557911	hsa_circ_0092428
chr10:103550652|103567658	hsa_circ_0019603
chr10:103552595|103560157	hsa_circ_0092429
chr10:103552595|103563776	hsa_circ_0092430
chr10:103552595|103565900	hsa_circ_0092431
chr10:103552595|103567658	hsa_circ_0019606
chr10:103552595|103570071	hsa_circ_0019607
chr10:103552595|103570085	hsa_circ_0092432
chr10:103552595|103573363	hsa_circ_0092433
chr10:103553669|103555237	hsa_circ_0092435
chr10:103557736|103560157	hsa_circ_0092436
chr10:103557736|103567658	hsa_circ_0019608
chr10:103557736|103570071	hsa_circ_0019609
chr10:103557736|103570085	hsa_circ_0092437
chr10:103557736|103572884	hsa_circ_0092438
chr10:103557736|103573363	hsa_circ_0019610
chr10:103558598|103560157	hsa_circ_0019611
chr10:103558598|103563776	hsa_circ_0092439
chr10:103558598|103565900	hsa_circ_0092440
chr10:103558598|103567658	hsa_circ_0019612
chr10:103558598|103570071	hsa_circ_0092441
chr10:103558598|103570085	hsa_circ_0092442
chr10:103558598|103573363	hsa_circ_0019613
chr10:103559998|103563776	hsa_circ_0092444
chr10:103559998|103567658	hsa_circ_0019614
chr10:103559998|103570071	hsa_circ_0092445
chr10:103563491|103563776	hsa_circ_0092446
chr10:103563491|103567658	hsa_circ_0019616
chr10:103563491|103572884	hsa_circ_0092447
chr10:103565801|103567658	hsa_circ_0019617
chr10:103565801|103570071	hsa_circ_0092448
chr10:103567486|103567658	hsa_circ_0019618
chr10:103567486|103573363	hsa_circ_0019619
chr10:103572786|103573363	hsa_circ_0019623
chr10:103607160|103609649	hsa_circ_0092449
chr10:103609532|103649247	hsa_circ_0019625
chr10:103609532|103699695	hsa_circ_0019626
chr10:103637560|103649247	hsa_circ_0092450
chr10:103649168|103699695	hsa_circ_0019627
chr10:103649168|103717489	hsa_circ_0007564
chr10:103699619|103717489	hsa_circ_0004117
chr10:103699619|103735057	hsa_circ_0019628
chr10:103699619|103755112	hsa_circ_0092451
chr10:103699619|103769206	hsa_circ_0092452
chr10:103699619|103785005	hsa_circ_0019631
chr10:103716353|103717489	hsa_circ_0019632
chr10:103716353|103750368	hsa_circ_0019633
chr10:103716353|103755112	hsa_circ_0002888
chr10:103716353|103785005	hsa_circ_0092453
chr10:103734968|103750368	hsa_circ_0019636
chr10:103734968|103755112	hsa_circ_0003293
chr10:103734968|103761829	hsa_circ_0092454
chr10:103734968|103766390	hsa_circ_0092455
chr10:103734968|103769206	hsa_circ_0019637
chr10:103734968|103785005	hsa_circ_0019638
chr10:103734968|103789502	hsa_circ_0092456
chr10:103734968|103799882	hsa_circ_0092457
chr10:103750307|103751795	hsa_circ_0019639
chr10:103750307|103761829	hsa_circ_0092459
chr10:103750307|103766390	hsa_circ_0092460
chr10:103750307|103773781	hsa_circ_0019641
chr10:103750307|103789502	hsa_circ_0019642
chr10:103751725|103761829	hsa_circ_0092461
chr10:103753294|103773781	hsa_circ_0019643
chr10:103755053|103773781	hsa_circ_0019644
chr10:103761727|103773781	hsa_circ_0019645
chr10:103766296|103766390	hsa_circ_0019646
chr10:103766296|103769206	hsa_circ_0019647
chr10:103766296|103769780	hsa_circ_0019648
chr10:103766296|103773781	hsa_circ_0019650
chr10:103766296|103789502	hsa_circ_0092463
chr10:103766296|103799882	hsa_circ_0019651
chr10:103769130|103773781	hsa_circ_0019652
chr10:103769130|103789502	hsa_circ_0019653
chr10:103772589|103789502	hsa_circ_0019654
chr10:103783233|103785005	hsa_circ_0092466
chr10:103783233|103785189	hsa_circ_0092467
chr10:103783233|103789502	hsa_circ_0019656
chr10:103783233|103792929	hsa_circ_0019657
chr10:103783233|103793096	hsa_circ_0002523
chr10:103783233|103799882	hsa_circ_0019658
chr10:103784912|103789502	hsa_circ_0092468
chr10:103784912|103793096	hsa_circ_0002218
chr10:103784912|103799882	hsa_circ_0019659
chr10:103789394|103793096	hsa_circ_0092469
chr10:103789394|103799882	hsa_circ_0092470
chr10:103792782|103799882	hsa_circ_0092471
chr10:1038428|1043248	hsa_circ_0092475
chr10:1038428|1045035	hsa_circ_0017416
chr10:1038428|1046953	hsa_circ_0017417
chr10:103868785|103871293	hsa_circ_0019664
chr10:103868791|103871293	hsa_circ_0005599
chr10:103868817|103868924	hsa_circ_0092476
chr10:103869140|103869264	hsa_circ_0019665
chr10:103869140|103871057	hsa_circ_0019666
chr10:103870625|103870901	hsa_circ_0019672
chr10:103897606|103897795	hsa_circ_0019674
chr10:103897606|103909086	hsa_circ_0019675
chr10:103898375|103898737	hsa_circ_0019676
chr10:103898635|103902855	hsa_circ_0019680
chr10:103902801|103904847	hsa_circ_0019682
chr10:103902801|103908695	hsa_circ_0019684
chr10:103908573|103909086	hsa_circ_0019685
chr10:103916775|103917971	hsa_circ_0000257
chr10:103918949|103921682	hsa_circ_0019693
chr10:104018685|104019873	hsa_circ_0019696
chr10:104018685|104103939	hsa_circ_0019697
chr10:104103604|104103939	hsa_circ_0092477
chr10:104103807|104103939	hsa_circ_0019698
chr10:104117795|104119192	hsa_circ_0019701
chr10:104117795|104122421	hsa_circ_0092478
chr10:104118262|104118486	hsa_circ_0019702
chr10:104119940|104120152	hsa_circ_0003839
chr10:104119940|104125356	hsa_circ_0019705
chr10:104120778|104121669	hsa_circ_0019708
chr10:104120778|104123555	hsa_circ_0019709
chr10:104122231|104123555	hsa_circ_0092479
chr10:104122231|104125356	hsa_circ_0007876
chr10:104122231|104130617	hsa_circ_0019711
chr10:104123012|104123555	hsa_circ_0019712
chr10:104135115|104136885	hsa_circ_0008900
chr10:104135115|104136897	hsa_circ_0004641
chr10:104136691|104136885	hsa_circ_0019719
chr10:104139040|104140443	hsa_circ_0019720
chr10:104140883|104141967	hsa_circ_0092481
chr10:1041868|1053068	hsa_circ_0092483
chr10:104225738|104225844	hsa_circ_0092484
chr10:104233326|104233769	hsa_circ_0019737
chr10:104243916|104244133	hsa_circ_0019748
chr10:104243916|104245490	hsa_circ_0019749
chr10:104243916|104248895	hsa_circ_0019750
chr10:104247906|104248895	hsa_circ_0019752
chr10:104247906|104250370	hsa_circ_0019753
chr10:104284516|104284815	hsa_circ_0092487
chr10:1043147|1061836	hsa_circ_0017420
chr10:104352338|104357050	hsa_circ_0092489
chr10:104352338|104359301	hsa_circ_0003779
chr10:104352338|104377185	hsa_circ_0019756
chr10:104375024|104387000	hsa_circ_0092490
chr10:104414836|104415070	hsa_circ_0019761
chr10:104416026|104416142	hsa_circ_0092491
chr10:104445572|104449700	hsa_circ_0092492
chr10:104445572|104459246	hsa_circ_0019764
chr10:104445572|104465246	hsa_circ_0092493
